season_day,date,n_teams,n_teams_early,n_teams_night
1,2021-10-19,4,0,4
2,2021-10-20,22,0,22
3,2021-10-21,6,0,6
4,2021-10-22,20,0,20
5,2021-10-23,16,2,14
6,2021-10-24,12,2,10
7,2021-10-25,18,0,18
8,2021-10-26,10,0,10
9,2021-10-27,20,0,20
10,2021-10-28,12,0,12
11,2021-10-29,14,0,14
12,2021-10-30,22,2,20
13,2021-10-31,10,2,8
14,2021-11-01,18,0,18
15,2021-11-02,10,0,10
16,2021-11-03,22,0,22
17,2021-11-04,10,0,10
18,2021-11-05,18,0,18
19,2021-11-06,12,2,10
20,2021-11-07,16,10,6
21,2021-11-08,16,0,16
22,2021-11-09,6,0,6
23,2021-11-10,26,0,26
24,2021-11-11,6,0,6
25,2021-11-12,22,0,22
26,2021-11-13,14,2,12
27,2021-11-14,14,4,10
28,2021-11-15,22,0,22
29,2021-11-16,6,0,6
30,2021-11-17,22,0,22
31,2021-11-18,12,0,12
32,2021-11-19,18,0,18
33,2021-11-20,18,2,16
34,2021-11-21,10,4,6
35,2021-11-22,20,0,20
36,2021-11-23,8,0,8
37,2021-11-24,26,0,26
38,2021-11-26,24,2,22
39,2021-11-27,16,2,14
40,2021-11-28,10,8,2
41,2021-11-29,18,0,18
42,2021-11-30,10,0,10
43,2021-12-01,18,0,18
44,2021-12-02,10,0,10
45,2021-12-03,18,0,18
46,2021-12-04,14,2,12
47,2021-12-05,8,6,2
48,2021-12-06,20,0,20
49,2021-12-07,6,0,6
50,2021-12-08,26,0,26
51,2021-12-09,6,0,6
52,2021-12-10,18,0,18
53,2021-12-11,14,2,12
54,2021-12-12,12,4,8
55,2021-12-13,18,0,18
56,2021-12-14,6,0,6
57,2021-12-15,22,0,22
58,2021-12-16,8,0,8
59,2021-12-17,16,0,16
60,2021-12-18,14,2,12
61,2021-12-19,18,8,10
62,2021-12-20,14,0,14
63,2021-12-21,12,0,12
64,2021-12-22,12,0,12
65,2021-12-23,24,0,24
66,2021-12-25,10,6,4
67,2021-12-26,16,8,8
68,2021-12-27,14,0,14
69,2021-12-28,16,0,16
70,2021-12-29,18,0,18
71,2021-12-30,8,0,8
72,2021-12-31,20,6,14
73,2022-01-01,12,0,12
74,2022-01-02,14,8,6
75,2022-01-03,20,0,20
76,2022-01-04,10,0,10
77,2022-01-05,22,0,22
78,2022-01-06,8,0,8
79,2022-01-07,18,0,18
80,2022-01-08,12,2,10
81,2022-01-09,20,6,14
82,2022-01-10,10,0,10
83,2022-01-11,10,0,10
84,2022-01-12,20,0,20
85,2022-01-13,10,0,10
86,2022-01-14,18,0,18
87,2022-01-15,20,0,20
88,2022-01-16,6,2,4
89,2022-01-17,24,14,10
90,2022-01-18,4,0,4
91,2022-01-19,26,0,26
92,2022-01-20,6,0,6
93,2022-01-21,22,0,22
94,2022-01-22,6,0,6
95,2022-01-23,22,10,12
96,2022-01-24,10,0,10
97,2022-01-25,16,0,16
98,2022-01-26,22,0,22
99,2022-01-27,4,0,4
100,2022-01-28,20,0,20
101,2022-01-29,12,2,10
102,2022-01-30,16,8,8
103,2022-01-31,14,0,14
104,2022-02-01,14,0,14
105,2022-02-02,18,0,18
106,2022-02-03,10,0,10
107,2022-02-04,18,0,18
108,2022-02-05,12,2,10
109,2022-02-06,16,12,4
110,2022-02-07,10,0,10
111,2022-02-08,20,0,20
112,2022-02-09,12,0,12
113,2022-02-10,14,0,14
114,2022-02-11,14,0,14
115,2022-02-12,22,2,20
116,2022-02-13,4,4,0
117,2022-02-14,18,0,18
118,2022-02-15,14,0,14
119,2022-02-16,22,0,22
120,2022-02-17,8,0,8
121,2022-02-24,14,0,14
122,2022-02-25,18,0,18
123,2022-02-26,14,2,12
124,2022-02-27,16,6,10
125,2022-02-28,12,0,12
126,2022-03-01,12,0,12
127,2022-03-02,16,0,16
128,2022-03-03,12,0,12
129,2022-03-04,16,0,16
130,2022-03-05,12,2,10
131,2022-03-06,16,8,8
132,2022-03-07,14,0,14
133,2022-03-08,12,0,12
134,2022-03-09,24,0,24
135,2022-03-10,4,0,4
136,2022-03-11,20,0,20
137,2022-03-12,14,0,14
138,2022-03-13,16,8,8
139,2022-03-14,18,0,18
140,2022-03-15,8,0,8
141,2022-03-16,24,0,24
142,2022-03-17,2,0,2
143,2022-03-18,24,0,24
144,2022-03-19,8,2,6
145,2022-03-20,18,10,8
146,2022-03-21,18,0,18
147,2022-03-22,8,0,8
148,2022-03-23,22,0,22
149,2022-03-24,10,0,10
150,2022-03-25,14,0,14
151,2022-03-26,16,2,14
152,2022-03-27,14,8,6
153,2022-03-28,18,0,18
154,2022-03-29,10,0,10
155,2022-03-30,22,0,22
156,2022-03-31,8,0,8
157,2022-04-01,20,0,20
158,2022-04-02,10,4,6
159,2022-04-03,24,12,12
160,2022-04-05,24,0,24
161,2022-04-06,12,0,12
162,2022-04-07,14,0,14
163,2022-04-08,18,0,18
164,2022-04-09,8,0,8
165,2022-04-10,30,0,30
