season_day,date,n_teams,n_teams_early,n_teams_night
1,2014-10-28,6,0,6
2,2014-10-29,24,0,24
3,2014-10-30,10,0,10
4,2014-10-31,12,0,12
5,2014-11-01,24,0,24
6,2014-11-02,8,4,4
7,2014-11-03,12,0,12
8,2014-11-04,16,0,16
9,2014-11-05,24,0,24
10,2014-11-06,4,0,4
11,2014-11-07,22,0,22
12,2014-11-08,16,2,14
13,2014-11-09,16,4,12
14,2014-11-10,10,0,10
15,2014-11-11,12,0,12
16,2014-11-12,18,0,18
17,2014-11-13,8,0,8
18,2014-11-14,20,0,20
19,2014-11-15,20,0,20
20,2014-11-16,8,4,4
21,2014-11-17,18,0,18
22,2014-11-18,8,0,8
23,2014-11-19,22,0,22
24,2014-11-20,4,0,4
25,2014-11-21,24,0,24
26,2014-11-22,18,0,18
27,2014-11-23,10,6,4
28,2014-11-24,14,0,14
29,2014-11-25,10,0,10
30,2014-11-26,26,0,26
31,2014-11-28,24,2,22
32,2014-11-29,12,0,12
33,2014-11-30,16,8,8
34,2014-12-01,8,0,8
35,2014-12-02,20,0,20
36,2014-12-03,20,0,20
37,2014-12-04,6,0,6
38,2014-12-05,24,0,24
39,2014-12-06,12,0,12
40,2014-12-07,14,8,6
41,2014-12-08,14,0,14
42,2014-12-09,16,0,16
43,2014-12-10,20,0,20
44,2014-12-11,4,0,4
45,2014-12-12,24,0,24
46,2014-12-13,16,2,14
47,2014-12-14,14,6,8
48,2014-12-15,16,0,16
49,2014-12-16,12,0,12
50,2014-12-17,20,0,20
51,2014-12-18,8,0,8
52,2014-12-19,20,0,20
53,2014-12-20,14,2,12
54,2014-12-21,18,14,4
55,2014-12-22,14,0,14
56,2014-12-23,22,0,22
57,2014-12-25,10,6,4
58,2014-12-26,22,2,20
59,2014-12-27,20,2,18
60,2014-12-28,12,2,10
61,2014-12-29,12,0,12
62,2014-12-30,20,0,20
63,2014-12-31,14,6,8
64,2015-01-01,4,0,4
65,2015-01-02,22,0,22
66,2015-01-03,16,0,16
67,2015-01-04,12,6,6
68,2015-01-05,22,0,22
69,2015-01-06,4,0,4
70,2015-01-07,26,0,26
71,2015-01-08,6,0,6
72,2015-01-09,22,0,22
73,2015-01-10,18,4,14
74,2015-01-11,10,6,4
75,2015-01-12,8,0,8
76,2015-01-13,14,0,14
77,2015-01-14,20,0,20
78,2015-01-15,6,2,4
79,2015-01-16,26,0,26
80,2015-01-17,16,0,16
81,2015-01-18,6,4,2
82,2015-01-19,24,16,8
83,2015-01-20,4,0,4
84,2015-01-21,24,0,24
85,2015-01-22,8,0,8
86,2015-01-23,22,0,22
87,2015-01-24,10,0,10
88,2015-01-25,22,12,10
89,2015-01-26,10,0,10
90,2015-01-27,12,0,12
91,2015-01-28,22,0,22
92,2015-01-29,8,0,8
93,2015-01-30,18,0,18
94,2015-01-31,22,0,22
95,2015-02-01,4,4,0
96,2015-02-02,16,0,16
97,2015-02-03,10,0,10
98,2015-02-04,22,0,22
99,2015-02-05,8,0,8
100,2015-02-06,24,0,24
101,2015-02-07,14,0,14
102,2015-02-08,18,12,6
103,2015-02-09,18,0,18
104,2015-02-10,10,0,10
105,2015-02-11,24,0,24
106,2015-02-12,2,0,2
107,2015-02-19,4,0,4
108,2015-02-20,26,0,26
109,2015-02-21,10,0,10
110,2015-02-22,18,10,8
111,2015-02-23,16,0,16
112,2015-02-24,8,0,8
113,2015-02-25,24,0,24
114,2015-02-26,4,0,4
115,2015-02-27,28,0,28
116,2015-02-28,14,0,14
117,2015-03-01,16,12,4
118,2015-03-02,10,0,10
119,2015-03-03,14,0,14
120,2015-03-04,26,0,26
121,2015-03-05,4,0,4
122,2015-03-06,24,0,24
123,2015-03-07,16,0,16
124,2015-03-08,14,10,4
125,2015-03-09,16,0,16
126,2015-03-10,12,0,12
127,2015-03-11,20,0,20
128,2015-03-12,10,0,10
129,2015-03-13,18,0,18
130,2015-03-14,12,0,12
131,2015-03-15,16,8,8
132,2015-03-16,20,0,20
