season_day,date,n_teams,n_teams_early,n_teams_night
1,2017-10-17,4,0,4
2,2017-10-18,22,0,22
3,2017-10-19,6,0,6
4,2017-10-20,20,0,20
5,2017-10-21,22,0,22
6,2017-10-22,6,2,4
7,2017-10-23,16,0,16
8,2017-10-24,12,0,12
9,2017-10-25,20,0,20
10,2017-10-26,10,0,10
11,2017-10-27,14,0,14
12,2017-10-28,16,0,16
13,2017-10-29,14,10,4
14,2017-10-30,18,0,18
15,2017-10-31,8,0,8
16,2017-11-01,24,0,24
17,2017-11-02,4,0,4
18,2017-11-03,24,0,24
19,2017-11-04,10,2,8
20,2017-11-05,20,8,12
21,2017-11-06,6,0,6
22,2017-11-07,20,0,20
23,2017-11-08,10,0,10
24,2017-11-09,10,0,10
25,2017-11-10,16,0,16
26,2017-11-11,22,0,22
27,2017-11-12,8,6,2
28,2017-11-13,18,0,18
29,2017-11-14,6,0,6
30,2017-11-15,22,0,22
31,2017-11-16,4,0,4
32,2017-11-17,22,0,22
33,2017-11-18,14,0,14
34,2017-11-19,12,6,6
35,2017-11-20,22,0,22
36,2017-11-21,2,0,2
37,2017-11-22,28,0,28
38,2017-11-24,20,2,18
39,2017-11-25,20,0,20
40,2017-11-26,6,6,0
41,2017-11-27,16,0,16
42,2017-11-28,10,0,10
43,2017-11-29,20,0,20
44,2017-11-30,10,0,10
45,2017-12-01,16,0,16
46,2017-12-02,16,6,10
47,2017-12-03,10,2,8
48,2017-12-04,22,0,22
49,2017-12-05,6,0,6
50,2017-12-06,20,0,20
51,2017-12-07,8,0,8
52,2017-12-08,16,0,16
53,2017-12-09,20,4,16
54,2017-12-10,12,6,6
55,2017-12-11,12,0,12
56,2017-12-12,14,0,14
57,2017-12-13,18,0,18
58,2017-12-14,10,0,10
59,2017-12-15,22,0,22
60,2017-12-16,16,0,16
61,2017-12-17,8,8,0
62,2017-12-18,20,0,20
63,2017-12-19,6,0,6
64,2017-12-20,24,0,24
65,2017-12-21,10,0,10
66,2017-12-22,18,0,18
67,2017-12-23,26,2,24
68,2017-12-25,10,6,4
69,2017-12-26,16,0,16
70,2017-12-27,20,0,20
71,2017-12-28,10,0,10
72,2017-12-29,18,0,18
73,2017-12-30,14,0,14
74,2017-12-31,16,6,10
75,2018-01-01,8,0,8
76,2018-01-02,10,0,10
77,2018-01-03,24,0,24
78,2018-01-04,4,0,4
79,2018-01-05,20,0,20
80,2018-01-06,16,4,12
81,2018-01-07,10,2,8
82,2018-01-08,16,0,16
83,2018-01-09,8,0,8
84,2018-01-10,22,0,22
85,2018-01-11,8,2,6
86,2018-01-12,18,0,18
87,2018-01-13,14,6,8
88,2018-01-14,8,4,4
89,2018-01-15,22,14,8
90,2018-01-16,8,0,8
91,2018-01-17,20,0,20
92,2018-01-18,8,0,8
93,2018-01-19,14,0,14
94,2018-01-20,18,4,14
95,2018-01-21,8,6,2
96,2018-01-22,18,0,18
97,2018-01-23,10,0,10
98,2018-01-24,18,0,18
99,2018-01-25,8,0,8
100,2018-01-26,20,0,20
101,2018-01-27,14,2,12
102,2018-01-28,14,12,2
103,2018-01-29,12,0,12
104,2018-01-30,18,0,18
105,2018-01-31,16,0,16
106,2018-02-01,10,0,10
107,2018-02-02,18,0,18
108,2018-02-03,18,2,16
109,2018-02-04,12,12,0
110,2018-02-05,14,0,14
111,2018-02-06,16,0,16
112,2018-02-07,10,0,10
113,2018-02-08,12,0,12
114,2018-02-09,18,0,18
115,2018-02-10,14,2,12
116,2018-02-11,16,8,8
117,2018-02-12,12,0,12
118,2018-02-13,12,0,12
119,2018-02-14,24,0,24
120,2018-02-15,4,0,4
121,2018-02-22,12,0,12
122,2018-02-23,22,0,22
123,2018-02-24,16,2,14
124,2018-02-25,10,6,4
125,2018-02-26,20,0,20
126,2018-02-27,12,0,12
127,2018-02-28,18,0,18
128,2018-03-01,8,0,8
129,2018-03-02,20,0,20
130,2018-03-03,14,0,14
131,2018-03-04,14,6,8
132,2018-03-05,14,0,14
133,2018-03-06,16,0,16
134,2018-03-07,14,0,14
135,2018-03-08,10,0,10
136,2018-03-09,20,0,20
137,2018-03-10,10,2,8
138,2018-03-11,18,10,8
139,2018-03-12,8,0,8
140,2018-03-13,22,0,22
141,2018-03-14,8,0,8
142,2018-03-15,18,0,18
143,2018-03-16,12,0,12
144,2018-03-17,22,2,20
145,2018-03-18,8,4,4
146,2018-03-19,16,0,16
147,2018-03-20,14,0,14
148,2018-03-21,16,0,16
149,2018-03-22,12,0,12
150,2018-03-23,20,0,20
151,2018-03-24,12,2,10
152,2018-03-25,18,12,6
153,2018-03-26,10,0,10
154,2018-03-27,16,0,16
155,2018-03-28,16,0,16
156,2018-03-29,10,0,10
157,2018-03-30,18,0,18
158,2018-03-31,10,4,6
159,2018-04-01,26,16,10
160,2018-04-03,26,0,26
161,2018-04-04,12,0,12
162,2018-04-05,12,0,12
163,2018-04-06,20,0,20
164,2018-04-07,12,2,10
165,2018-04-08,14,12,2
166,2018-04-09,18,0,18
167,2018-04-10,12,0,12
168,2018-04-11,24,0,24
169,2018-04-14,8,4,4
170,2018-04-15,8,4,4
171,2018-04-16,4,0,4
172,2018-04-17,6,0,6
173,2018-04-18,6,0,6
174,2018-04-19,6,0,6
175,2018-04-20,6,0,6
176,2018-04-21,8,4,4
177,2018-04-22,8,6,2
178,2018-04-23,4,0,4
179,2018-04-24,6,0,6
180,2018-04-25,8,0,8
181,2018-04-26,2,0,2
182,2018-04-27,6,0,6
183,2018-04-28,4,0,4
184,2018-04-29,4,4,0
185,2018-04-30,2,0,2
186,2018-05-01,4,0,4
187,2018-05-02,2,0,2
188,2018-05-03,4,2,2
189,2018-05-04,4,0,4
190,2018-05-05,4,2,2
191,2018-05-06,4,2,2
192,2018-05-07,4,2,2
193,2018-05-08,4,0,4
194,2018-05-09,2,0,2
