season_day,date,n_teams,n_teams_early,n_teams_night
112,2016-02-23,10,0,10
113,2016-02-24,20,0,20
114,2016-02-25,12,0,12
115,2016-02-26,16,0,16
116,2016-02-27,16,2,14
117,2016-02-28,14,10,4
118,2016-02-29,14,0,14
119,2016-03-01,12,0,12
120,2016-03-02,22,0,22
121,2016-03-03,8,0,8
122,2016-03-04,20,0,20
123,2016-03-05,16,0,16
124,2016-03-06,14,12,2
125,2016-03-07,14,0,14
126,2016-03-08,12,0,12
127,2016-03-09,18,0,18
128,2016-03-10,8,0,8
129,2016-03-11,20,0,20
130,2016-03-12,20,2,18
131,2016-03-13,10,6,4
132,2016-03-14,18,0,18
133,2016-03-15,12,0,12
134,2016-03-16,18,0,18
135,2016-03-17,16,0,16
136,2016-03-18,16,0,16
137,2016-03-19,18,2,16
138,2016-03-20,12,8,4
139,2016-03-21,18,0,18
140,2016-03-22,8,0,8
141,2016-03-23,24,0,24
142,2016-03-24,10,0,10
143,2016-03-25,18,0,18
144,2016-03-26,20,2,18
145,2016-03-27,10,6,4
146,2016-03-28,20,0,20
147,2016-03-29,12,0,12
148,2016-03-30,18,0,18
149,2016-03-31,12,0,12
150,2016-04-01,20,0,20
151,2016-04-02,10,0,10
152,2016-04-03,22,14,8
153,2016-04-05,22,0,22
154,2016-04-06,16,0,16
155,2016-04-07,10,0,10
156,2016-04-08,20,0,20
157,2016-04-09,12,0,12
158,2016-04-10,18,14,4
159,2016-04-11,18,0,18
160,2016-04-12,10,0,10
161,2016-04-13,28,0,28
162,2016-04-16,8,4,4
163,2016-04-17,8,4,4
164,2016-04-18,6,0,6
165,2016-04-19,4,0,4
166,2016-04-20,6,0,6
167,2016-04-21,6,0,6
168,2016-04-22,6,0,6
169,2016-04-23,8,4,4
170,2016-04-24,8,6,2
171,2016-04-25,6,0,6
172,2016-04-26,4,2,2
173,2016-04-27,6,0,6
174,2016-04-28,2,0,2
175,2016-04-29,6,0,6
176,2016-04-30,2,0,2
177,2016-05-01,6,4,2
178,2016-05-02,4,0,4
179,2016-05-03,4,0,4
180,2016-05-04,2,0,2
181,2016-05-05,2,0,2
182,2016-05-06,4,0,4
183,2016-05-07,4,2,2
184,2016-05-08,4,2,2
185,2016-05-09,4,0,4
186,2016-05-10,2,0,2
187,2016-05-11,4,0,4
188,2016-05-12,2,0,2
189,2016-05-13,2,0,2
190,2016-05-15,2,2,0
191,2016-05-16,2,0,2
192,2016-05-17,2,0,2
193,2016-05-18,2,0,2
194,2016-05-19,2,0,2
195,2016-05-21,2,0,2
196,2016-05-22,2,0,2
197,2016-05-23,2,0,2
198,2016-05-24,2,0,2
199,2016-05-25,2,0,2
200,2016-05-26,2,0,2
201,2016-05-27,2,0,2
202,2016-05-28,2,0,2
203,2016-05-30,2,0,2
204,2016-06-02,2,0,2
205,2016-06-05,2,0,2
206,2016-06-08,2,0,2
207,2016-06-10,2,0,2
208,2016-06-13,2,0,2
209,2016-06-16,2,0,2
210,2016-06-19,2,0,2
