season_day,date,n_teams,n_teams_early,n_teams_night
1,2015-10-27,6,0,6
2,2015-10-28,28,0,28
3,2015-10-29,6,0,6
4,2015-10-30,24,0,24
5,2015-10-31,12,0,12
6,2015-11-01,14,8,6
7,2015-11-02,14,0,14
8,2015-11-03,14,0,14
9,2015-11-04,20,0,20
10,2015-11-05,10,0,10
11,2015-11-06,20,0,20
12,2015-11-07,18,2,16
13,2015-11-08,10,6,4
14,2015-11-09,14,0,14
15,2015-11-10,14,0,14
16,2015-11-11,22,0,22
17,2015-11-12,6,0,6
18,2015-11-13,22,0,22
19,2015-11-14,14,2,12
20,2015-11-15,14,8,6
21,2015-11-16,12,0,12
22,2015-11-17,14,0,14
23,2015-11-18,20,0,20
24,2015-11-19,6,0,6
25,2015-11-20,22,0,22
26,2015-11-21,14,2,12
27,2015-11-22,12,6,6
28,2015-11-23,14,0,14
29,2015-11-24,12,0,12
30,2015-11-25,24,0,24
31,2015-11-27,24,0,24
32,2015-11-28,14,0,14
33,2015-11-29,16,12,4
34,2015-11-30,16,0,16
35,2015-12-01,12,0,12
36,2015-12-02,18,0,18
37,2015-12-03,12,0,12
38,2015-12-04,12,0,12
39,2015-12-05,20,4,16
40,2015-12-06,10,8,2
41,2015-12-07,18,0,18
42,2015-12-08,12,0,12
43,2015-12-09,20,0,20
44,2015-12-10,8,0,8
45,2015-12-11,22,0,22
46,2015-12-12,18,2,16
47,2015-12-13,8,6,2
48,2015-12-14,20,0,20
49,2015-12-15,8,0,8
50,2015-12-16,24,0,24
51,2015-12-17,6,0,6
52,2015-12-18,24,0,24
53,2015-12-19,10,2,8
54,2015-12-20,14,12,2
55,2015-12-21,18,0,18
56,2015-12-22,8,0,8
57,2015-12-23,26,0,26
58,2015-12-25,10,6,4
59,2015-12-26,26,4,22
60,2015-12-27,8,2,6
61,2015-12-28,22,0,22
62,2015-12-29,10,0,10
63,2015-12-30,20,0,20
64,2015-12-31,12,4,8
65,2016-01-01,10,0,10
66,2016-01-02,22,4,18
67,2016-01-03,10,6,4
68,2016-01-04,20,0,20
69,2016-01-05,8,0,8
70,2016-01-06,22,0,22
71,2016-01-07,8,0,8
72,2016-01-08,20,0,20
73,2016-01-09,14,4,10
74,2016-01-10,18,8,10
75,2016-01-11,6,0,6
76,2016-01-12,16,0,16
77,2016-01-13,20,0,20
78,2016-01-14,12,2,10
79,2016-01-15,18,0,18
80,2016-01-16,16,0,16
81,2016-01-17,10,2,8
82,2016-01-18,20,12,8
83,2016-01-19,8,0,8
84,2016-01-20,22,0,22
85,2016-01-21,10,0,10
86,2016-01-22,18,0,18
87,2016-01-23,16,0,16
88,2016-01-24,8,4,4
89,2016-01-25,18,0,18
90,2016-01-26,16,0,16
91,2016-01-27,16,0,16
92,2016-01-28,12,0,12
93,2016-01-29,18,0,18
94,2016-01-30,14,2,12
95,2016-01-31,14,6,8
96,2016-02-01,18,0,18
97,2016-02-02,10,0,10
98,2016-02-03,22,0,22
99,2016-02-04,8,0,8
100,2016-02-05,20,0,20
101,2016-02-06,20,2,18
102,2016-02-07,8,8,0
103,2016-02-08,20,0,20
104,2016-02-09,10,0,10
105,2016-02-10,24,0,24
106,2016-02-11,4,0,4
107,2016-02-18,6,0,6
108,2016-02-19,28,0,28
109,2016-02-20,8,0,8
110,2016-02-21,20,14,6
111,2016-02-22,14,0,14
