season_day,date,n_teams,n_teams_early,n_teams_night
1,2019-11-01,16,0,16
2,2019-11-02,16,2,14
3,2019-11-03,12,6,6
4,2019-11-04,12,0,12
5,2019-11-05,12,0,12
6,2019-11-06,18,0,18
7,2019-11-07,8,0,8
8,2019-11-08,22,0,22
9,2019-11-09,10,2,8
10,2019-11-10,16,6,10
11,2019-11-11,12,0,12
12,2019-11-12,16,0,16
13,2019-11-13,14,0,14
14,2019-11-14,12,2,10
15,2019-11-15,16,0,16
16,2019-11-16,16,2,14
17,2019-11-17,12,8,4
18,2019-11-18,18,0,18
19,2019-11-19,8,0,8
20,2019-11-20,22,0,22
21,2019-11-21,4,0,4
22,2019-11-22,20,0,20
23,2019-11-23,20,2,18
24,2019-11-24,10,6,4
25,2019-11-25,22,0,22
26,2019-11-26,4,0,4
27,2019-11-27,28,0,28
28,2019-11-29,26,2,24
29,2019-11-30,8,2,6
30,2019-12-01,18,16,2
31,2019-12-02,12,0,12
32,2019-12-03,14,0,14
33,2019-12-04,20,0,20
34,2019-12-05,8,0,8
35,2019-12-06,20,0,20
36,2019-12-07,10,2,8
37,2019-12-08,16,10,6
38,2019-12-09,18,0,18
39,2019-12-10,8,0,8
40,2019-12-11,22,0,22
41,2019-12-12,8,0,8
42,2019-12-13,18,0,18
43,2019-12-14,16,2,14
44,2019-12-15,12,8,4
45,2019-12-16,14,0,14
46,2019-12-17,12,0,12
47,2019-12-18,18,0,18
48,2019-12-19,8,0,8
49,2019-12-20,20,0,20
50,2019-12-21,18,4,14
51,2019-12-22,10,4,6
52,2019-12-23,22,0,22
53,2019-12-25,10,6,4
54,2019-12-26,12,0,12
55,2019-12-27,12,2,10
56,2019-12-28,28,2,26
57,2019-12-29,10,2,8
58,2019-12-30,12,0,12
59,2019-12-31,14,6,8
60,2020-01-01,8,2,6
61,2020-01-02,18,0,18
62,2020-01-03,12,0,12
63,2020-01-04,22,4,18
64,2020-01-05,10,4,6
65,2020-01-06,18,0,18
66,2020-01-07,12,0,12
67,2020-01-08,18,0,18
68,2020-01-09,8,0,8
69,2020-01-10,20,0,20
70,2020-01-11,14,2,12
71,2020-01-12,14,10,4
72,2020-01-13,14,0,14
73,2020-01-14,12,0,12
74,2020-01-15,20,0,20
75,2020-01-16,10,0,10
76,2020-01-17,14,0,14
77,2020-01-18,22,4,18
78,2020-01-19,4,2,2
79,2020-01-20,28,18,10
80,2020-01-21,2,0,2
81,2020-01-22,24,0,24
82,2020-01-23,6,0,6
83,2020-01-24,22,2,20
84,2020-01-25,10,2,8
85,2020-01-26,16,14,2
86,2020-01-27,12,0,12
87,2020-01-28,16,0,16
88,2020-01-29,12,0,12
89,2020-01-30,12,0,12
90,2020-01-31,14,0,14
91,2020-02-01,20,2,18
92,2020-02-02,8,8,0
93,2020-02-03,20,0,20
94,2020-02-04,8,0,8
95,2020-02-05,18,0,18
96,2020-02-06,10,0,10
97,2020-02-07,16,0,16
98,2020-02-08,18,2,16
99,2020-02-09,14,8,6
100,2020-02-10,18,0,18
101,2020-02-11,10,0,10
102,2020-02-12,22,0,22
103,2020-02-13,4,0,4
104,2020-02-20,12,0,12
105,2020-02-21,18,0,18
106,2020-02-22,14,2,12
107,2020-02-23,14,6,8
108,2020-02-24,16,0,16
109,2020-02-25,14,0,14
110,2020-02-26,18,0,18
111,2020-02-27,8,0,8
112,2020-02-28,20,0,20
113,2020-02-29,16,2,14
114,2020-03-01,14,10,4
115,2020-03-02,14,0,14
116,2020-03-03,16,0,16
117,2020-03-04,18,0,18
118,2020-03-05,8,0,8
119,2020-03-06,20,0,20
120,2020-03-07,12,2,10
121,2020-03-08,22,10,12
122,2020-03-09,6,0,6
123,2020-03-10,18,0,18
124,2020-03-11,8,0,8
125,2020-07-30,4,0,4
126,2020-07-31,12,6,6
127,2020-08-01,10,6,4
128,2020-08-02,12,8,4
129,2020-08-03,12,6,6
130,2020-08-04,12,8,4
131,2020-08-05,12,6,6
132,2020-08-06,12,6,6
133,2020-08-07,12,6,6
134,2020-08-08,10,6,4
135,2020-08-09,14,8,6
136,2020-08-10,10,4,6
137,2020-08-11,14,8,6
138,2020-08-12,8,2,6
139,2020-08-13,14,8,6
140,2020-08-14,8,4,4
141,2020-08-15,2,2,0
142,2020-08-17,8,4,4
143,2020-08-18,8,4,4
144,2020-08-19,8,4,4
145,2020-08-20,8,6,2
146,2020-08-21,8,4,4
147,2020-08-22,8,6,2
148,2020-08-23,8,4,4
149,2020-08-24,8,4,4
150,2020-08-25,4,0,4
151,2020-08-29,6,2,4
152,2020-08-30,6,4,2
153,2020-08-31,4,0,4
154,2020-09-01,4,2,2
155,2020-09-02,4,0,4
156,2020-09-03,4,0,4
157,2020-09-04,4,0,4
158,2020-09-05,4,0,4
159,2020-09-06,4,2,2
160,2020-09-07,4,0,4
161,2020-09-08,4,0,4
162,2020-09-09,4,0,4
163,2020-09-10,2,0,2
164,2020-09-11,4,0,4
165,2020-09-12,2,0,2
166,2020-09-13,2,2,0
167,2020-09-15,4,0,4
168,2020-09-17,2,0,2
169,2020-09-18,2,0,2
170,2020-09-19,2,0,2
171,2020-09-20,2,0,2
172,2020-09-22,2,0,2
173,2020-09-23,2,0,2
174,2020-09-24,2,0,2
175,2020-09-25,2,0,2
176,2020-09-26,2,0,2
177,2020-09-27,2,0,2
178,2020-09-30,2,0,2
