Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Eric Bledsoe,NOP,@ATL,04/06/2021,L,33,14,4,10,40.0,4,8,50.0,2,2,100,0,2,2,4,0,0,1,2,-18
Lou Williams,ATL,vs.NOP,04/06/2021,W,19,12,5,10,50.0,2,2,100,0,0,-,0,3,3,2,2,0,1,1,-11
Willy Hernangomez,NOP,@ATL,04/06/2021,L,6,0,0,2,0.0,0,0,-,0,0,-,0,1,1,0,0,0,0,0,1
Clint Capela,ATL,vs.NOP,04/06/2021,W,28,12,5,7,71.4,0,0,-,2,4,50.0,5,7,12,1,0,3,1,3,31
Bogdan Bogdanovic,ATL,vs.NOP,04/06/2021,W,30,21,8,11,72.7,5,8,62.5,0,0,-,0,4,4,4,0,0,2,2,29
Steven Adams,NOP,@ATL,04/06/2021,L,25,6,2,6,33.3,0,0,-,2,4,50.0,6,2,8,1,3,0,2,1,-25
Jaxson Hayes,NOP,@ATL,04/06/2021,L,17,11,5,8,62.5,0,0,-,1,2,50.0,4,3,7,1,0,1,2,1,8
Isaiah Thomas,NOP,@ATL,04/06/2021,L,25,10,4,13,30.8,2,6,33.3,0,0,-,0,2,2,2,0,0,4,1,7
James Johnson,NOP,@ATL,04/06/2021,L,26,8,3,5,60.0,0,1,0.0,2,2,100,0,2,2,0,0,3,2,5,-22
Naji Marshall,NOP,@ATL,04/06/2021,L,28,8,2,10,20.0,0,4,0.0,4,6,66.7,0,9,9,3,0,1,0,3,-5
Zion Williamson,NOP,@ATL,04/06/2021,L,35,34,12,18,66.7,1,1,100,9,10,90.0,2,3,5,2,1,0,0,0,-7
Wes Iwundu,NOP,@ATL,04/06/2021,L,11,1,0,2,0.0,0,2,0.0,1,2,50.0,1,2,3,0,0,0,0,1,2
Skylar Mays,ATL,vs.NOP,04/06/2021,W,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,1,-3
Wenyen Gabriel,NOP,@ATL,04/06/2021,L,4,3,1,2,50.0,1,2,50.0,0,0,-,1,0,1,0,0,0,2,0,3
Bruno Fernando,ATL,vs.NOP,04/06/2021,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,1,-4
Nathan Knight,ATL,vs.NOP,04/06/2021,W,4,2,0,2,0.0,0,1,0.0,2,2,100,0,1,1,0,0,0,0,0,-3
Thaddeus Young,CHI,@IND,04/06/2021,W,28,14,6,10,60.0,0,0,-,2,4,50.0,2,5,7,5,1,1,3,2,11
Caris LeVert,IND,vs.CHI,04/06/2021,L,33,20,9,18,50.0,2,4,50.0,0,0,-,0,6,6,5,0,1,0,3,-11
Oshae Brissett,IND,vs.CHI,04/06/2021,L,3,2,1,1,100,0,0,-,0,0,-,0,1,1,0,1,0,0,0,2
Ryan Arcidiacono,CHI,@IND,04/06/2021,W,1,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,0,0
Javonte Green,CHI,@IND,04/06/2021,W,1,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Troy Brown Jr.,CHI,@IND,04/06/2021,W,15,3,1,4,25.0,0,2,0.0,1,1,100,1,2,3,1,1,1,1,2,15
Lauri Markkanen,CHI,@IND,04/06/2021,W,22,15,5,7,71.4,3,4,75.0,2,2,100,1,5,6,0,1,1,1,0,12
Kelan Martin,IND,vs.CHI,04/06/2021,L,13,2,1,4,25.0,0,2,0.0,0,0,-,1,0,1,0,0,1,1,1,0
T.J. McConnell,IND,vs.CHI,04/06/2021,L,25,6,3,5,60.0,0,0,-,0,0,-,0,4,4,5,2,0,5,0,-14
Zach LaVine,CHI,@IND,04/06/2021,W,36,19,6,18,33.3,4,12,33.3,3,4,75.0,1,7,8,6,0,1,3,0,16
Brian Bowen II,IND,vs.CHI,04/06/2021,L,3,0,0,1,0.0,0,0,-,0,0,-,0,1,1,0,0,0,0,0,2
JaKarr Sampson,IND,vs.CHI,04/06/2021,L,12,6,3,6,50.0,0,0,-,0,1,0.0,0,1,1,0,0,2,0,4,-4
Cassius Stanley,IND,vs.CHI,04/06/2021,L,3,0,0,2,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,0,2
Tomas Satoransky,CHI,@IND,04/06/2021,W,34,7,3,7,42.9,1,2,50.0,0,0,-,1,5,6,3,2,0,3,1,11
Patrick Williams,CHI,@IND,04/06/2021,W,31,10,4,8,50.0,1,1,100,1,1,100,1,2,3,2,4,0,2,0,-4
Denzel Valentine,CHI,@IND,04/06/2021,W,4,0,0,0,-,0,0,-,0,0,-,1,2,3,0,0,0,2,0,-1
Justin Holiday,IND,vs.CHI,04/06/2021,L,24,2,1,4,25.0,0,2,0.0,0,0,-,0,1,1,0,0,1,0,0,-3
Coby White,CHI,@IND,04/06/2021,W,31,13,5,9,55.6,1,4,25.0,2,2,100,1,3,4,6,0,0,1,3,14
Goga Bitadze,IND,vs.CHI,04/06/2021,L,19,4,2,6,33.3,0,3,0.0,0,0,-,2,1,3,6,1,3,1,2,-12
Jeremy Lamb,IND,vs.CHI,04/06/2021,L,23,15,4,12,33.3,2,6,33.3,5,5,100,2,4,6,1,6,1,1,2,-12
Myles Turner,IND,vs.CHI,04/06/2021,L,20,10,3,5,60.0,2,3,66.7,2,2,100,0,4,4,0,0,3,0,1,-6
Doug McDermott,IND,vs.CHI,04/06/2021,L,24,11,4,12,33.3,3,7,42.9,0,0,-,1,1,2,1,1,0,0,1,-4
Edmond Sumner,IND,vs.CHI,04/06/2021,L,18,15,6,8,75.0,0,2,0.0,3,5,60.0,0,1,1,1,2,0,3,2,-5
Cristiano Felicio,CHI,@IND,04/06/2021,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Aaron Holiday,IND,vs.CHI,04/06/2021,L,21,4,1,4,25.0,0,0,-,2,3,66.7,0,1,1,1,2,0,3,1,-15
Nikola Vucevic,CHI,@IND,04/06/2021,W,35,32,14,29,48.3,4,7,57.1,0,0,-,5,11,16,5,0,1,4,4,6
Xavier Tillman Sr.,MEM,@MIA,04/06/2021,W,21,11,5,7,71.4,1,1,100,0,0,-,2,4,6,0,1,0,0,1,6
Tyus Jones,MEM,@MIA,04/06/2021,W,19,3,1,2,50.0,1,2,50.0,0,0,-,2,3,5,5,1,0,0,0,11
Tyler Herro,MIA,vs.MEM,04/06/2021,L,27,19,7,10,70.0,4,7,57.1,1,2,50.0,0,2,2,4,0,1,4,1,-13
Jonas Valanciunas,MEM,@MIA,04/06/2021,W,27,20,7,9,77.8,1,1,100,5,5,100,2,8,10,0,1,0,2,2,6
Duncan Robinson,MIA,vs.MEM,04/06/2021,L,26,14,5,8,62.5,4,7,57.1,0,0,-,0,4,4,0,0,1,1,2,0
Jimmy Butler,MIA,vs.MEM,04/06/2021,L,35,28,11,16,68.8,1,2,50.0,5,6,83.3,1,2,3,5,2,0,1,1,1
John Konchar,MEM,@MIA,04/06/2021,W,21,5,2,4,50.0,1,3,33.3,0,0,-,0,2,2,6,2,0,1,2,8
Ja Morant,MEM,@MIA,04/06/2021,W,29,10,3,8,37.5,0,4,0.0,4,6,66.7,0,4,4,4,1,0,7,1,1
Goran Dragic,MIA,vs.MEM,04/06/2021,L,22,9,3,8,37.5,3,7,42.9,0,0,-,1,2,3,3,1,0,2,0,-13
Andre Iguodala,MIA,vs.MEM,04/06/2021,L,19,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,3,1,2,0,0,-19
Killian Tillie,MEM,@MIA,04/06/2021,W,13,5,2,6,33.3,1,4,25.0,0,0,-,1,1,2,1,0,1,0,0,13
Kyle Anderson,MEM,@MIA,04/06/2021,W,30,19,7,11,63.6,3,6,50.0,2,3,66.7,2,6,8,6,1,0,2,1,-1
Precious Achiuwa,MIA,vs.MEM,04/06/2021,L,2,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,5
Bam Adebayo,MIA,vs.MEM,04/06/2021,L,33,18,9,14,64.3,0,0,-,0,3,0.0,2,8,10,10,3,0,0,2,-8
Gabe Vincent,MIA,vs.MEM,04/06/2021,L,2,0,0,0,-,0,0,-,0,0,-,0,1,1,2,0,0,0,1,5
Victor Oladipo,MIA,vs.MEM,04/06/2021,L,33,16,6,14,42.9,1,4,25.0,3,5,60.0,1,5,6,2,0,0,3,2,-18
Desmond Bane,MEM,@MIA,04/06/2021,W,22,15,6,12,50.0,3,6,50.0,0,0,-,0,3,3,3,2,1,1,1,13
Trevor Ariza,MIA,vs.MEM,04/06/2021,L,26,2,0,5,0.0,0,2,0.0,2,2,100,1,2,3,4,1,0,1,4,-6
Dillon Brooks,MEM,@MIA,04/06/2021,W,31,28,10,16,62.5,5,9,55.6,3,5,60.0,0,1,1,2,2,0,0,3,-1
Sean McDermott,MEM,@MIA,04/06/2021,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-5
Nemanja Bjelica,MIA,vs.MEM,04/06/2021,L,14,4,2,5,40.0,0,3,0.0,0,0,-,1,1,2,1,1,0,0,3,1
Grayson Allen,MEM,@MIA,04/06/2021,W,25,8,3,9,33.3,1,5,20.0,1,1,100,0,1,1,3,0,0,0,2,9
Max Strus,MIA,vs.MEM,04/06/2021,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,5
Anfernee Simons,POR,@LAC,04/06/2021,L,6,2,1,3,33.3,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-1
Robert Covington,POR,@LAC,04/06/2021,L,36,15,6,13,46.2,2,7,28.6,1,2,50.0,3,6,9,2,2,1,1,2,-15
Marcus Morris Sr.,LAC,vs.POR,04/06/2021,W,24,5,2,7,28.6,1,6,16.7,0,0,-,0,4,4,0,1,0,0,2,-4
Patrick Beverley,LAC,vs.POR,04/06/2021,W,20,8,2,7,28.6,2,5,40.0,2,2,100,0,4,4,3,1,0,0,4,-1
CJ McCollum,POR,@LAC,04/06/2021,L,37,24,9,15,60.0,2,4,50.0,4,5,80.0,0,3,3,6,2,0,1,5,-5
Terance Mann,LAC,vs.POR,04/06/2021,W,10,2,0,1,0.0,0,1,0.0,2,2,100,0,0,0,0,0,2,0,0,-1
CJ Elleby,POR,@LAC,04/06/2021,L,4,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,1,3
Nicolas Batum,LAC,vs.POR,04/06/2021,W,21,5,2,5,40.0,1,4,25.0,0,0,-,0,6,6,2,1,0,0,2,22
Kawhi Leonard,LAC,vs.POR,04/06/2021,W,36,29,10,18,55.6,1,4,25.0,8,9,88.9,1,11,12,7,0,0,1,2,13
Reggie Jackson,LAC,vs.POR,04/06/2021,W,26,23,8,12,66.7,4,6,66.7,3,3,100,0,3,3,2,1,1,0,4,25
Patrick Patterson,LAC,vs.POR,04/06/2021,W,20,5,2,5,40.0,1,3,33.3,0,0,-,1,4,5,0,0,0,0,1,26
Carmelo Anthony,POR,@LAC,04/06/2021,L,17,8,2,10,20.0,2,5,40.0,2,2,100,0,5,5,1,0,0,0,2,-19
Harry Giles III,POR,@LAC,04/06/2021,L,4,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,3
Rajon Rondo,LAC,vs.POR,04/06/2021,W,15,2,1,4,25.0,0,2,0.0,0,0,-,2,0,2,1,0,1,2,2,9
Ivica Zubac,LAC,vs.POR,04/06/2021,W,24,11,5,7,71.4,0,0,-,1,2,50.0,1,4,5,2,0,0,0,2,-3
Nassir Little,POR,@LAC,04/06/2021,L,12,5,2,5,40.0,1,3,33.3,0,0,-,1,5,6,0,0,1,0,2,-16
Luke Kennard,LAC,vs.POR,04/06/2021,W,3,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-1
DeMarcus Cousins,LAC,vs.POR,04/06/2021,W,8,7,3,4,75.0,0,0,-,1,4,25.0,2,2,4,2,0,0,1,2,-7
Paul George,LAC,vs.POR,04/06/2021,W,34,36,11,18,61.1,6,9,66.7,8,8,100,1,2,3,5,1,1,3,3,7
Derrick Jones Jr.,POR,@LAC,04/06/2021,L,12,6,2,5,40.0,1,3,33.3,1,2,50.0,1,1,2,0,0,0,0,1,-6
Norman Powell,POR,@LAC,04/06/2021,L,37,32,8,18,44.4,2,7,28.6,14,15,93.3,2,2,4,1,0,0,1,1,-15
Enes Kanter,POR,@LAC,04/06/2021,L,36,13,5,8,62.5,0,0,-,3,4,75.0,5,10,15,1,0,2,2,4,-1
Damian Lillard,POR,@LAC,04/06/2021,L,38,11,2,14,14.3,1,6,16.7,6,7,85.7,2,2,4,6,0,1,2,3,-13
Tyrese Maxey,PHI,@BOS,04/06/2021,W,1,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-4
Mike Scott,PHI,@BOS,04/06/2021,W,12,0,0,1,0.0,0,0,-,0,0,-,0,0,0,1,0,0,0,1,-9
Ben Simmons,PHI,@BOS,04/06/2021,W,36,12,4,7,57.1,0,0,-,4,8,50.0,0,4,4,6,3,0,2,2,11
Robert Williams III,BOS,vs.PHI,04/06/2021,L,14,4,2,2,100,0,0,-,0,0,-,2,7,9,1,0,1,3,6,-5
Joel Embiid,PHI,@BOS,04/06/2021,W,33,35,9,19,47.4,1,5,20.0,16,20,80.0,3,3,6,1,0,1,4,1,12
Luke Kornet,BOS,vs.PHI,04/06/2021,L,15,6,2,5,40.0,2,3,66.7,0,0,-,0,3,3,1,0,3,0,1,-7
Shake Milton,PHI,@BOS,04/06/2021,W,19,6,3,8,37.5,0,1,0.0,0,0,-,1,2,3,0,0,0,2,3,-6
Dwight Howard,PHI,@BOS,04/06/2021,W,14,4,0,1,0.0,0,1,0.0,4,4,100,2,7,9,0,1,0,1,3,0
Semi Ojeleye,BOS,vs.PHI,04/06/2021,L,12,2,0,1,0.0,0,0,-,2,2,100,0,1,1,1,0,0,0,4,-5
Furkan Korkmaz,PHI,@BOS,04/06/2021,W,14,10,3,7,42.9,1,4,25.0,3,4,75.0,1,2,3,0,1,0,1,0,-2
Moritz Wagner,BOS,vs.PHI,04/06/2021,L,5,0,0,0,-,0,0,-,0,0,-,0,2,2,1,0,0,0,0,9
Romeo Langford,BOS,vs.PHI,04/06/2021,L,14,2,1,3,33.3,0,1,0.0,0,0,-,0,1,1,1,1,0,1,0,0
Grant Williams,BOS,vs.PHI,04/06/2021,L,16,3,1,3,33.3,1,2,50.0,0,0,-,0,2,2,0,0,0,2,2,1
Tremont Waters,BOS,vs.PHI,04/06/2021,L,2,4,0,0,-,0,0,-,4,4,100,0,1,1,0,0,0,0,0,5
Kemba Walker,BOS,vs.PHI,04/06/2021,L,36,14,6,14,42.9,2,5,40.0,0,0,-,0,3,3,6,0,0,1,1,-13
Danny Green,PHI,@BOS,04/06/2021,W,24,17,6,7,85.7,5,6,83.3,0,0,-,0,2,2,1,2,0,1,3,21
Marcus Smart,BOS,vs.PHI,04/06/2021,L,36,14,4,9,44.4,1,3,33.3,5,7,71.4,0,1,1,3,1,1,6,1,-13
Seth Curry,PHI,@BOS,04/06/2021,W,32,9,4,9,44.4,1,5,20.0,0,0,-,0,1,1,2,1,0,0,3,16
Tacko Fall,BOS,vs.PHI,04/06/2021,L,9,2,1,1,100,0,0,-,0,0,-,0,1,1,0,1,0,0,1,1
Aaron Nesmith,BOS,vs.PHI,04/06/2021,L,2,2,1,2,50.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,5
Jaylen Brown,BOS,vs.PHI,04/06/2021,L,33,17,6,10,60.0,3,7,42.9,2,2,100,0,3,3,0,0,1,3,4,-22
Payton Pritchard,BOS,vs.PHI,04/06/2021,L,9,6,2,3,66.7,2,3,66.7,0,0,-,1,0,1,0,1,0,1,1,1
Matisse Thybulle,PHI,@BOS,04/06/2021,W,20,3,1,2,50.0,1,2,50.0,0,0,-,0,2,2,1,1,1,0,1,-7
Tobias Harris,PHI,@BOS,04/06/2021,W,34,10,4,11,36.4,0,0,-,2,3,66.7,2,6,8,4,2,1,2,2,20
Carsen Edwards,BOS,vs.PHI,04/06/2021,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,5
Paul Reed,PHI,@BOS,04/06/2021,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,0,-2
Jayson Tatum,BOS,vs.PHI,04/06/2021,L,35,20,7,17,41.2,3,10,30.0,3,3,100,0,4,4,4,1,0,3,1,-12
Jrue Holiday,MIL,@GSW,04/06/2021,L,34,29,11,18,61.1,4,7,57.1,3,3,100,2,1,3,5,1,0,8,4,-13
Stephen Curry,GSW,vs.MIL,04/06/2021,W,38,41,14,21,66.7,5,10,50.0,8,9,88.9,2,4,6,4,0,0,4,2,3
Donte DiVincenzo,MIL,@GSW,04/06/2021,L,30,6,2,8,25.0,2,6,33.3,0,0,-,2,3,5,5,3,0,1,1,-4
Bryn Forbes,MIL,@GSW,04/06/2021,L,14,8,3,5,60.0,2,2,100,0,0,-,0,0,0,0,1,0,0,0,-3
Draymond Green,GSW,vs.MIL,04/06/2021,W,29,6,3,8,37.5,0,3,0.0,0,0,-,2,3,5,8,0,1,2,6,5
James Wiseman,GSW,vs.MIL,04/06/2021,W,25,13,6,13,46.2,0,1,0.0,1,1,100,3,7,10,2,0,1,0,0,-7
Thanasis Antetokounmpo,MIL,@GSW,04/06/2021,L,20,10,4,4,100,0,0,-,2,3,66.7,0,5,5,1,0,0,0,2,4
Axel Toupane,MIL,@GSW,04/06/2021,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3
Khris Middleton,MIL,@GSW,04/06/2021,L,37,28,10,19,52.6,2,4,50.0,6,6,100,0,2,2,7,1,0,5,1,7
Kelly Oubre Jr.,GSW,vs.MIL,04/06/2021,W,37,19,6,14,42.9,4,8,50.0,3,4,75.0,1,5,6,1,2,0,3,3,5
Damion Lee,GSW,vs.MIL,04/06/2021,W,18,2,1,2,50.0,0,1,0.0,0,0,-,0,5,5,0,0,0,1,1,-2
Brook Lopez,MIL,@GSW,04/06/2021,L,33,9,3,9,33.3,0,4,0.0,3,3,100,1,2,3,2,0,2,0,2,-5
Pat Connaughton,MIL,@GSW,04/06/2021,L,25,3,1,6,16.7,0,4,0.0,1,2,50.0,1,7,8,2,0,0,0,0,9
Jeff Teague,MIL,@GSW,04/06/2021,L,16,15,5,7,71.4,2,2,100,3,3,100,0,1,1,3,0,0,0,3,-2
Bobby Portis,MIL,@GSW,04/06/2021,L,28,13,5,10,50.0,2,3,66.7,1,2,50.0,0,13,13,0,1,0,0,0,6
Kevon Looney,GSW,vs.MIL,04/06/2021,W,17,4,2,4,50.0,0,1,0.0,0,0,-,2,2,4,3,1,0,0,2,2
Kent Bazemore,GSW,vs.MIL,04/06/2021,W,26,18,6,10,60.0,4,4,100,2,2,100,0,1,1,2,2,0,1,2,-1
Jordan Poole,GSW,vs.MIL,04/06/2021,W,17,10,4,9,44.4,1,4,25.0,1,1,100,0,1,1,6,0,0,0,2,3
Jordan Nwora,MIL,@GSW,04/06/2021,L,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-1
Andrew Wiggins,GSW,vs.MIL,04/06/2021,W,33,9,4,15,26.7,1,8,12.5,0,0,-,2,2,4,2,1,3,0,0,-3
Killian Hayes,DET,@OKC,04/05/2021,W,25,9,4,9,44.4,1,4,25.0,0,0,-,1,2,3,7,4,2,3,2,3
Tony Bradley,OKC,vs.DET,04/05/2021,L,22,9,4,7,57.1,0,0,-,1,2,50.0,2,7,9,2,0,1,1,2,3
Deividas Sirvydis,DET,@OKC,04/05/2021,W,5,5,1,2,50.0,1,1,100,2,2,100,0,3,3,0,0,0,0,0,1
Justin Robinson,OKC,vs.DET,04/05/2021,L,24,9,3,7,42.9,1,5,20.0,2,3,66.7,0,1,1,2,1,0,0,5,3
Cory Joseph,DET,@OKC,04/05/2021,W,19,9,4,6,66.7,1,2,50.0,0,0,-,0,5,5,4,0,0,2,2,10
Darius Miller,OKC,vs.DET,04/05/2021,L,13,3,1,3,33.3,1,3,33.3,0,0,-,0,1,1,3,3,0,0,0,-2
Isaiah Stewart,DET,@OKC,04/05/2021,W,22,12,4,6,66.7,0,0,-,4,4,100,1,5,6,0,1,4,1,1,10
Tyler Cook,DET,@OKC,04/05/2021,W,24,9,4,6,66.7,0,0,-,1,2,50.0,1,2,3,2,0,0,0,4,10
Josh Jackson,DET,@OKC,04/05/2021,W,20,14,5,10,50.0,2,2,100,2,2,100,3,2,5,2,1,0,2,2,8
Svi Mykhailiuk,OKC,vs.DET,04/05/2021,L,26,17,5,10,50.0,1,4,25.0,6,6,100,0,3,3,2,4,0,1,0,-22
Theo Maledon,OKC,vs.DET,04/05/2021,L,26,14,5,12,41.7,0,2,0.0,4,5,80.0,0,6,6,1,0,0,3,1,-26
Kenrich Williams,OKC,vs.DET,04/05/2021,L,22,6,2,10,20.0,0,3,0.0,2,2,100,3,1,4,2,1,0,1,4,-17
Ty Jerome,OKC,vs.DET,04/05/2021,L,28,10,5,12,41.7,0,3,0.0,0,0,-,0,3,3,5,0,0,1,0,-7
Aleksej Pokusevski,OKC,vs.DET,04/05/2021,L,32,19,8,19,42.1,2,6,33.3,1,1,100,2,2,4,0,0,2,4,4,-27
Frank Jackson,DET,@OKC,04/05/2021,W,18,10,4,7,57.1,2,3,66.7,0,0,-,1,1,2,0,0,0,0,1,8
Saben Lee,DET,@OKC,04/05/2021,W,16,8,3,5,60.0,0,0,-,2,2,100,0,4,4,6,1,0,2,2,12
Moses Brown,OKC,vs.DET,04/05/2021,L,26,11,4,7,57.1,0,0,-,3,4,75.0,2,3,5,0,0,2,1,3,-27
Jaylen Hoard,OKC,vs.DET,04/05/2021,L,22,10,4,10,40.0,0,1,0.0,2,2,100,4,2,6,0,1,1,3,1,2
Hamidou Diallo,DET,@OKC,04/05/2021,W,24,11,5,10,50.0,1,2,50.0,0,2,0.0,3,5,8,4,1,1,2,2,15
Sekou Doumbouya,DET,@OKC,04/05/2021,W,23,14,5,11,45.5,2,6,33.3,2,2,100,1,2,3,2,0,0,1,3,12
Saddiq Bey,DET,@OKC,04/05/2021,W,22,10,3,8,37.5,1,4,25.0,3,3,100,1,2,3,0,1,0,0,0,13
Jerami Grant,DET,@OKC,04/05/2021,W,23,21,7,15,46.7,2,4,50.0,5,5,100,1,4,5,5,1,0,1,1,18
Garrison Mathews,WAS,@TOR,04/05/2021,L,29,17,5,7,71.4,4,6,66.7,3,3,100,0,0,0,0,0,0,1,1,-8
Robin Lopez,WAS,@TOR,04/05/2021,L,9,1,0,0,-,0,0,-,1,2,50.0,1,0,1,0,0,0,0,0,-7
DeAndre' Bembry,TOR,vs.WAS,04/05/2021,W,30,15,7,10,70.0,0,1,0.0,1,2,50.0,0,7,7,5,1,1,0,5,1
Malachi Flynn,TOR,vs.WAS,04/05/2021,W,34,16,6,13,46.2,2,4,50.0,2,2,100,0,6,6,4,4,3,3,3,11
Ish Smith,WAS,@TOR,04/05/2021,L,21,10,5,12,41.7,0,0,-,0,0,-,1,4,5,3,1,0,3,0,-10
OG Anunoby,TOR,vs.WAS,04/05/2021,W,38,14,6,17,35.3,1,6,16.7,1,2,50.0,0,6,6,2,0,1,2,2,4
Deni Avdija,WAS,@TOR,04/05/2021,L,40,12,4,10,40.0,2,6,33.3,2,2,100,2,8,10,1,0,1,0,1,8
Raul Neto,WAS,@TOR,04/05/2021,L,26,4,2,11,18.2,0,4,0.0,0,0,-,0,2,2,4,1,0,2,5,7
Pascal Siakam,TOR,vs.WAS,04/05/2021,W,36,22,10,16,62.5,0,4,0.0,2,2,100,1,4,5,3,2,1,3,3,-20
Russell Westbrook,WAS,@TOR,04/05/2021,L,40,23,9,25,36.0,1,6,16.7,4,4,100,2,12,14,11,1,0,4,1,-4
Anthony Gill,WAS,@TOR,04/05/2021,L,10,2,1,5,20.0,0,2,0.0,0,0,-,5,1,6,0,1,0,1,2,-4
Yuta Watanabe,TOR,vs.WAS,04/05/2021,W,18,2,1,2,50.0,0,1,0.0,0,0,-,1,2,3,2,1,0,0,0,18
Aron Baynes,TOR,vs.WAS,04/05/2021,W,21,10,4,9,44.4,1,4,25.0,1,1,100,3,5,8,1,0,0,3,2,20
Alex Len,WAS,@TOR,04/05/2021,L,29,13,6,10,60.0,0,0,-,1,3,33.3,4,4,8,0,0,4,3,4,11
Davis Bertans,WAS,@TOR,04/05/2021,L,24,17,5,8,62.5,5,8,62.5,2,2,100,0,5,5,2,2,0,1,2,12
Chandler Hutchison,WAS,@TOR,04/05/2021,L,13,2,0,6,0.0,0,3,0.0,2,2,100,0,3,3,0,1,0,1,2,-15
Stanley Johnson,TOR,vs.WAS,04/05/2021,W,12,0,0,0,-,0,0,-,0,0,-,0,3,3,2,1,0,1,2,7
Chris Boucher,TOR,vs.WAS,04/05/2021,W,20,8,3,12,25.0,1,7,14.3,1,2,50.0,1,4,5,1,2,3,1,1,-14
Gary Trent Jr.,TOR,vs.WAS,04/05/2021,W,31,16,7,15,46.7,2,6,33.3,0,0,-,0,2,2,2,0,0,0,2,-17
Maurice Harkless,SAC,@MIN,04/05/2021,L,14,2,1,1,100,0,0,-,0,0,-,0,1,1,1,0,1,0,4,-14
Richaun Holmes,SAC,@MIN,04/05/2021,L,35,11,5,10,50.0,0,1,0.0,1,2,50.0,3,3,6,2,1,3,0,4,-1
Buddy Hield,SAC,@MIN,04/05/2021,L,32,18,6,17,35.3,6,16,37.5,0,0,-,0,7,7,3,2,1,3,2,-2
Jake Layman,MIN,vs.SAC,04/05/2021,W,3,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,1,0,1,0,6
D'Angelo Russell,MIN,vs.SAC,04/05/2021,W,24,25,7,19,36.8,4,7,57.1,7,9,77.8,1,4,5,3,1,1,2,2,8
Jarrett Culver,MIN,vs.SAC,04/05/2021,W,7,0,0,1,0.0,0,0,-,0,0,-,0,0,0,1,0,0,0,2,-5
De'Aaron Fox,SAC,@MIN,04/05/2021,L,38,31,8,16,50.0,2,4,50.0,13,15,86.7,1,5,6,9,2,0,4,3,-6
Harrison Barnes,SAC,@MIN,04/05/2021,L,37,21,9,14,64.3,0,3,0.0,3,4,75.0,3,9,12,4,1,0,2,1,-3
Karl-Anthony Towns,MIN,vs.SAC,04/05/2021,W,36,23,8,18,44.4,2,3,66.7,5,5,100,4,9,13,5,2,0,1,2,2
Jaden McDaniels,MIN,vs.SAC,04/05/2021,W,20,4,2,5,40.0,0,1,0.0,0,0,-,2,3,5,0,0,1,1,5,-4
Hassan Whiteside,SAC,@MIN,04/05/2021,L,13,7,3,6,50.0,0,0,-,1,2,50.0,1,4,5,0,1,1,1,0,-9
Juancho Hernangomez,MIN,vs.SAC,04/05/2021,W,26,17,5,10,50.0,1,3,33.3,6,8,75.0,4,5,9,1,1,0,0,0,17
Tyrese Haliburton,SAC,@MIN,04/05/2021,L,33,9,4,9,44.4,0,2,0.0,1,1,100,1,1,2,7,2,2,1,2,9
Ricky Rubio,MIN,vs.SAC,04/05/2021,W,27,4,1,5,20.0,0,3,0.0,2,2,100,0,1,1,5,1,1,2,1,-3
Anthony Edwards,MIN,vs.SAC,04/05/2021,W,38,19,5,15,33.3,3,10,30.0,6,7,85.7,1,7,8,5,2,0,7,1,15
Terence Davis,SAC,@MIN,04/05/2021,L,18,3,1,8,12.5,1,6,16.7,0,0,-,0,1,1,0,0,0,0,2,-16
Naz Reid,MIN,vs.SAC,04/05/2021,W,21,10,4,8,50.0,2,3,66.7,0,0,-,0,7,7,0,1,1,0,1,21
Josh Okogie,MIN,vs.SAC,04/05/2021,W,20,6,2,3,66.7,0,0,-,2,2,100,3,0,3,0,1,0,0,2,-16
