Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Jarrett Allen,CLE,@WAS,05/14/2021,L,35,18,7,12,58.3,0,1,0.0,4,6,66.7,3,11,14,3,0,1,2,2,-1
Daniel Gafford,WAS,vs.CLE,05/14/2021,W,21,12,3,5,60.0,0,0,-,6,6,100,3,2,5,0,0,3,1,1,15
Garrison Mathews,WAS,vs.CLE,05/14/2021,W,17,9,2,6,33.3,2,6,33.3,3,4,75.0,0,2,2,0,0,0,0,3,11
Brodric Thomas,CLE,@WAS,05/14/2021,L,23,6,3,8,37.5,0,3,0.0,0,0,-,0,1,1,3,2,0,0,3,-25
Jeremiah Martin,CLE,@WAS,05/14/2021,L,11,0,0,2,0.0,0,1,0.0,0,0,-,0,0,0,0,0,1,1,0,-9
Dean Wade,CLE,@WAS,05/14/2021,L,35,12,4,8,50.0,2,6,33.3,2,2,100,0,9,9,1,0,0,0,2,-10
Davis Bertans,WAS,vs.CLE,05/14/2021,W,32,17,4,12,33.3,3,11,27.3,6,7,85.7,0,1,1,0,1,0,1,2,4
Chandler Hutchison,WAS,vs.CLE,05/14/2021,W,22,6,2,5,40.0,1,1,100,1,1,100,0,4,4,0,1,1,2,2,-4
Isaac Okoro,CLE,@WAS,05/14/2021,L,39,17,7,19,36.8,2,10,20.0,1,2,50.0,2,4,6,5,0,0,1,3,1
Alex Len,WAS,vs.CLE,05/14/2021,W,11,4,2,3,66.7,0,0,-,0,0,-,2,3,5,0,1,1,0,1,2
Dorian Finney-Smith,DAL,vs.TOR,05/14/2021,W,28,17,6,8,75.0,4,6,66.7,1,2,50.0,0,3,3,2,0,0,0,3,5
Aron Baynes,TOR,@DAL,05/14/2021,L,21,13,5,6,83.3,2,3,66.7,1,1,100,0,6,6,1,1,1,1,1,12
Trey Burke,DAL,vs.TOR,05/14/2021,W,11,7,3,6,50.0,1,3,33.3,0,0,-,1,1,2,1,1,0,1,1,10
Willie Cauley-Stein,DAL,vs.TOR,05/14/2021,W,14,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,1,4,-9
Tim Hardaway Jr.,DAL,vs.TOR,05/14/2021,W,25,7,1,11,9.1,1,8,12.5,4,4,100,0,1,1,4,2,0,0,1,7
Malachi Flynn,TOR,@DAL,05/14/2021,L,37,26,11,21,52.4,3,8,37.5,1,2,50.0,1,5,6,5,2,0,0,2,-6
Freddie Gillespie,TOR,@DAL,05/14/2021,L,36,4,1,2,50.0,0,0,-,2,2,100,1,6,7,1,1,1,2,3,-10
Jalen Brunson,DAL,vs.TOR,05/14/2021,W,25,19,8,11,72.7,3,4,75.0,0,0,-,0,5,5,4,0,1,2,0,4
Kristaps Porzingis,DAL,vs.TOR,05/14/2021,W,34,21,9,19,47.4,3,5,60.0,0,0,-,5,5,10,2,0,0,0,4,8
Stanley Johnson,TOR,@DAL,05/14/2021,L,35,15,5,16,31.3,2,6,33.3,3,3,100,2,8,10,1,1,0,1,3,1
Luka Doncic,DAL,vs.TOR,05/14/2021,W,34,20,7,19,36.8,1,8,12.5,5,5,100,1,9,10,11,0,1,1,4,-5
Khem Birch,TOR,@DAL,05/14/2021,L,36,13,5,12,41.7,1,6,16.7,2,2,100,0,6,6,1,0,2,4,4,-13
Dwight Powell,DAL,vs.TOR,05/14/2021,W,26,7,1,3,33.3,0,0,-,5,6,83.3,1,3,4,1,0,1,1,0,0
DeAndre' Bembry,TOR,@DAL,05/14/2021,L,38,8,3,7,42.9,0,3,0.0,2,4,50.0,0,7,7,6,1,1,1,4,1
Josh Richardson,DAL,vs.TOR,05/14/2021,W,21,10,2,7,28.6,2,2,100,4,4,100,1,0,1,1,1,0,1,1,-7
Nicolo Melli,DAL,vs.TOR,05/14/2021,W,21,6,2,6,33.3,2,6,33.3,0,0,-,2,2,4,1,0,0,1,0,7
Jalen Harris,TOR,@DAL,05/14/2021,L,36,31,12,21,57.1,5,12,41.7,2,3,66.7,0,2,2,4,1,0,2,1,-5
