date,start_et,team_away,pts_away,team_home,pts_home,overtime,n_attending,notes,is_playoffs
2017-11-05,7:00p,Utah Jazz,110,Houston Rockets,137,,16914,,0
2017-11-06,7:30p,Boston Celtics,110,Atlanta Hawks,107,,13215,,0
2017-11-06,9:00p,Brooklyn Nets,98,Phoenix Suns,92,,15905,,0
2017-11-06,10:30p,Miami Heat,80,Golden State Warriors,97,,19596,,0
2017-11-07,10:00p,Oklahoma City Thunder,86,Sacramento Kings,94,,17583,,0
2017-11-07,10:00p,Memphis Grizzlies,98,Portland Trail Blazers,97,,18692,,0
2017-11-07,9:00p,Philadelphia 76ers,104,Utah Jazz,97,,16063,,0
2017-11-07,9:00p,Brooklyn Nets,104,Denver Nuggets,112,,14058,,0
2017-11-07,8:30p,Los Angeles Clippers,107,San Antonio Spurs,120,,18418,,0
2017-11-07,7:30p,Chicago Bulls,114,Toronto Raptors,119,,19800,,0
2017-11-07,7:00p,Dallas Mavericks,113,Washington Wizards,99,,14505,,0
2017-11-07,7:00p,New Orleans Pelicans,117,Indiana Pacers,112,,15014,,0
2017-11-07,7:00p,Milwaukee Bucks,119,Cleveland Cavaliers,124,,20562,,0
2017-11-07,7:30p,Charlotte Hornets,113,New York Knicks,118,,18704,,0
2017-11-08,7:00p,Indiana Pacers,97,Detroit Pistons,114,,14407,,0
2017-11-08,7:00p,New York Knicks,99,Orlando Magic,112,,18803,,0
2017-11-08,8:00p,Los Angeles Lakers,96,Boston Celtics,107,,18624,,0
2017-11-08,9:00p,Miami Heat,126,Phoenix Suns,115,,16500,,0
2017-11-08,10:30p,Minnesota Timberwolves,101,Golden State Warriors,125,,19596,,0
2017-11-09,10:30p,Oklahoma City Thunder,94,Denver Nuggets,102,,19520,,0
2017-11-09,10:00p,Philadelphia 76ers,108,Sacramento Kings,109,,17583,,0
2017-11-09,7:30p,New Orleans Pelicans,118,Toronto Raptors,122,,19800,,0
2017-11-09,8:00p,Cleveland Cavaliers,113,Houston Rockets,117,,18055,,0
2017-11-09,7:00p,Los Angeles Lakers,95,Washington Wizards,111,,20356,,0
2017-11-10,7:00p,Atlanta Hawks,104,Detroit Pistons,111,,16687,,0
2017-11-10,7:30p,Charlotte Hornets,87,Boston Celtics,90,,18624,,0
2017-11-10,8:00p,Indiana Pacers,105,Chicago Bulls,87,,22416,,0
2017-11-10,9:00p,Los Angeles Clippers,111,Oklahoma City Thunder,120,,18203,,0
2017-11-10,9:00p,Orlando Magic,128,Phoenix Suns,112,,16507,,0
2017-11-10,9:00p,Milwaukee Bucks,94,San Antonio Spurs,87,,18418,,0
2017-11-10,9:00p,Miami Heat,84,Utah Jazz,74,,18306,,0
2017-11-10,10:00p,Brooklyn Nets,101,Portland Trail Blazers,97,,19393,,0
2017-11-11,9:00p,Brooklyn Nets,106,Utah Jazz,114,,17413,,0
2017-11-11,9:00p,Minnesota Timberwolves,110,Phoenix Suns,118,,16910,,0
2017-11-11,8:30p,Chicago Bulls,94,San Antonio Spurs,133,,18418,,0
2017-11-11,8:30p,Los Angeles Lakers,90,Milwaukee Bucks,98,,18717,,0
2017-11-11,8:30p,Philadelphia 76ers,114,Golden State Warriors,135,,19596,,0
2017-11-11,9:00p,Orlando Magic,107,Denver Nuggets,125,,16688,,0
2017-11-11,8:00p,Sacramento Kings,91,New York Knicks,118,,19812,,0
2017-11-11,8:00p,Memphis Grizzlies,96,Houston Rockets,111,,18055,,0
2017-11-11,8:30p,Cleveland Cavaliers,111,Dallas Mavericks,104,,20378,,0
2017-11-11,7:00p,Atlanta Hawks,94,Washington Wizards,113,,17260,,0
2017-11-11,7:00p,Los Angeles Clippers,103,New Orleans Pelicans,111,,17624,,0
2017-11-12,7:00p,Dallas Mavericks,99,Oklahoma City Thunder,112,,18203,,0
2017-11-12,6:00p,Houston Rockets,118,Indiana Pacers,95,,15581,,0
2017-11-12,3:30p,Toronto Raptors,94,Boston Celtics,95,,18624,,0
2017-11-12,4:00p,Miami Heat,103,Detroit Pistons,112,,16236,,0
2017-11-13,7:00p,Sacramento Kings,92,Washington Wizards,110,,14660,,0
2017-11-13,8:00p,Memphis Grizzlies,103,Milwaukee Bucks,110,,13244,,0
2017-11-13,8:00p,Atlanta Hawks,105,New Orleans Pelicans,106,,14631,,0
2017-11-13,9:00p,Los Angeles Lakers,100,Phoenix Suns,93,,17533,,0
2017-11-13,9:00p,Minnesota Timberwolves,109,Utah Jazz,98,,17236,,0
2017-11-13,10:00p,Denver Nuggets,82,Portland Trail Blazers,99,,18895,,0
2017-11-13,10:30p,Orlando Magic,100,Golden State Warriors,110,,19596,,0
2017-11-13,10:30p,Philadelphia 76ers,109,Los Angeles Clippers,105,,19068,,0
2017-11-13,7:30p,Cleveland Cavaliers,104,New York Knicks,101,,19812,,0
2017-11-14,8:30p,San Antonio Spurs,97,Dallas Mavericks,91,,19535,,0
2017-11-14,7:30p,Boston Celtics,109,Brooklyn Nets,102,,17732,,0
2017-11-14,8:00p,Toronto Raptors,129,Houston Rockets,113,,18055,,0
2017-11-15,8:00p,Chicago Bulls,79,Oklahoma City Thunder,92,,18203,,0
2017-11-15,7:30p,Utah Jazz,101,New York Knicks,106,,18695,,0
2017-11-15,10:30p,Philadelphia 76ers,115,Los Angeles Lakers,109,,18997,,0
2017-11-15,8:00p,Toronto Raptors,125,New Orleans Pelicans,116,,15654,,0
2017-11-15,10:00p,Orlando Magic,94,Portland Trail Blazers,99,,19206,,0
2017-11-15,8:00p,San Antonio Spurs,86,Minnesota Timberwolves,98,,18978,,0
2017-11-15,7:30p,Sacramento Kings,80,Atlanta Hawks,126,,13860,,0
2017-11-15,8:00p,Indiana Pacers,116,Memphis Grizzlies,113,,16033,,0
2017-11-15,8:00p,Cleveland Cavaliers,115,Charlotte Hornets,107,,19427,,0
2017-11-15,7:30p,Washington Wizards,102,Miami Heat,93,,19600,,0
2017-11-15,8:00p,Detroit Pistons,95,Milwaukee Bucks,99,,14594,,0
2017-11-16,8:00p,Golden State Warriors,88,Boston Celtics,92,,18624,,0
2017-11-16,10:30p,Houston Rockets,142,Phoenix Suns,116,,16875,,0
2017-11-17,10:30p,Phoenix Suns,122,Los Angeles Lakers,113,,18997,,0
2017-11-17,10:00p,Portland Trail Blazers,82,Sacramento Kings,86,,17583,,0
2017-11-17,8:30p,Minnesota Timberwolves,111,Dallas Mavericks,87,,19459,,0
2017-11-17,8:00p,Oklahoma City Thunder,101,San Antonio Spurs,104,,18418,,0
2017-11-17,8:00p,Charlotte Hornets,120,Chicago Bulls,123,,20493,,0
2017-11-17,10:30p,New Orleans Pelicans,114,Denver Nuggets,146,,16816,,0
2017-11-17,7:30p,Los Angeles Clippers,113,Cleveland Cavaliers,118,OT,20562,,0
2017-11-17,7:30p,Utah Jazz,107,Brooklyn Nets,118,,14495,,0
2017-11-17,7:00p,Miami Heat,91,Washington Wizards,88,,17551,,0
2017-11-17,7:00p,Detroit Pistons,100,Indiana Pacers,107,,17188,,0
2017-11-17,7:30p,New York Knicks,84,Toronto Raptors,107,,19800,,0
2017-11-18,10:00p,Sacramento Kings,90,Portland Trail Blazers,102,,19522,,0
2017-11-18,9:00p,Milwaukee Bucks,79,Dallas Mavericks,111,,19949,,0
2017-11-18,7:30p,Golden State Warriors,124,Philadelphia 76ers,116,,20848,,0
2017-11-18,8:00p,Houston Rockets,105,Memphis Grizzlies,83,,17266,,0
2017-11-18,7:00p,Utah Jazz,125,Orlando Magic,85,,19157,,0
2017-11-18,7:00p,Los Angeles Clippers,87,Charlotte Hornets,102,,17640,,0
2017-11-18,7:30p,Boston Celtics,110,Atlanta Hawks,99,,16381,,0
2017-11-19,9:30p,Denver Nuggets,109,Los Angeles Lakers,127,,18997,,0
2017-11-19,3:30p,Washington Wizards,91,Toronto Raptors,100,,19800,,0
2017-11-19,5:00p,Indiana Pacers,120,Miami Heat,95,,19600,,0
2017-11-19,6:00p,Golden State Warriors,118,Brooklyn Nets,111,,17732,,0
2017-11-19,7:00p,Detroit Pistons,100,Minnesota Timberwolves,97,,16069,,0
2017-11-19,8:00p,Chicago Bulls,105,Phoenix Suns,113,,16264,,0
2017-11-20,8:30p,Boston Celtics,110,Dallas Mavericks,102,OT,20302,,0
2017-11-20,8:00p,Oklahoma City Thunder,107,New Orleans Pelicans,114,,16765,,0
2017-11-20,10:00p,Denver Nuggets,114,Sacramento Kings,98,,17583,,0
2017-11-20,8:30p,Atlanta Hawks,85,San Antonio Spurs,96,,18418,,0
2017-11-20,8:00p,Washington Wizards,99,Milwaukee Bucks,88,,16122,,0
2017-11-20,8:00p,Portland Trail Blazers,100,Memphis Grizzlies,92,,15785,,0
2017-11-20,7:30p,Los Angeles Clippers,85,New York Knicks,107,,18848,,0
2017-11-20,7:00p,Utah Jazz,86,Philadelphia 76ers,107,,20587,,0
2017-11-20,7:00p,Indiana Pacers,105,Orlando Magic,97,,17239,,0
2017-11-20,7:00p,Cleveland Cavaliers,116,Detroit Pistons,88,,20491,,0
2017-11-20,7:00p,Minnesota Timberwolves,102,Charlotte Hornets,118,,15978,,0
2017-11-21,10:30p,Chicago Bulls,94,Los Angeles Lakers,103,,18997,,0
2017-11-22,10:30p,Los Angeles Lakers,102,Sacramento Kings,113,,17583,,0
2017-11-22,9:00p,Chicago Bulls,80,Utah Jazz,110,,17434,,0
2017-11-22,9:00p,Milwaukee Bucks,113,Phoenix Suns,107,OT,16270,,0
2017-11-22,8:00p,San Antonio Spurs,90,New Orleans Pelicans,107,,17539,,0
2017-11-22,8:00p,Orlando Magic,118,Minnesota Timberwolves,124,,16402,,0
2017-11-22,8:00p,Dallas Mavericks,95,Memphis Grizzlies,94,,16101,,0
2017-11-22,8:00p,Golden State Warriors,91,Oklahoma City Thunder,108,,18203,,0
2017-11-22,7:30p,Toronto Raptors,100,New York Knicks,108,,19812,,0
2017-11-22,7:30p,Boston Celtics,98,Miami Heat,104,,19704,,0
2017-11-22,7:30p,Los Angeles Clippers,116,Atlanta Hawks,103,,12675,,0
2017-11-22,7:00p,Portland Trail Blazers,81,Philadelphia 76ers,101,,20605,,0
2017-11-22,7:00p,Brooklyn Nets,109,Cleveland Cavaliers,119,,20562,,0
2017-11-22,7:00p,Washington Wizards,124,Charlotte Hornets,129,OT,16041,,0
2017-11-22,8:00p,Denver Nuggets,95,Houston Rockets,125,,18055,,0
2017-11-24,10:30p,Chicago Bulls,94,Golden State Warriors,143,,19596,,0
2017-11-24,9:00p,New Orleans Pelicans,115,Phoenix Suns,91,,16574,,0
2017-11-24,9:00p,Memphis Grizzlies,92,Denver Nuggets,104,,16736,,0
2017-11-24,8:00p,Detroit Pistons,99,Oklahoma City Thunder,98,,18203,,0
2017-11-24,8:00p,Miami Heat,109,Minnesota Timberwolves,97,,18978,,0
2017-11-24,8:00p,Charlotte Hornets,99,Cleveland Cavaliers,100,,20562,,0
2017-11-24,7:30p,Orlando Magic,103,Boston Celtics,118,,18624,,0
2017-11-24,7:30p,New York Knicks,104,Atlanta Hawks,116,,14355,,0
2017-11-24,12:00p,Portland Trail Blazers,127,Brooklyn Nets,125,,15246,,0
2017-11-24,8:00p,Toronto Raptors,104,Indiana Pacers,107,,16523,,0
2017-11-25,8:30p,Oklahoma City Thunder,81,Dallas Mavericks,97,,20340,,0
2017-11-25,9:00p,Milwaukee Bucks,108,Utah Jazz,121,,17298,,0
2017-11-25,8:30p,New Orleans Pelicans,95,Golden State Warriors,110,,19596,,0
2017-11-25,8:00p,Boston Celtics,108,Indiana Pacers,98,,16303,,0
2017-11-25,10:00p,Los Angeles Clippers,97,Sacramento Kings,95,,17583,,0
2017-11-25,7:30p,Toronto Raptors,112,Atlanta Hawks,78,,12278,,0
2017-11-25,7:00p,Portland Trail Blazers,108,Washington Wizards,105,,18092,,0
2017-11-25,7:00p,Orlando Magic,111,Philadelphia 76ers,130,,20585,,0
2017-11-25,7:00p,San Antonio Spurs,106,Charlotte Hornets,86,,18597,,0
2017-11-25,8:00p,New York Knicks,102,Houston Rockets,117,,18055,,0
2017-11-26,3:30p,Miami Heat,100,Chicago Bulls,93,,20928,,0
2017-11-26,3:30p,Phoenix Suns,108,Minnesota Timberwolves,119,,16448,,0
2017-11-26,6:00p,Brooklyn Nets,98,Memphis Grizzlies,88,,14889,,0
2017-11-27,10:30p,Los Angeles Lakers,115,Los Angeles Clippers,120,,18086,,0
2017-11-27,10:30p,Sacramento Kings,110,Golden State Warriors,106,,19596,,0
2017-11-27,8:30p,Dallas Mavericks,108,San Antonio Spurs,115,,17918,,0
2017-11-27,8:00p,Brooklyn Nets,103,Houston Rockets,117,,16189,,0
2017-11-27,7:30p,Detroit Pistons,118,Boston Celtics,108,,18624,,0
2017-11-27,7:00p,Cleveland Cavaliers,113,Philadelphia 76ers,91,,20527,,0
2017-11-27,7:00p,Orlando Magic,109,Indiana Pacers,121,,12501,,0
2017-11-27,7:30p,Portland Trail Blazers,103,New York Knicks,91,,18409,,0
2017-11-28,7:00p,Miami Heat,97,Cleveland Cavaliers,108,,20562,,0
2017-11-28,8:00p,Phoenix Suns,104,Chicago Bulls,99,,18324,,0
2017-11-28,8:00p,Washington Wizards,92,Minnesota Timberwolves,89,,13442,,0
2017-11-28,10:00p,Milwaukee Bucks,112,Sacramento Kings,87,,17583,,0
2017-11-28,10:00p,Denver Nuggets,77,Utah Jazz,106,,16790,,0
2017-11-29,8:00p,Minnesota Timberwolves,120,New Orleans Pelicans,102,,15555,,0
2017-11-29,8:30p,Memphis Grizzlies,95,San Antonio Spurs,104,,18013,,0
2017-11-29,10:30p,Golden State Warriors,127,Los Angeles Lakers,123,OT,18997,,0
2017-11-29,8:30p,Brooklyn Nets,109,Dallas Mavericks,104,,19327,,0
2017-11-29,8:00p,Indiana Pacers,97,Houston Rockets,118,,16760,,0
2017-11-29,7:00p,Oklahoma City Thunder,108,Orlando Magic,121,,17797,,0
2017-11-29,7:30p,Miami Heat,86,New York Knicks,115,,17693,,0
2017-11-29,7:00p,Washington Wizards,113,Philadelphia 76ers,118,,20492,,0
2017-11-29,7:00p,Phoenix Suns,107,Detroit Pistons,131,,18096,,0
2017-11-29,7:30p,Charlotte Hornets,113,Toronto Raptors,126,,19800,,0
2017-11-30,10:00p,Milwaukee Bucks,103,Portland Trail Blazers,91,,19459,,0
2017-11-30,9:00p,Chicago Bulls,110,Denver Nuggets,111,,15156,,0
2017-11-30,10:30p,Utah Jazz,126,Los Angeles Clippers,107,,15139,,0
2017-11-30,7:30p,Cleveland Cavaliers,121,Atlanta Hawks,114,,16379,,0
2017-11-30,7:30p,Philadelphia 76ers,97,Boston Celtics,108,,18624,,0
2017-12-01,9:00p,New Orleans Pelicans,108,Utah Jazz,114,,17725,,0
2017-12-01,7:00p,Golden State Warriors,133,Orlando Magic,112,,18846,,0
2017-12-01,7:00p,Detroit Pistons,91,Washington Wizards,109,,17885,,0
2017-12-01,7:30p,Indiana Pacers,115,Toronto Raptors,120,,19800,,0
2017-12-01,8:00p,Sacramento Kings,107,Chicago Bulls,106,,19268,,0
2017-12-01,8:00p,San Antonio Spurs,95,Memphis Grizzlies,79,,16413,,0
2017-12-01,8:00p,Charlotte Hornets,100,Miami Heat,105,,19600,,0
2017-12-01,8:00p,Minnesota Timberwolves,107,Oklahoma City Thunder,111,,18203,,0
2017-12-02,9:00p,Los Angeles Lakers,100,Denver Nuggets,115,,19520,,0
2017-12-02,8:30p,Sacramento Kings,104,Milwaukee Bucks,109,,15581,,0
2017-12-02,10:00p,New Orleans Pelicans,123,Portland Trail Blazers,116,,18730,,0
