date,start_et,team_away,pts_away,team_home,pts_home,overtime,n_attending,notes,is_playoffs
2017-10-17,8:01p,Boston Celtics,99,Cleveland Cavaliers,102,,20562,,0
2017-10-17,10:30p,Houston Rockets,122,Golden State Warriors,121,,19596,,0
2017-10-18,10:00p,Houston Rockets,105,Sacramento Kings,100,,17583,,0
2017-10-18,10:00p,Portland Trail Blazers,124,Phoenix Suns,76,,18055,,0
2017-10-18,9:00p,Denver Nuggets,96,Utah Jazz,106,,17588,,0
2017-10-18,8:30p,Atlanta Hawks,117,Dallas Mavericks,111,,19709,,0
2017-10-18,8:00p,New Orleans Pelicans,91,Memphis Grizzlies,103,,17794,,0
2017-10-18,9:30p,Minnesota Timberwolves,99,San Antonio Spurs,107,,18418,,0
2017-10-18,7:00p,Philadelphia 76ers,115,Washington Wizards,120,,20356,,0
2017-10-18,7:00p,Miami Heat,109,Orlando Magic,116,,18846,,0
2017-10-18,7:00p,Brooklyn Nets,131,Indiana Pacers,140,,15008,,0
2017-10-18,7:00p,Charlotte Hornets,90,Detroit Pistons,102,,20491,,0
2017-10-18,7:30p,Milwaukee Bucks,108,Boston Celtics,100,,18624,,0
2017-10-19,7:30p,Chicago Bulls,100,Toronto Raptors,117,,19800,,0
2017-10-19,8:00p,New York Knicks,84,Oklahoma City Thunder,105,,18203,,0
2017-10-19,10:30p,Los Angeles Clippers,108,Los Angeles Lakers,92,,18997,,0
2017-10-20,8:00p,Utah Jazz,97,Minnesota Timberwolves,100,,18978,,0
2017-10-20,10:00p,Los Angeles Lakers,132,Phoenix Suns,130,,18055,,0
2017-10-20,9:30p,Golden State Warriors,128,New Orleans Pelicans,120,,18171,,0
2017-10-20,8:30p,Sacramento Kings,93,Dallas Mavericks,88,,19273,,0
2017-10-20,7:30p,Orlando Magic,121,Brooklyn Nets,126,,16144,,0
2017-10-20,7:00p,Cleveland Cavaliers,116,Milwaukee Bucks,97,,18717,,0
2017-10-20,7:00p,Boston Celtics,102,Philadelphia 76ers,92,,20816,,0
2017-10-20,7:00p,Portland Trail Blazers,114,Indiana Pacers,96,,15325,,0
2017-10-20,7:00p,Atlanta Hawks,91,Charlotte Hornets,109,,18417,,0
2017-10-20,7:00p,Detroit Pistons,111,Washington Wizards,115,,16337,,0
2017-10-21,10:30p,Phoenix Suns,88,Los Angeles Clippers,130,,19068,,0
2017-10-21,7:30p,Philadelphia 76ers,94,Toronto Raptors,128,,19800,,0
2017-10-21,8:00p,San Antonio Spurs,87,Chicago Bulls,77,,21640,,0
2017-10-21,8:00p,Orlando Magic,114,Cleveland Cavaliers,93,,20562,,0
2017-10-21,8:00p,Dallas Mavericks,91,Houston Rockets,107,,18055,,0
2017-10-21,8:00p,Golden State Warriors,101,Memphis Grizzlies,111,,17794,,0
2017-10-21,8:00p,Indiana Pacers,108,Miami Heat,112,,19600,,0
2017-10-21,8:00p,Detroit Pistons,111,New York Knicks,107,,19812,,0
2017-10-21,8:30p,Portland Trail Blazers,110,Milwaukee Bucks,113,,16211,,0
2017-10-21,9:00p,Sacramento Kings,79,Denver Nuggets,96,,19520,,0
2017-10-21,9:00p,Oklahoma City Thunder,87,Utah Jazz,96,,18300,,0
2017-10-22,7:00p,Minnesota Timberwolves,115,Oklahoma City Thunder,113,,18203,,0
2017-10-22,9:30p,New Orleans Pelicans,119,Los Angeles Lakers,112,,18997,,0
2017-10-22,3:30p,Atlanta Hawks,104,Brooklyn Nets,116,,13917,,0
2017-10-23,7:00p,Philadelphia 76ers,97,Detroit Pistons,86,,13709,,0
2017-10-23,7:30p,Atlanta Hawks,93,Miami Heat,104,,19600,,0
2017-10-23,8:00p,Memphis Grizzlies,98,Houston Rockets,90,,17129,,0
2017-10-23,8:00p,Charlotte Hornets,94,Milwaukee Bucks,103,,12887,,0
2017-10-23,8:30p,Golden State Warriors,133,Dallas Mavericks,103,,19875,,0
2017-10-23,8:30p,Toronto Raptors,97,San Antonio Spurs,101,,18418,,0
2017-10-23,9:00p,Washington Wizards,109,Denver Nuggets,104,,14294,,0
2017-10-23,10:00p,Sacramento Kings,115,Phoenix Suns,117,,14903,,0
2017-10-24,10:30p,Utah Jazz,84,Los Angeles Clippers,102,,16607,,0
2017-10-24,10:00p,New Orleans Pelicans,93,Portland Trail Blazers,103,,19446,,0
2017-10-24,8:00p,Indiana Pacers,130,Minnesota Timberwolves,107,,14353,,0
2017-10-24,7:00p,Chicago Bulls,112,Cleveland Cavaliers,119,,20562,,0
2017-10-24,7:00p,Brooklyn Nets,121,Orlando Magic,125,,16015,,0
2017-10-24,7:30p,New York Knicks,89,Boston Celtics,110,,18624,,0
2017-10-25,8:30p,Memphis Grizzlies,94,Dallas Mavericks,103,,19674,,0
2017-10-25,10:30p,Washington Wizards,99,Los Angeles Lakers,102,OT,18996,,0
2017-10-25,10:30p,Toronto Raptors,112,Golden State Warriors,117,,19596,,0
2017-10-25,10:00p,Utah Jazz,88,Phoenix Suns,97,,16022,,0
2017-10-25,8:00p,San Antonio Spurs,117,Miami Heat,100,,19600,,0
2017-10-25,7:30p,Cleveland Cavaliers,107,Brooklyn Nets,112,,17732,,0
2017-10-25,7:00p,Houston Rockets,105,Philadelphia 76ers,104,,20682,,0
2017-10-25,7:00p,Minnesota Timberwolves,101,Detroit Pistons,122,,13790,,0
2017-10-25,7:00p,Denver Nuggets,93,Charlotte Hornets,110,,14253,,0
2017-10-25,8:00p,Indiana Pacers,96,Oklahoma City Thunder,114,,18203,,0
2017-10-26,8:00p,Atlanta Hawks,86,Chicago Bulls,91,,21104,,0
2017-10-26,8:00p,Dallas Mavericks,91,Memphis Grizzlies,96,,15839,,0
2017-10-26,8:00p,Boston Celtics,96,Milwaukee Bucks,89,,11046,,0
2017-10-26,10:00p,Los Angeles Clippers,104,Portland Trail Blazers,103,,18694,,0
2017-10-26,10:30p,New Orleans Pelicans,114,Sacramento Kings,106,,17583,,0
2017-10-27,10:30p,Washington Wizards,117,Golden State Warriors,120,,19596,,0
2017-10-27,7:00p,Houston Rockets,109,Charlotte Hornets,93,,17339,,0
2017-10-27,7:00p,San Antonio Spurs,87,Orlando Magic,114,,17337,,0
2017-10-27,7:30p,Denver Nuggets,105,Atlanta Hawks,100,,16220,,0
2017-10-27,7:30p,Brooklyn Nets,86,New York Knicks,107,,19812,,0
2017-10-27,8:00p,Oklahoma City Thunder,116,Minnesota Timberwolves,119,,17620,,0
2017-10-27,10:30p,Toronto Raptors,101,Los Angeles Lakers,92,,17876,,0
2017-10-28,9:00p,Los Angeles Lakers,81,Utah Jazz,96,,18306,,0
2017-10-28,10:30p,Detroit Pistons,95,Los Angeles Clippers,87,,17247,,0
2017-10-28,8:30p,Philadelphia 76ers,112,Dallas Mavericks,110,,19567,,0
2017-10-28,10:00p,Phoenix Suns,107,Portland Trail Blazers,114,,19343,,0
2017-10-28,8:00p,Houston Rockets,89,Memphis Grizzlies,103,,17033,,0
2017-10-28,7:00p,Cleveland Cavaliers,101,New Orleans Pelicans,123,,18539,,0
2017-10-28,8:00p,Boston Celtics,96,Miami Heat,90,,19600,,0
2017-10-28,8:00p,Oklahoma City Thunder,101,Chicago Bulls,69,,21706,,0
2017-10-29,7:00p,New York Knicks,114,Cleveland Cavaliers,95,,20562,,0
2017-10-29,6:00p,Washington Wizards,110,Sacramento Kings,83,,17583,,0
2017-10-29,6:00p,Orlando Magic,113,Charlotte Hornets,120,,15531,,0
2017-10-29,8:30p,Detroit Pistons,115,Golden State Warriors,107,,19596,,0
2017-10-29,4:30p,San Antonio Spurs,94,Indiana Pacers,97,,15013,,0
2017-10-29,3:30p,Milwaukee Bucks,117,Atlanta Hawks,106,,14014,,0
2017-10-29,6:00p,Denver Nuggets,124,Brooklyn Nets,111,,14854,,0
2017-10-30,7:30p,San Antonio Spurs,94,Boston Celtics,108,,18624,,0
2017-10-30,7:30p,Denver Nuggets,110,New York Knicks,116,,19812,,0
2017-10-30,8:00p,Philadelphia 76ers,115,Houston Rockets,107,,16714,,0
2017-10-30,8:00p,Charlotte Hornets,104,Memphis Grizzlies,99,,15771,,0
2017-10-30,8:00p,Orlando Magic,115,New Orleans Pelicans,99,,14004,,0
2017-10-30,9:00p,Dallas Mavericks,89,Utah Jazz,104,,16221,,0
2017-10-30,10:00p,Toronto Raptors,99,Portland Trail Blazers,85,,18505,,0
2017-10-30,10:30p,Golden State Warriors,141,Los Angeles Clippers,113,,19068,,0
2017-10-30,7:30p,Minnesota Timberwolves,125,Miami Heat,122,OT,19600,,0
2017-10-31,8:00p,Oklahoma City Thunder,110,Milwaukee Bucks,91,,16713,,0
2017-10-31,10:30p,Detroit Pistons,93,Los Angeles Lakers,113,,17569,,0
2017-10-31,7:30p,Phoenix Suns,122,Brooklyn Nets,114,,12936,,0
2017-10-31,7:00p,Sacramento Kings,83,Indiana Pacers,101,,12245,,0
2017-11-01,9:00p,Toronto Raptors,111,Denver Nuggets,129,,14072,,0
2017-11-01,10:30p,Dallas Mavericks,98,Los Angeles Clippers,119,,13487,,0
2017-11-01,9:00p,Portland Trail Blazers,103,Utah Jazz,112,OT,16685,,0
2017-11-01,8:00p,Houston Rockets,119,New York Knicks,97,,18320,,0
2017-11-01,8:00p,Orlando Magic,101,Memphis Grizzlies,99,,15434,,0
2017-11-01,8:00p,Minnesota Timberwolves,104,New Orleans Pelicans,98,,14788,,0
2017-11-01,7:30p,Sacramento Kings,86,Boston Celtics,113,,18624,,0
2017-11-01,7:00p,Phoenix Suns,122,Washington Wizards,116,,14790,,0
2017-11-01,7:00p,Atlanta Hawks,109,Philadelphia 76ers,119,,20549,,0
2017-11-01,7:00p,Indiana Pacers,124,Cleveland Cavaliers,107,,20562,,0
2017-11-01,7:00p,Milwaukee Bucks,121,Charlotte Hornets,126,,15655,,0
2017-11-01,7:30p,Chicago Bulls,91,Miami Heat,97,,19600,,0
2017-11-02,8:00p,Golden State Warriors,112,San Antonio Spurs,92,,18418,,0
2017-11-02,10:30p,Los Angeles Lakers,110,Portland Trail Blazers,113,,19469,,0
2017-11-03,8:30p,Charlotte Hornets,101,San Antonio Spurs,108,,18418,,0
2017-11-03,9:00p,Miami Heat,94,Denver Nuggets,95,,15317,,0
2017-11-03,10:30p,Brooklyn Nets,112,Los Angeles Lakers,124,,18997,,0
2017-11-03,9:30p,Boston Celtics,101,Oklahoma City Thunder,94,,18203,,0
2017-11-03,9:00p,Toronto Raptors,109,Utah Jazz,100,,16258,,0
2017-11-03,8:30p,New Orleans Pelicans,99,Dallas Mavericks,94,,19894,,0
2017-11-03,7:30p,Houston Rockets,119,Atlanta Hawks,104,,14087,,0
2017-11-03,7:00p,Cleveland Cavaliers,130,Washington Wizards,122,,20356,,0
2017-11-03,7:00p,Indiana Pacers,110,Philadelphia 76ers,121,,20668,,0
2017-11-03,7:00p,Chicago Bulls,105,Orlando Magic,83,,19171,,0
2017-11-03,7:00p,Milwaukee Bucks,96,Detroit Pistons,105,,17207,,0
2017-11-03,7:30p,Phoenix Suns,107,New York Knicks,120,,19404,,0
2017-11-04,3:30p,Memphis Grizzlies,113,Los Angeles Clippers,104,,14777,,0
2017-11-04,7:00p,Sacramento Kings,99,Detroit Pistons,108,,17683,,0
2017-11-04,8:00p,New Orleans Pelicans,96,Chicago Bulls,90,OT,21254,,0
2017-11-04,8:00p,Dallas Mavericks,99,Minnesota Timberwolves,112,,16837,,0
2017-11-04,9:00p,Golden State Warriors,127,Denver Nuggets,108,,19711,,0
2017-11-05,9:00p,Oklahoma City Thunder,99,Portland Trail Blazers,103,,19393,,0
2017-11-05,8:00p,Charlotte Hornets,94,Minnesota Timberwolves,112,,14124,,0
2017-11-05,7:30p,Indiana Pacers,101,New York Knicks,108,,17889,,0
2017-11-05,7:00p,Phoenix Suns,95,San Antonio Spurs,112,,18038,,0
2017-11-05,9:30p,Memphis Grizzlies,102,Los Angeles Lakers,107,,18997,,0
2017-11-05,6:00p,Washington Wizards,107,Toronto Raptors,96,,19800,,0
2017-11-05,6:00p,Boston Celtics,104,Orlando Magic,88,,17731,,0
2017-11-05,3:30p,Miami Heat,104,Los Angeles Clippers,101,,15676,,0
2017-11-05,3:00p,Atlanta Hawks,117,Cleveland Cavaliers,115,,20562,,0
