date,start_et,team_away,pts_away,team_home,pts_home,overtime,n_attending,notes,is_playoffs
2015-10-27,8:00p,Cleveland Cavaliers,95,Chicago Bulls,97,,21957,,0
2015-10-27,8:00p,Detroit Pistons,106,Atlanta Hawks,94,,19187,,0
2015-10-27,10:30p,New Orleans Pelicans,95,Golden State Warriors,111,,19596,,0
2015-10-28,10:30p,Minnesota Timberwolves,112,Los Angeles Lakers,111,,18997,,0
2015-10-28,10:00p,Los Angeles Clippers,111,Sacramento Kings,104,,17458,,0
2015-10-28,10:00p,New Orleans Pelicans,94,Portland Trail Blazers,112,,19393,,0
2015-10-28,10:00p,Dallas Mavericks,111,Phoenix Suns,95,,18055,,0
2015-10-28,8:00p,Cleveland Cavaliers,106,Memphis Grizzlies,76,,18119,,0
2015-10-28,8:00p,San Antonio Spurs,106,Oklahoma City Thunder,112,,18203,,0
2015-10-28,8:00p,Denver Nuggets,105,Houston Rockets,85,,18240,,0
2015-10-28,7:30p,Charlotte Hornets,94,Miami Heat,104,,19724,,0
2015-10-28,7:30p,Indiana Pacers,99,Toronto Raptors,106,,19800,,0
2015-10-28,7:30p,Utah Jazz,87,Detroit Pistons,92,,18434,,0
2015-10-28,7:30p,Chicago Bulls,115,Brooklyn Nets,100,,17732,,0
2015-10-28,7:30p,Philadelphia 76ers,95,Boston Celtics,112,,18624,,0
2015-10-28,7:00p,Washington Wizards,88,Orlando Magic,87,,18846,,0
2015-10-28,8:00p,New York Knicks,122,Milwaukee Bucks,97,,18717,,0
2015-10-29,7:00p,Memphis Grizzlies,112,Indiana Pacers,103,,18165,,0
2015-10-29,8:00p,Atlanta Hawks,112,New York Knicks,101,,19812,,0
2015-10-29,10:30p,Dallas Mavericks,88,Los Angeles Clippers,104,,19218,,0
2015-10-30,8:30p,Brooklyn Nets,75,San Antonio Spurs,102,,18418,,0
2015-10-30,10:30p,Portland Trail Blazers,92,Phoenix Suns,110,,18055,,0
2015-10-30,10:00p,Los Angeles Lakers,114,Sacramento Kings,132,,17391,,0
2015-10-30,9:30p,Golden State Warriors,112,Houston Rockets,92,,18142,,0
2015-10-30,9:00p,Minnesota Timberwolves,95,Denver Nuggets,78,,17660,,0
2015-10-30,8:00p,Washington Wizards,118,Milwaukee Bucks,113,,13858,,0
2015-10-30,7:00p,Miami Heat,92,Cleveland Cavaliers,102,,20562,,0
2015-10-30,7:30p,Chicago Bulls,94,Detroit Pistons,98,OT,16035,,0
2015-10-30,7:30p,Toronto Raptors,113,Boston Celtics,103,,16898,,0
2015-10-30,7:00p,Oklahoma City Thunder,139,Orlando Magic,136,2OT,18846,,0
2015-10-30,7:00p,Utah Jazz,99,Philadelphia 76ers,71,,17122,,0
