date,start_et,team_away,pts_away,team_home,pts_home,overtime,n_attending,notes,is_playoffs
2015-10-30,8:00p,Charlotte Hornets,94,Atlanta Hawks,97,,17024,,0
2015-10-31,7:00p,Utah Jazz,97,Indiana Pacers,76,,14412,,0
2015-10-31,7:00p,New York Knicks,117,Washington Wizards,110,,20356,,0
2015-10-31,7:30p,Golden State Warriors,134,New Orleans Pelicans,120,,18406,,0
2015-10-31,8:00p,Brooklyn Nets,91,Memphis Grizzlies,101,,16013,,0
2015-10-31,10:00p,Phoenix Suns,101,Portland Trail Blazers,90,,17906,,0
2015-10-31,10:30p,Sacramento Kings,109,Los Angeles Clippers,114,,19060,,0
2015-11-01,7:00p,Denver Nuggets,93,Oklahoma City Thunder,117,,18203,,0
2015-11-01,9:30p,Dallas Mavericks,103,Los Angeles Lakers,93,,18997,,0
2015-11-01,7:00p,Orlando Magic,87,Chicago Bulls,92,,21585,,0
2015-11-01,2:00p,Atlanta Hawks,94,Charlotte Hornets,92,,18691,,0
2015-11-01,6:00p,Houston Rockets,89,Miami Heat,109,,19600,,0
2015-11-01,3:30p,San Antonio Spurs,95,Boston Celtics,87,,17461,,0
2015-11-01,6:00p,Milwaukee Bucks,87,Toronto Raptors,106,,19800,,0
2015-11-02,7:00p,Cleveland Cavaliers,107,Philadelphia 76ers,100,,18094,,0
2015-11-02,7:30p,Milwaukee Bucks,103,Brooklyn Nets,96,,12576,,0
2015-11-02,7:30p,San Antonio Spurs,94,New York Knicks,84,,19812,,0
2015-11-02,8:00p,Oklahoma City Thunder,105,Houston Rockets,110,,17224,,0
2015-11-02,8:00p,Portland Trail Blazers,106,Minnesota Timberwolves,101,,18903,,0
2015-11-02,10:30p,Memphis Grizzlies,69,Golden State Warriors,119,,19596,,0
2015-11-02,10:30p,Phoenix Suns,96,Los Angeles Clippers,102,,19060,,0
2015-11-03,10:30p,Denver Nuggets,120,Los Angeles Lakers,109,,18997,,0
2015-11-03,10:00p,Memphis Grizzlies,103,Sacramento Kings,89,,17317,,0
2015-11-03,8:30p,Toronto Raptors,102,Dallas Mavericks,91,,20034,,0
2015-11-03,7:00p,Chicago Bulls,105,Charlotte Hornets,130,,15136,,0
2015-11-03,7:30p,Atlanta Hawks,98,Miami Heat,92,,19600,,0
2015-11-03,7:30p,Indiana Pacers,94,Detroit Pistons,82,,13325,,0
2015-11-03,8:00p,Orlando Magic,103,New Orleans Pelicans,94,,16876,,0
2015-11-04,8:00p,Toronto Raptors,103,Oklahoma City Thunder,98,,18203,,0
2015-11-04,10:30p,Los Angeles Clippers,108,Golden State Warriors,112,,19596,,0
2015-11-04,9:00p,Portland Trail Blazers,108,Utah Jazz,92,,19911,,0
2015-11-04,9:00p,Sacramento Kings,97,Phoenix Suns,118,,16497,,0
2015-11-04,8:00p,Philadelphia 76ers,87,Milwaukee Bucks,91,,12437,,0
2015-11-04,7:00p,Boston Celtics,98,Indiana Pacers,100,,14022,,0
2015-11-04,8:00p,New York Knicks,86,Cleveland Cavaliers,96,,20562,,0
2015-11-04,8:00p,Brooklyn Nets,87,Atlanta Hawks,101,,14044,,0
2015-11-04,7:00p,San Antonio Spurs,99,Washington Wizards,102,,17721,,0
2015-11-04,8:00p,Orlando Magic,114,Houston Rockets,119,OT,16735,,0
2015-11-05,8:00p,Oklahoma City Thunder,98,Chicago Bulls,104,,21861,,0
2015-11-05,8:00p,Miami Heat,96,Minnesota Timberwolves,84,,11794,,0
2015-11-05,8:30p,Charlotte Hornets,108,Dallas Mavericks,94,,19635,,0
2015-11-05,9:00p,Utah Jazz,96,Denver Nuggets,84,,9906,,0
2015-11-05,10:30p,Memphis Grizzlies,96,Portland Trail Blazers,115,,19393,,0
2015-11-06,9:30p,Detroit Pistons,100,Phoenix Suns,92,,16676,,0
2015-11-06,10:30p,Houston Rockets,116,Sacramento Kings,110,,16983,,0
2015-11-06,10:30p,Denver Nuggets,104,Golden State Warriors,119,,19596,,0
2015-11-06,8:00p,Atlanta Hawks,121,New Orleans Pelicans,115,,16983,,0
2015-11-06,8:00p,Miami Heat,87,Indiana Pacers,90,,16914,,0
2015-11-06,7:30p,Philadelphia 76ers,102,Cleveland Cavaliers,108,,20562,,0
2015-11-06,7:30p,Los Angeles Lakers,104,Brooklyn Nets,98,,17732,,0
2015-11-06,7:30p,Washington Wizards,98,Boston Celtics,118,,18624,,0
2015-11-06,7:00p,Toronto Raptors,87,Orlando Magic,92,,16578,,0
2015-11-06,7:30p,Milwaukee Bucks,99,New York Knicks,92,,19812,,0
2015-11-07,6:00p,Minnesota Timberwolves,102,Chicago Bulls,93,OT,21988,,0
2015-11-07,7:00p,Orlando Magic,105,Philadelphia 76ers,97,,15207,,0
2015-11-07,7:30p,Washington Wizards,99,Atlanta Hawks,114,,18047,,0
2015-11-07,8:30p,New Orleans Pelicans,98,Dallas Mavericks,107,,20454,,0
2015-11-07,8:30p,Brooklyn Nets,86,Milwaukee Bucks,94,,15228,,0
2015-11-07,8:30p,Charlotte Hornets,94,San Antonio Spurs,114,,18418,,0
2015-11-07,9:00p,Memphis Grizzlies,79,Utah Jazz,89,,19456,,0
2015-11-07,10:00p,Golden State Warriors,103,Sacramento Kings,94,,17317,,0
2015-11-07,10:30p,Houston Rockets,109,Los Angeles Clippers,105,,19361,,0
2015-11-08,9:00p,Detroit Pistons,120,Portland Trail Blazers,103,,19393,,0
2015-11-08,7:00p,Phoenix Suns,103,Oklahoma City Thunder,124,,18203,,0
2015-11-08,6:00p,Toronto Raptors,76,Miami Heat,96,,19600,,0
2015-11-08,3:30p,Los Angeles Lakers,95,New York Knicks,99,,19812,,0
2015-11-08,3:30p,Indiana Pacers,97,Cleveland Cavaliers,101,,20562,,0
2015-11-09,10:30p,Detroit Pistons,95,Golden State Warriors,109,,19596,,0
2015-11-09,10:00p,San Antonio Spurs,106,Sacramento Kings,88,,17317,,0
2015-11-09,9:00p,Portland Trail Blazers,104,Denver Nuggets,108,,9153,,0
2015-11-09,10:30p,Memphis Grizzlies,92,Los Angeles Clippers,94,,19060,,0
2015-11-09,7:00p,Chicago Bulls,111,Philadelphia 76ers,88,,13879,,0
2015-11-09,7:00p,Orlando Magic,84,Indiana Pacers,97,,13104,,0
2015-11-09,8:00p,Minnesota Timberwolves,117,Atlanta Hawks,107,,12016,,0
2015-11-10,8:00p,Dallas Mavericks,105,New Orleans Pelicans,120,,17128,,0
2015-11-10,7:00p,Utah Jazz,114,Cleveland Cavaliers,118,,20562,,0
2015-11-10,7:00p,Oklahoma City Thunder,125,Washington Wizards,101,,20356,,0
2015-11-10,7:30p,Los Angeles Lakers,88,Miami Heat,101,,19825,,0
2015-11-10,7:30p,New York Knicks,111,Toronto Raptors,109,,19800,,0
2015-11-10,8:00p,Boston Celtics,99,Milwaukee Bucks,83,,11822,,0
2015-11-10,8:00p,Charlotte Hornets,104,Minnesota Timberwolves,95,,14722,,0
2015-11-11,9:00p,Milwaukee Bucks,102,Denver Nuggets,103,,9403,,0
2015-11-11,8:00p,Golden State Warriors,100,Memphis Grizzlies,84,,18119,,0
2015-11-11,10:30p,San Antonio Spurs,113,Portland Trail Blazers,101,,19393,,0
2015-11-11,10:00p,Detroit Pistons,92,Sacramento Kings,101,,17317,,0
2015-11-11,8:00p,Brooklyn Nets,106,Houston Rockets,98,,18155,,0
2015-11-11,8:00p,Los Angeles Clippers,108,Dallas Mavericks,118,,19805,,0
2015-11-11,8:00p,New Orleans Pelicans,98,Atlanta Hawks,106,,15597,,0
2015-11-11,7:30p,Indiana Pacers,102,Boston Celtics,91,,17879,,0
2015-11-11,7:00p,Toronto Raptors,119,Philadelphia 76ers,103,,12744,,0
2015-11-11,7:00p,Los Angeles Lakers,99,Orlando Magic,101,,18846,,0
2015-11-11,7:00p,New York Knicks,93,Charlotte Hornets,95,,16643,,0
2015-11-12,7:30p,Utah Jazz,91,Miami Heat,92,,19600,,0
2015-11-12,8:00p,Golden State Warriors,129,Minnesota Timberwolves,116,,16130,,0
2015-11-12,10:30p,Los Angeles Clippers,104,Phoenix Suns,118,,17204,,0
2015-11-13,10:00p,Brooklyn Nets,109,Sacramento Kings,111,,17131,,0
2015-11-13,9:00p,Houston Rockets,98,Denver Nuggets,107,,16113,,0
2015-11-13,8:30p,Los Angeles Lakers,82,Dallas Mavericks,90,,20260,,0
2015-11-13,8:00p,Philadelphia 76ers,85,Oklahoma City Thunder,102,,18203,,0
2015-11-13,8:00p,Portland Trail Blazers,100,Memphis Grizzlies,101,,16919,,0
2015-11-13,7:30p,Atlanta Hawks,93,Boston Celtics,106,,17138,,0
2015-11-13,7:30p,New Orleans Pelicans,81,Toronto Raptors,100,,19800,,0
2015-11-13,7:30p,Cleveland Cavaliers,90,New York Knicks,84,,19812,,0
2015-11-13,7:00p,Utah Jazz,93,Orlando Magic,102,,16709,,0
2015-11-13,7:00p,Minnesota Timberwolves,103,Indiana Pacers,107,,16797,,0
2015-11-13,8:00p,Charlotte Hornets,97,Chicago Bulls,102,,21749,,0
2015-11-14,9:00p,Denver Nuggets,81,Phoenix Suns,105,,16722,,0
2015-11-14,10:30p,Brooklyn Nets,99,Golden State Warriors,107,OT,19596,,0
2015-11-14,8:30p,Philadelphia 76ers,83,San Antonio Spurs,92,,18418,,0
2015-11-14,3:30p,Detroit Pistons,96,Los Angeles Clippers,101,,19060,,0
2015-11-14,8:00p,Dallas Mavericks,110,Houston Rockets,98,,18231,,0
2015-11-14,7:00p,Orlando Magic,99,Washington Wizards,108,,18311,,0
2015-11-14,8:30p,Cleveland Cavaliers,105,Milwaukee Bucks,108,2OT,18717,,0
2015-11-15,12:00p,New Orleans Pelicans,87,New York Knicks,95,,19812,,0
2015-11-15,3:30p,Memphis Grizzlies,114,Minnesota Timberwolves,106,,12086,,0
2015-11-15,5:00p,Portland Trail Blazers,94,Charlotte Hornets,106,,15317,,0
2015-11-15,6:00p,Utah Jazz,97,Atlanta Hawks,96,,14436,,0
2015-11-15,7:00p,Boston Celtics,100,Oklahoma City Thunder,85,,18203,,0
2015-11-15,9:00p,Toronto Raptors,101,Sacramento Kings,107,,17006,,0
2015-11-15,9:30p,Detroit Pistons,85,Los Angeles Lakers,97,,18997,,0
2015-11-16,8:30p,Portland Trail Blazers,80,San Antonio Spurs,93,,18418,,0
2015-11-16,7:00p,Dallas Mavericks,92,Philadelphia 76ers,86,,11555,,0
2015-11-16,8:00p,Indiana Pacers,95,Chicago Bulls,96,,21660,,0
2015-11-16,8:00p,Boston Celtics,111,Houston Rockets,95,,17005,,0
2015-11-16,8:00p,Oklahoma City Thunder,114,Memphis Grizzlies,122,,17270,,0
2015-11-16,9:00p,Los Angeles Lakers,101,Phoenix Suns,120,,18055,,0
2015-11-17,8:00p,Denver Nuggets,115,New Orleans Pelicans,98,,17269,,0
2015-11-17,10:30p,Toronto Raptors,110,Golden State Warriors,115,,19596,,0
2015-11-17,7:30p,Charlotte Hornets,94,New York Knicks,102,,19812,,0
2015-11-17,7:30p,Minnesota Timberwolves,103,Miami Heat,91,,19600,,0
2015-11-17,7:30p,Cleveland Cavaliers,99,Detroit Pistons,104,,18442,,0
2015-11-17,7:30p,Atlanta Hawks,88,Brooklyn Nets,90,,12241,,0
2015-11-17,7:00p,Milwaukee Bucks,86,Washington Wizards,115,,15485,,0
2015-11-18,10:30p,Chicago Bulls,103,Phoenix Suns,97,,17377,,0
2015-11-18,9:00p,Toronto Raptors,89,Utah Jazz,93,,18741,,0
2015-11-18,8:00p,New Orleans Pelicans,103,Oklahoma City Thunder,110,,18203,,0
2015-11-18,8:00p,Portland Trail Blazers,103,Houston Rockets,108,OT,17107,,0
2015-11-18,8:30p,Denver Nuggets,98,San Antonio Spurs,109,,18418,,0
2015-11-18,7:30p,Dallas Mavericks,106,Boston Celtics,102,,17262,,0
2015-11-18,7:00p,Indiana Pacers,112,Philadelphia 76ers,85,,11080,,0
2015-11-18,7:00p,Minnesota Timberwolves,101,Orlando Magic,104,OT,16048,,0
2015-11-18,7:00p,Brooklyn Nets,111,Charlotte Hornets,116,,14040,,0
2015-11-18,8:00p,Sacramento Kings,97,Atlanta Hawks,103,,13008,,0
2015-11-19,7:30p,Sacramento Kings,109,Miami Heat,116,,19600,,0
2015-11-19,8:00p,Milwaukee Bucks,100,Cleveland Cavaliers,115,,20562,,0
2015-11-19,10:30p,Golden State Warriors,124,Los Angeles Clippers,117,,19528,,0
2015-11-20,9:00p,Phoenix Suns,114,Denver Nuggets,107,,12264,,0
2015-11-20,10:30p,Toronto Raptors,102,Los Angeles Lakers,91,,18997,,0
2015-11-20,10:30p,Chicago Bulls,94,Golden State Warriors,106,,19596,,0
2015-11-20,10:00p,Los Angeles Clippers,91,Portland Trail Blazers,102,,19393,,0
2015-11-20,8:30p,Utah Jazz,93,Dallas Mavericks,102,,20028,,0
2015-11-20,7:30p,Brooklyn Nets,95,Boston Celtics,120,,18361,,0
2015-11-20,8:00p,San Antonio Spurs,90,New Orleans Pelicans,104,,16698,,0
2015-11-20,8:00p,Detroit Pistons,96,Minnesota Timberwolves,86,,13445,,0
2015-11-20,8:00p,Houston Rockets,84,Memphis Grizzlies,96,,17555,,0
2015-11-20,7:00p,Philadelphia 76ers,88,Charlotte Hornets,113,,17926,,0
2015-11-20,8:00p,New York Knicks,93,Oklahoma City Thunder,90,,18203,,0
2015-11-21,5:00p,Sacramento Kings,97,Orlando Magic,91,,16104,,0
2015-11-21,7:00p,Milwaukee Bucks,86,Indiana Pacers,123,,17137,,0
2015-11-21,7:30p,Atlanta Hawks,97,Cleveland Cavaliers,109,,20562,,0
2015-11-21,7:30p,Washington Wizards,97,Detroit Pistons,95,,15890,,0
2015-11-21,8:00p,New York Knicks,107,Houston Rockets,102,,18226,,0
2015-11-21,8:00p,Philadelphia 76ers,91,Miami Heat,96,,19673,,0
2015-11-21,8:30p,Memphis Grizzlies,82,San Antonio Spurs,92,,18418,,0
2015-11-22,8:00p,Golden State Warriors,118,Denver Nuggets,105,,17689,,0
2015-11-22,7:00p,Dallas Mavericks,114,Oklahoma City Thunder,117,,18203,,0
2015-11-22,9:30p,Portland Trail Blazers,107,Los Angeles Lakers,93,,18997,,0
2015-11-22,6:00p,Boston Celtics,101,Brooklyn Nets,111,,14866,,0
2015-11-22,6:00p,Phoenix Suns,116,New Orleans Pelicans,122,,16680,,0
2015-11-22,3:30p,Toronto Raptors,91,Los Angeles Clippers,80,,19060,,0
2015-11-23,7:00p,Sacramento Kings,122,Charlotte Hornets,127,OT,14163,,0
2015-11-23,7:00p,Orlando Magic,103,Cleveland Cavaliers,117,,20562,,0
2015-11-23,7:30p,New York Knicks,78,Miami Heat,95,,19777,,0
2015-11-23,8:00p,Detroit Pistons,88,Milwaukee Bucks,109,,12319,,0
2015-11-23,8:00p,Philadelphia 76ers,95,Minnesota Timberwolves,100,,11382,,0
2015-11-23,8:30p,Phoenix Suns,84,San Antonio Spurs,98,,18418,,0
2015-11-23,9:00p,Oklahoma City Thunder,111,Utah Jazz,89,,19911,,0
2015-11-24,8:00p,Boston Celtics,97,Atlanta Hawks,121,,18968,,0
2015-11-24,10:30p,Los Angeles Lakers,77,Golden State Warriors,111,,19596,,0
2015-11-24,10:00p,Chicago Bulls,93,Portland Trail Blazers,88,,19393,,0
2015-11-24,7:00p,Indiana Pacers,123,Washington Wizards,106,,15486,,0
2015-11-24,8:00p,Dallas Mavericks,96,Memphis Grizzlies,110,,17381,,0
2015-11-24,9:00p,Los Angeles Clippers,111,Denver Nuggets,94,,13257,,0
2015-11-25,8:00p,Sacramento Kings,129,Milwaukee Bucks,118,,14120,,0
2015-11-25,9:00p,New Orleans Pelicans,120,Phoenix Suns,114,,16338,,0
2015-11-25,8:30p,Dallas Mavericks,83,San Antonio Spurs,88,,18418,,0
2015-11-25,8:00p,Brooklyn Nets,99,Oklahoma City Thunder,110,,18203,,0
2015-11-25,8:00p,Atlanta Hawks,95,Minnesota Timberwolves,99,,14289,,0
2015-11-25,10:30p,Utah Jazz,102,Los Angeles Clippers,91,,19060,,0
2015-11-25,8:00p,Memphis Grizzlies,102,Houston Rockets,93,,18143,,0
2015-11-25,7:30p,Miami Heat,81,Detroit Pistons,104,,15119,,0
2015-11-25,7:30p,Philadelphia 76ers,80,Boston Celtics,84,,17588,,0
2015-11-25,7:00p,New York Knicks,91,Orlando Magic,100,,18846,,0
2015-11-25,7:00p,Washington Wizards,87,Charlotte Hornets,101,,17064,,0
2015-11-25,7:30p,Cleveland Cavaliers,99,Toronto Raptors,103,,20140,,0
2015-11-27,10:30p,New Orleans Pelicans,90,Los Angeles Clippers,111,,19162,,0
2015-11-27,10:00p,Minnesota Timberwolves,101,Sacramento Kings,91,,17317,,0
2015-11-27,9:30p,Golden State Warriors,135,Phoenix Suns,116,,18055,,0
2015-11-27,9:00p,San Antonio Spurs,91,Denver Nuggets,80,,17121,,0
2015-11-27,8:00p,Detroit Pistons,87,Oklahoma City Thunder,103,,18203,,0
2015-11-27,8:00p,Atlanta Hawks,116,Memphis Grizzlies,101,,17684,,0
2015-11-27,8:00p,Philadelphia 76ers,114,Houston Rockets,116,,17306,,0
2015-11-27,7:30p,Miami Heat,97,New York Knicks,78,,19812,,0
2015-11-27,7:30p,Washington Wizards,78,Boston Celtics,111,,18624,,0
2015-11-27,7:00p,Milwaukee Bucks,90,Orlando Magic,114,,16317,,0
2015-11-27,7:00p,Cleveland Cavaliers,95,Charlotte Hornets,90,,19093,,0
2015-11-27,8:00p,Chicago Bulls,92,Indiana Pacers,104,,18165,,0
2015-11-28,10:00p,Los Angeles Lakers,96,Portland Trail Blazers,108,,20019,,0
2015-11-28,10:30p,Sacramento Kings,101,Golden State Warriors,120,,19596,,0
2015-11-28,9:00p,New Orleans Pelicans,87,Utah Jazz,101,,19911,,0
2015-11-28,8:30p,Atlanta Hawks,88,San Antonio Spurs,108,,18418,,0
2015-11-28,8:30p,Denver Nuggets,81,Dallas Mavericks,92,,20339,,0
2015-11-28,7:30p,Brooklyn Nets,88,Cleveland Cavaliers,90,,20562,,0
2015-11-28,7:00p,Toronto Raptors,84,Washington Wizards,82,,16841,,0
2015-11-29,2:00p,Milwaukee Bucks,82,Charlotte Hornets,87,,14224,,0
2015-11-29,3:30p,Minnesota Timberwolves,99,Los Angeles Clippers,107,,19060,,0
2015-11-29,6:00p,Detroit Pistons,83,Brooklyn Nets,87,,12823,,0
2015-11-29,6:00p,Philadelphia 76ers,84,Memphis Grizzlies,92,,15322,,0
2015-11-29,6:00p,Boston Celtics,91,Orlando Magic,110,,16209,,0
2015-11-29,6:00p,Phoenix Suns,107,Toronto Raptors,102,,19800,,0
2015-11-29,7:30p,Houston Rockets,116,New York Knicks,111,OT,19812,,0
2015-11-29,9:30p,Indiana Pacers,107,Los Angeles Lakers,103,,18997,,0
2015-11-30,10:30p,Portland Trail Blazers,87,Los Angeles Clippers,102,,19060,,0
2015-11-30,9:00p,Golden State Warriors,106,Utah Jazz,103,,19911,,0
2015-11-30,8:00p,Denver Nuggets,74,Milwaukee Bucks,92,,10187,,0
2015-11-30,10:00p,Dallas Mavericks,98,Sacramento Kings,112,,16937,,0
2015-11-30,8:00p,Oklahoma City Thunder,100,Atlanta Hawks,106,,17768,,0
2015-11-30,7:30p,Boston Celtics,105,Miami Heat,95,,19600,,0
2015-11-30,7:30p,Houston Rockets,105,Detroit Pistons,116,,14818,,0
2015-11-30,8:00p,San Antonio Spurs,89,Chicago Bulls,92,,21909,,0
2015-12-01,7:00p,Washington Wizards,97,Cleveland Cavaliers,85,,20562,,0
2015-12-01,7:00p,Los Angeles Lakers,91,Philadelphia 76ers,103,,20510,,0
2015-12-01,7:30p,Phoenix Suns,91,Brooklyn Nets,94,,12787,,0
2015-12-01,8:00p,Orlando Magic,96,Minnesota Timberwolves,93,,10694,,0
2015-12-01,8:00p,Memphis Grizzlies,113,New Orleans Pelicans,104,,16020,,0
2015-12-01,10:00p,Dallas Mavericks,115,Portland Trail Blazers,112,OT,19393,,0
2015-12-02,10:30p,Indiana Pacers,103,Los Angeles Clippers,91,,19060,,0
2015-12-02,8:30p,Milwaukee Bucks,70,San Antonio Spurs,95,,18418,,0
2015-12-02,8:00p,New Orleans Pelicans,101,Houston Rockets,108,,17339,,0
2015-12-02,8:00p,Denver Nuggets,90,Chicago Bulls,99,,21349,,0
2015-12-02,7:00p,Golden State Warriors,116,Charlotte Hornets,99,,19542,,0
2015-12-02,7:30p,Philadelphia 76ers,87,New York Knicks,99,,19812,,0
2015-12-02,7:30p,Phoenix Suns,122,Detroit Pistons,127,OT,13985,,0
2015-12-02,7:00p,Los Angeles Lakers,108,Washington Wizards,104,,20356,,0
2015-12-02,8:00p,Toronto Raptors,96,Atlanta Hawks,86,,12559,,0
2015-12-03,10:00p,Indiana Pacers,111,Portland Trail Blazers,123,,19206,,0
2015-12-03,9:30p,San Antonio Spurs,103,Memphis Grizzlies,83,,17013,,0
2015-12-03,10:00p,Boston Celtics,114,Sacramento Kings,97,,18660,"at Mexico City, Mexico",0
2015-12-03,7:30p,Denver Nuggets,106,Toronto Raptors,105,,19800,,0
2015-12-03,9:00p,Orlando Magic,103,Utah Jazz,94,,19247,,0
2015-12-03,7:00p,Oklahoma City Thunder,95,Miami Heat,97,,19600,,0
2015-12-04,7:00p,Brooklyn Nets,91,New York Knicks,108,,19812,,0
2015-12-04,7:00p,Phoenix Suns,106,Washington Wizards,109,,17255,,0
2015-12-04,7:30p,Milwaukee Bucks,95,Detroit Pistons,102,,16963,,0
2015-12-04,8:00p,Los Angeles Lakers,87,Atlanta Hawks,100,,19051,,0
2015-12-04,8:30p,Houston Rockets,100,Dallas Mavericks,96,,20339,,0
2015-12-04,9:30p,Cleveland Cavaliers,108,New Orleans Pelicans,114,OT,17906,,0
2015-12-05,8:00p,Charlotte Hornets,102,Chicago Bulls,96,,21770,,0
2015-12-05,10:30p,Orlando Magic,101,Los Angeles Clippers,103,,19146,,0
2015-12-05,9:00p,Indiana Pacers,119,Utah Jazz,122,OT,19500,,0
2015-12-05,8:30p,Boston Celtics,105,San Antonio Spurs,108,,18418,,0
2015-12-05,8:30p,New York Knicks,91,Milwaukee Bucks,106,,16223,,0
2015-12-05,5:00p,Golden State Warriors,112,Toronto Raptors,109,,20160,,0
2015-12-05,8:00p,Cleveland Cavaliers,84,Miami Heat,99,,19600,,0
2015-12-05,8:00p,Sacramento Kings,113,Houston Rockets,120,,17318,,0
2015-12-05,1:00p,Denver Nuggets,108,Philadelphia 76ers,105,,15677,,0
2015-12-05,8:00p,Portland Trail Blazers,109,Minnesota Timberwolves,103,,16203,,0
2015-12-06,6:00p,Dallas Mavericks,116,Washington Wizards,104,,16394,,0
2015-12-06,7:00p,Sacramento Kings,95,Oklahoma City Thunder,98,,18203,,0
2015-12-06,6:00p,Los Angeles Lakers,91,Detroit Pistons,111,,20228,,0
2015-12-06,3:30p,Phoenix Suns,93,Memphis Grizzlies,95,,16022,,0
2015-12-06,6:00p,Golden State Warriors,114,Brooklyn Nets,98,,17732,,0
2015-12-07,8:00p,Los Angeles Clippers,110,Minnesota Timberwolves,106,,11467,,0
2015-12-07,8:00p,Portland Trail Blazers,88,Milwaukee Bucks,90,,14389,,0
2015-12-07,8:00p,Phoenix Suns,103,Chicago Bulls,101,,21337,,0
2015-12-07,7:30p,Los Angeles Lakers,93,Toronto Raptors,102,,20163,,0
2015-12-07,8:00p,Boston Celtics,111,New Orleans Pelicans,93,,15715,,0
2015-12-07,7:30p,Washington Wizards,114,Miami Heat,103,,19600,,0
2015-12-07,7:00p,San Antonio Spurs,119,Philadelphia 76ers,68,,14449,,0
2015-12-07,7:00p,Detroit Pistons,84,Charlotte Hornets,104,,15481,,0
2015-12-07,7:30p,Dallas Mavericks,104,New York Knicks,97,,19812,,0
2015-12-08,7:00p,Portland Trail Blazers,100,Cleveland Cavaliers,105,,20562,,0
2015-12-08,7:00p,Golden State Warriors,131,Indiana Pacers,123,,18165,,0
2015-12-08,7:30p,Houston Rockets,105,Brooklyn Nets,110,,13319,,0
2015-12-08,8:00p,Oklahoma City Thunder,125,Memphis Grizzlies,88,,16415,,0
2015-12-08,9:00p,Orlando Magic,85,Denver Nuggets,74,,13925,,0
2015-12-08,10:00p,Utah Jazz,106,Sacramento Kings,114,,16505,,0
2015-12-09,8:00p,Los Angeles Lakers,122,Minnesota Timberwolves,123,OT,18076,,0
2015-12-09,9:00p,New York Knicks,85,Utah Jazz,106,,18586,,0
2015-12-09,9:00p,Orlando Magic,104,Phoenix Suns,107,,17637,,0
2015-12-09,8:00p,Los Angeles Clippers,109,Milwaukee Bucks,95,,14224,,0
2015-12-09,9:30p,Atlanta Hawks,98,Dallas Mavericks,95,,19936,,0
2015-12-09,7:30p,Memphis Grizzlies,93,Detroit Pistons,92,,13411,,0
2015-12-09,7:00p,Houston Rockets,109,Washington Wizards,103,,16041,,0
2015-12-09,7:00p,Miami Heat,81,Charlotte Hornets,99,,17404,,0
2015-12-09,7:00p,Chicago Bulls,100,Boston Celtics,105,,17318,,0
2015-12-09,7:30p,San Antonio Spurs,94,Toronto Raptors,97,,19800,,0
