date,start_et,team_away,pts_away,team_home,pts_home,overtime,n_attending,notes
2021-10-19,7:30p,Brooklyn Nets,104.0,Milwaukee Bucks,127.0,,17341.0,
2021-10-19,10:00p,Golden State Warriors,121.0,Los Angeles Lakers,114.0,,18997.0,
2021-10-20,10:00p,Denver Nuggets,110.0,Phoenix Suns,98.0,,16074.0,
2021-10-20,10:00p,Sacramento Kings,124.0,Portland Trail Blazers,121.0,,17467.0,
2021-10-20,8:30p,Orlando Magic,97.0,San Antonio Spurs,123.0,,16697.0,
2021-10-20,8:00p,Philadelphia 76ers,117.0,New Orleans Pelicans,97.0,,12845.0,
2021-10-20,8:00p,Houston Rockets,106.0,Minnesota Timberwolves,124.0,,16079.0,
2021-10-20,9:00p,Oklahoma City Thunder,86.0,Utah Jazz,107.0,,18306.0,
2021-10-20,7:30p,Washington Wizards,98.0,Toronto Raptors,83.0,,19800.0,
2021-10-20,7:30p,Boston Celtics,134.0,New York Knicks,138.0,2OT,19812.0,
2021-10-20,7:00p,Chicago Bulls,94.0,Detroit Pistons,88.0,,20088.0,
2021-10-20,7:00p,Indiana Pacers,122.0,Charlotte Hornets,123.0,,15521.0,
2021-10-20,8:00p,Cleveland Cavaliers,121.0,Memphis Grizzlies,132.0,,15975.0,
2021-10-21,7:30p,Dallas Mavericks,87.0,Atlanta Hawks,113.0,,17162.0,
2021-10-21,8:00p,Milwaukee Bucks,95.0,Miami Heat,137.0,,19600.0,
2021-10-21,10:00p,Los Angeles Clippers,113.0,Golden State Warriors,115.0,,18064.0,
2021-10-22,8:00p,New Orleans Pelicans,112.0,Chicago Bulls,128.0,,20995.0,
2021-10-22,10:00p,Utah Jazz,110.0,Sacramento Kings,101.0,,17583.0,
2021-10-22,10:00p,Phoenix Suns,115.0,Los Angeles Lakers,105.0,,18997.0,
2021-10-22,9:00p,San Antonio Spurs,96.0,Denver Nuggets,102.0,,19520.0,
2021-10-22,8:00p,Oklahoma City Thunder,91.0,Houston Rockets,124.0,,15674.0,
2021-10-22,7:00p,Charlotte Hornets,123.0,Cleveland Cavaliers,112.0,,17116.0,
2021-10-22,7:30p,Toronto Raptors,115.0,Boston Celtics,83.0,,19156.0,
2021-10-22,7:00p,Indiana Pacers,134.0,Washington Wizards,135.0,OT,15407.0,
2021-10-22,7:00p,New York Knicks,121.0,Orlando Magic,96.0,,18846.0,
2021-10-22,7:30p,Brooklyn Nets,114.0,Philadelphia 76ers,109.0,,20367.0,
2021-10-23,6:00p,Atlanta Hawks,95.0,Cleveland Cavaliers,101.0,,16846.0,
2021-10-23,7:00p,Miami Heat,91.0,Indiana Pacers,102.0,OT,17147.0,
2021-10-23,7:30p,Dallas Mavericks,103.0,Toronto Raptors,95.0,,19800.0,
2021-10-23,8:00p,Detroit Pistons,82.0,Chicago Bulls,97.0,,18888.0,
2021-10-23,8:00p,New Orleans Pelicans,89.0,Minnesota Timberwolves,96.0,,15343.0,
2021-10-23,8:30p,Milwaukee Bucks,121.0,San Antonio Spurs,111.0,,14353.0,
2021-10-23,10:00p,Phoenix Suns,105.0,Portland Trail Blazers,134.0,,18558.0,
2021-10-23,10:30p,Memphis Grizzlies,120.0,Los Angeles Clippers,114.0,,16748.0,
2021-10-24,9:00p,Golden State Warriors,119.0,Sacramento Kings,107.0,,13876.0,
2021-10-24,9:30p,Memphis Grizzlies,118.0,Los Angeles Lakers,121.0,,18997.0,
2021-10-24,7:00p,Philadelphia 76ers,115.0,Oklahoma City Thunder,103.0,,14256.0,
2021-10-24,7:00p,Orlando Magic,110.0,New York Knicks,104.0,,16273.0,
