date,start_et,team_away,pts_away,team_home,pts_home,overtime,n_attending,notes
2020-12-22,7:00p,Golden State Warriors,99,Brooklyn Nets,125,,0.0,
2020-12-22,10:00p,Los Angeles Clippers,116,Los Angeles Lakers,109,,0.0,
2020-12-23,7:00p,Charlotte Hornets,114,Cleveland Cavaliers,121,,300.0,
2020-12-23,7:00p,New York Knicks,107,Indiana Pacers,121,,0.0,
2020-12-23,7:00p,Miami Heat,107,Orlando Magic,113,,3396.0,
2020-12-23,7:00p,Washington Wizards,107,Philadelphia 76ers,113,,0.0,
2020-12-23,7:30p,New Orleans Pelicans,113,Toronto Raptors,99,,3800.0,
2020-12-23,7:30p,Milwaukee Bucks,121,Boston Celtics,122,,0.0,
2020-12-23,8:00p,Atlanta Hawks,124,Chicago Bulls,104,,0.0,
2020-12-23,8:00p,San Antonio Spurs,131,Memphis Grizzlies,119,,0.0,
2020-12-23,8:00p,Detroit Pistons,101,Minnesota Timberwolves,111,,0.0,
2020-12-23,9:00p,Sacramento Kings,124,Denver Nuggets,122,OT,0.0,
2020-12-23,10:00p,Utah Jazz,120,Portland Trail Blazers,100,,0.0,
2020-12-23,10:30p,Dallas Mavericks,102,Phoenix Suns,106,,0.0,
2020-12-25,10:30p,Los Angeles Clippers,121,Denver Nuggets,108,,0.0,
2020-12-25,8:00p,Dallas Mavericks,115,Los Angeles Lakers,138,,0.0,
2020-12-25,5:00p,Brooklyn Nets,123,Boston Celtics,95,,0.0,
2020-12-25,2:30p,Golden State Warriors,99,Milwaukee Bucks,138,,0.0,
2020-12-25,12:00p,New Orleans Pelicans,98,Miami Heat,111,,0.0,
2020-12-26,5:00p,Atlanta Hawks,122,Memphis Grizzlies,112,,0.0,
2020-12-26,7:00p,Oklahoma City Thunder,109,Charlotte Hornets,107,,0.0,
2020-12-26,7:00p,Cleveland Cavaliers,128,Detroit Pistons,119,2OT,0.0,
2020-12-26,7:00p,Orlando Magic,130,Washington Wizards,120,,0.0,
2020-12-26,7:30p,Philadelphia 76ers,109,New York Knicks,89,,0.0,
2020-12-26,8:00p,Indiana Pacers,125,Chicago Bulls,106,,0.0,
2020-12-26,8:30p,Toronto Raptors,114,San Antonio Spurs,119,,0.0,
2020-12-26,9:00p,Minnesota Timberwolves,116,Utah Jazz,111,,1932.0,
2020-12-26,10:00p,Houston Rockets,126,Portland Trail Blazers,128,OT,0.0,
2020-12-26,10:00p,Phoenix Suns,103,Sacramento Kings,106,,0.0,
2020-12-27,10:00p,Minnesota Timberwolves,91,Los Angeles Lakers,127,,0.0,
2020-12-27,9:00p,Phoenix Suns,116,Sacramento Kings,100,,0.0,
2020-12-27,8:00p,Golden State Warriors,129,Chicago Bulls,128,,0.0,
2020-12-27,7:30p,Milwaukee Bucks,110,New York Knicks,130,,0.0,
2020-12-27,8:00p,Boston Celtics,107,Indiana Pacers,108,,0.0,
2020-12-27,7:00p,Brooklyn Nets,104,Charlotte Hornets,106,,0.0,
2020-12-27,7:00p,Orlando Magic,120,Washington Wizards,113,,0.0,
2020-12-27,7:00p,San Antonio Spurs,95,New Orleans Pelicans,98,,750.0,
2020-12-27,3:30p,Dallas Mavericks,124,Los Angeles Clippers,73,,0.0,
