Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Paul George (20562578),Paul George,20562578,CPT,19200,ORL@LAC 12/11/2021 03:30PM ET,LAC,46.28
PF,Kawhi Leonard (20562579),Kawhi Leonard,20562579,CPT,17700,ORL@LAC 12/11/2021 03:30PM ET,LAC,0
PG,Cole Anthony (20562580),Cole Anthony,20562580,CPT,15300,ORL@LAC 12/11/2021 03:30PM ET,ORL,39.24
PF/C,Wendell Carter Jr. (20562581),Wendell Carter Jr.,20562581,CPT,13500,ORL@LAC 12/11/2021 03:30PM ET,ORL,32.61
SF/PF,Paul George (20562532),Paul George,20562532,UTIL,12800,ORL@LAC 12/11/2021 03:30PM ET,LAC,46.28
C,Mo Bamba (20562582),Mo Bamba,20562582,CPT,12000,ORL@LAC 12/11/2021 03:30PM ET,ORL,30.97
PF,Kawhi Leonard (20562533),Kawhi Leonard,20562533,UTIL,11800,ORL@LAC 12/11/2021 03:30PM ET,LAC,0
SF/PF,Franz Wagner (20562583),Franz Wagner,20562583,CPT,11700,ORL@LAC 12/11/2021 03:30PM ET,ORL,26.96
PG,Reggie Jackson (20562584),Reggie Jackson,20562584,CPT,11100,ORL@LAC 12/11/2021 03:30PM ET,LAC,29.62
PG,Cole Anthony (20562534),Cole Anthony,20562534,UTIL,10200,ORL@LAC 12/11/2021 03:30PM ET,ORL,39.24
C,Ivica Zubac (20562585),Ivica Zubac,20562585,CPT,10200,ORL@LAC 12/11/2021 03:30PM ET,LAC,24.95
PG,Jalen Suggs (20562586),Jalen Suggs,20562586,CPT,9900,ORL@LAC 12/11/2021 03:30PM ET,ORL,24.04
PF/C,Nicolas Batum (20562587),Nicolas Batum,20562587,CPT,9600,ORL@LAC 12/11/2021 03:30PM ET,LAC,22.37
PG,Markelle Fultz (20562588),Markelle Fultz,20562588,CPT,9300,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
PF/C,Wendell Carter Jr. (20562535),Wendell Carter Jr.,20562535,UTIL,9000,ORL@LAC 12/11/2021 03:30PM ET,ORL,32.61
SF/PF,Marcus Morris Sr. (20562589),Marcus Morris Sr.,20562589,CPT,9000,ORL@LAC 12/11/2021 03:30PM ET,LAC,22.82
C,Mo Bamba (20562536),Mo Bamba,20562536,UTIL,8000,ORL@LAC 12/11/2021 03:30PM ET,ORL,30.97
SF/PF,Franz Wagner (20562537),Franz Wagner,20562537,UTIL,7800,ORL@LAC 12/11/2021 03:30PM ET,ORL,26.96
PG/SG,Eric Bledsoe (20562590),Eric Bledsoe,20562590,CPT,7800,ORL@LAC 12/11/2021 03:30PM ET,LAC,22.19
SG/SF,Terance Mann (20562591),Terance Mann,20562591,CPT,7500,ORL@LAC 12/11/2021 03:30PM ET,LAC,21
PG,Reggie Jackson (20562538),Reggie Jackson,20562538,UTIL,7400,ORL@LAC 12/11/2021 03:30PM ET,LAC,29.62
PG,Michael Carter-Williams (20562592),Michael Carter-Williams,20562592,CPT,7200,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
SG,Luke Kennard (20562593),Luke Kennard,20562593,CPT,6900,ORL@LAC 12/11/2021 03:30PM ET,LAC,20.30
C,Ivica Zubac (20562539),Ivica Zubac,20562539,UTIL,6800,ORL@LAC 12/11/2021 03:30PM ET,LAC,24.95
PG,Jalen Suggs (20562540),Jalen Suggs,20562540,UTIL,6600,ORL@LAC 12/11/2021 03:30PM ET,ORL,24.04
SG/SF,Terrence Ross (20562594),Terrence Ross,20562594,CPT,6600,ORL@LAC 12/11/2021 03:30PM ET,ORL,17.18
PF/C,Nicolas Batum (20562541),Nicolas Batum,20562541,UTIL,6400,ORL@LAC 12/11/2021 03:30PM ET,LAC,22.37
SG/SF,Gary Harris (20562595),Gary Harris,20562595,CPT,6300,ORL@LAC 12/11/2021 03:30PM ET,ORL,14.72
PG,Markelle Fultz (20562542),Markelle Fultz,20562542,UTIL,6200,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
SF/PF,Marcus Morris Sr. (20562543),Marcus Morris Sr.,20562543,UTIL,6000,ORL@LAC 12/11/2021 03:30PM ET,LAC,22.82
C,Isaiah Hartenstein (20562596),Isaiah Hartenstein,20562596,CPT,5700,ORL@LAC 12/11/2021 03:30PM ET,LAC,19.18
PG/SG,Eric Bledsoe (20562544),Eric Bledsoe,20562544,UTIL,5200,ORL@LAC 12/11/2021 03:30PM ET,LAC,22.19
SG/SF,Terance Mann (20562545),Terance Mann,20562545,UTIL,5000,ORL@LAC 12/11/2021 03:30PM ET,LAC,21
PG,Michael Carter-Williams (20562546),Michael Carter-Williams,20562546,UTIL,4800,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
SG/SF,Brandon Boston Jr. (20562597),Brandon Boston Jr.,20562597,CPT,4800,ORL@LAC 12/11/2021 03:30PM ET,LAC,9.88
SG,Luke Kennard (20562547),Luke Kennard,20562547,UTIL,4600,ORL@LAC 12/11/2021 03:30PM ET,LAC,20.30
SF/PF,Chuma Okeke (20562598),Chuma Okeke,20562598,CPT,4500,ORL@LAC 12/11/2021 03:30PM ET,ORL,15.6
SG/SF,Terrence Ross (20562548),Terrence Ross,20562548,UTIL,4400,ORL@LAC 12/11/2021 03:30PM ET,ORL,17.18
SG/SF,Gary Harris (20562549),Gary Harris,20562549,UTIL,4200,ORL@LAC 12/11/2021 03:30PM ET,ORL,14.72
PF/C,Serge Ibaka (20562599),Serge Ibaka,20562599,CPT,4200,ORL@LAC 12/11/2021 03:30PM ET,LAC,10.91
SF/PF,Ignas Brazdeikis (20562600),Ignas Brazdeikis,20562600,CPT,3900,ORL@LAC 12/11/2021 03:30PM ET,ORL,4.17
C,Isaiah Hartenstein (20562550),Isaiah Hartenstein,20562550,UTIL,3800,ORL@LAC 12/11/2021 03:30PM ET,LAC,19.18
PG/SG,Mychal Mulder (20562601),Mychal Mulder,20562601,CPT,3300,ORL@LAC 12/11/2021 03:30PM ET,ORL,5.67
SG/SF,Brandon Boston Jr. (20562551),Brandon Boston Jr.,20562551,UTIL,3200,ORL@LAC 12/11/2021 03:30PM ET,LAC,9.88
SF/PF,Chuma Okeke (20562552),Chuma Okeke,20562552,UTIL,3000,ORL@LAC 12/11/2021 03:30PM ET,ORL,15.6
PG/SG,R.J. Hampton (20562602),R.J. Hampton,20562602,CPT,3000,ORL@LAC 12/11/2021 03:30PM ET,ORL,15.62
PF/C,Serge Ibaka (20562553),Serge Ibaka,20562553,UTIL,2800,ORL@LAC 12/11/2021 03:30PM ET,LAC,10.91
C,Robin Lopez (20562603),Robin Lopez,20562603,CPT,2700,ORL@LAC 12/11/2021 03:30PM ET,ORL,12.94
SF/PF,Ignas Brazdeikis (20562554),Ignas Brazdeikis,20562554,UTIL,2600,ORL@LAC 12/11/2021 03:30PM ET,ORL,4.17
PG/SG,Mychal Mulder (20562555),Mychal Mulder,20562555,UTIL,2200,ORL@LAC 12/11/2021 03:30PM ET,ORL,5.67
SG,Sindarius Thornwell (20562604),Sindarius Thornwell,20562604,CPT,2100,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
PG/SG,R.J. Hampton (20562556),R.J. Hampton,20562556,UTIL,2000,ORL@LAC 12/11/2021 03:30PM ET,ORL,15.62
C,Robin Lopez (20562557),Robin Lopez,20562557,UTIL,1800,ORL@LAC 12/11/2021 03:30PM ET,ORL,12.94
PG/SG,Hassani Gravett (20562605),Hassani Gravett,20562605,CPT,1800,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
PF,Harry Giles III (20562606),Harry Giles III,20562606,CPT,1500,ORL@LAC 12/11/2021 03:30PM ET,LAC,0
SF,James Ennis III (20562607),James Ennis III,20562607,CPT,1500,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
SG,Keon Johnson (20562608),Keon Johnson,20562608,CPT,1500,ORL@LAC 12/11/2021 03:30PM ET,LAC,4.08
SF,Admiral Schofield (20562609),Admiral Schofield,20562609,CPT,1500,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
PG,Jason Preston (20562610),Jason Preston,20562610,CPT,1500,ORL@LAC 12/11/2021 03:30PM ET,LAC,0
PF/C,Jonathan Isaac (20562611),Jonathan Isaac,20562611,CPT,1500,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
PF/C,Moritz Wagner (20562612),Moritz Wagner,20562612,CPT,1500,ORL@LAC 12/11/2021 03:30PM ET,ORL,10.46
SG/SF,E'Twaun Moore (20562613),E'Twaun Moore,20562613,CPT,1500,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
SF,George King (20562614),George King,20562614,CPT,1500,ORL@LAC 12/11/2021 03:30PM ET,LAC,0
SF/PF,Jeremiah Tilmon (20562615),Jeremiah Tilmon,20562615,CPT,1500,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
SF/PF,Moses Wright (20562616),Moses Wright,20562616,CPT,1500,ORL@LAC 12/11/2021 03:30PM ET,LAC,0
SG,Jay Scrubb (20562617),Jay Scrubb,20562617,CPT,1500,ORL@LAC 12/11/2021 03:30PM ET,LAC,6.5
PG/SF,Amir Coffey (20562618),Amir Coffey,20562618,CPT,1500,ORL@LAC 12/11/2021 03:30PM ET,LAC,7.03
SF,B.J. Johnson (20562619),B.J. Johnson,20562619,CPT,1500,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
PG,Devin Cannady (20562620),Devin Cannady,20562620,CPT,1500,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
PG,Yogi Ferrell (20562621),Yogi Ferrell,20562621,CPT,1500,ORL@LAC 12/11/2021 03:30PM ET,LAC,0
C,Jon Teske (20562622),Jon Teske,20562622,CPT,1500,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
PG/SF,Justise Winslow (20562623),Justise Winslow,20562623,CPT,1500,ORL@LAC 12/11/2021 03:30PM ET,LAC,7.04
SG,Sindarius Thornwell (20562558),Sindarius Thornwell,20562558,UTIL,1400,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
PG/SG,Hassani Gravett (20562559),Hassani Gravett,20562559,UTIL,1200,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
PF,Harry Giles III (20562560),Harry Giles III,20562560,UTIL,1000,ORL@LAC 12/11/2021 03:30PM ET,LAC,0
SF,James Ennis III (20562561),James Ennis III,20562561,UTIL,1000,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
SG,Keon Johnson (20562562),Keon Johnson,20562562,UTIL,1000,ORL@LAC 12/11/2021 03:30PM ET,LAC,4.08
SF,Admiral Schofield (20562563),Admiral Schofield,20562563,UTIL,1000,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
PG,Jason Preston (20562564),Jason Preston,20562564,UTIL,1000,ORL@LAC 12/11/2021 03:30PM ET,LAC,0
PF/C,Jonathan Isaac (20562565),Jonathan Isaac,20562565,UTIL,1000,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
PF/C,Moritz Wagner (20562566),Moritz Wagner,20562566,UTIL,1000,ORL@LAC 12/11/2021 03:30PM ET,ORL,10.46
SG/SF,E'Twaun Moore (20562567),E'Twaun Moore,20562567,UTIL,1000,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
SF,George King (20562568),George King,20562568,UTIL,1000,ORL@LAC 12/11/2021 03:30PM ET,LAC,0
SF/PF,Jeremiah Tilmon (20562569),Jeremiah Tilmon,20562569,UTIL,1000,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
SF/PF,Moses Wright (20562570),Moses Wright,20562570,UTIL,1000,ORL@LAC 12/11/2021 03:30PM ET,LAC,0
SG,Jay Scrubb (20562571),Jay Scrubb,20562571,UTIL,1000,ORL@LAC 12/11/2021 03:30PM ET,LAC,6.5
PG/SF,Amir Coffey (20562572),Amir Coffey,20562572,UTIL,1000,ORL@LAC 12/11/2021 03:30PM ET,LAC,7.03
SF,B.J. Johnson (20562573),B.J. Johnson,20562573,UTIL,1000,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
PG,Devin Cannady (20562574),Devin Cannady,20562574,UTIL,1000,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
PG,Yogi Ferrell (20562575),Yogi Ferrell,20562575,UTIL,1000,ORL@LAC 12/11/2021 03:30PM ET,LAC,0
C,Jon Teske (20562576),Jon Teske,20562576,UTIL,1000,ORL@LAC 12/11/2021 03:30PM ET,ORL,0
