,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,PF/C,Giannis Antetokounmpo (20207040),Giannis Antetokounmpo,20207040,PF/C/F/UTIL,12500,LAL@MIL 11/17/2021 07:30PM ET,MIL,55.29
1,PG,Luka Doncic (20207044),Luka Doncic,20207044,PG/G/UTIL,11900,DAL@PHX 11/17/2021 10:00PM ET,DAL,51.35
2,SF/PF,Kevin Durant (20207047),Kevin Durant,20207047,SF/PF/F/UTIL,11500,CLE@BKN 11/17/2021 07:30PM ET,BKN,48.97
3,PG,James Harden (20207051),James Harden,20207051,PG/G/UTIL,11300,CLE@BKN 11/17/2021 07:30PM ET,BKN,46.52
4,PG,Russell Westbrook (20207054),Russell Westbrook,20207054,PG/G/UTIL,11000,LAL@MIL 11/17/2021 07:30PM ET,LAL,45.15
5,PF/C,Anthony Davis (20207057),Anthony Davis,20207057,PF/C/F/UTIL,10900,LAL@MIL 11/17/2021 07:30PM ET,LAL,48.5
6,SF/PF,LeBron James (20207061),LeBron James,20207061,SF/PF/F/UTIL,10800,LAL@MIL 11/17/2021 07:30PM ET,LAL,48.38
7,PG/SG,LaMelo Ball (20207065),LaMelo Ball,20207065,PG/SG/G/UTIL,10700,WAS@CHA 11/17/2021 07:00PM ET,CHA,44.72
8,C,Karl-Anthony Towns (20207069),Karl-Anthony Towns,20207069,C/UTIL,10400,SAC@MIN 11/17/2021 08:00PM ET,MIN,46.17
9,SF/PF,Jayson Tatum (20207071),Jayson Tatum,20207071,SF/PF/F/UTIL,10200,BOS@ATL 11/17/2021 07:30PM ET,BOS,43.21
10,C,Zion Williamson (20207075),Zion Williamson,20207075,C/UTIL,10000,NOP@MIA 11/17/2021 07:30PM ET,NOP,0.0
11,PF/C,Julius Randle (20207077),Julius Randle,20207077,PF/C/F/UTIL,9900,ORL@NYK 11/17/2021 07:30PM ET,NYK,44.34
12,SG,Bradley Beal (20207081),Bradley Beal,20207081,SG/G/UTIL,9800,WAS@CHA 11/17/2021 07:00PM ET,WAS,40.92
13,PG,Trae Young (20207084),Trae Young,20207084,PG/G/UTIL,9700,BOS@ATL 11/17/2021 07:30PM ET,ATL,45.73
14,SG/SF,Jaylen Brown (20207087),Jaylen Brown,20207087,SG/SF/F/G/UTIL,9600,BOS@ATL 11/17/2021 07:30PM ET,BOS,40.53
15,C,Jonas Valanciunas (20207092),Jonas Valanciunas,20207092,C/UTIL,9500,NOP@MIA 11/17/2021 07:30PM ET,NOP,43.93
16,SF,Jimmy Butler (20207094),Jimmy Butler,20207094,SF/F/UTIL,9400,NOP@MIA 11/17/2021 07:30PM ET,MIA,42.54
17,PG,Damian Lillard (20207097),Damian Lillard,20207097,PG/G/UTIL,9300,CHI@POR 11/17/2021 10:00PM ET,POR,40.07
18,PF/C,Domantas Sabonis (20207100),Domantas Sabonis,20207100,PF/C/F/UTIL,9200,IND@DET 11/17/2021 07:00PM ET,IND,41.98
19,C,Nikola Vucevic (20207104),Nikola Vucevic,20207104,C/UTIL,9100,CHI@POR 11/17/2021 10:00PM ET,CHI,38.64
20,PG/SG,Devin Booker (20207106),Devin Booker,20207106,PG/SG/G/UTIL,9000,DAL@PHX 11/17/2021 10:00PM ET,PHX,41.12
21,PF,DeMar DeRozan (20207110),DeMar DeRozan,20207110,PF/F/UTIL,8900,CHI@POR 11/17/2021 10:00PM ET,CHI,42.11
22,PG,Shai Gilgeous-Alexander (20207113),Shai Gilgeous-Alexander,20207113,PG/G/UTIL,8700,HOU@OKC 11/17/2021 08:00PM ET,OKC,36.83
23,PG,Chris Paul (20207116),Chris Paul,20207116,PG/G/UTIL,8700,DAL@PHX 11/17/2021 10:00PM ET,PHX,41.42
24,SG/SF,Brandon Ingram (20207119),Brandon Ingram,20207119,SG/SF/F/G/UTIL,8600,NOP@MIA 11/17/2021 07:30PM ET,NOP,41.06
25,SG/SF,Zach LaVine (20207124),Zach LaVine,20207124,SG/SF/F/G/UTIL,8500,CHI@POR 11/17/2021 10:00PM ET,CHI,40.12
26,PG,Malcolm Brogdon (20207129),Malcolm Brogdon,20207129,PG/G/UTIL,8400,IND@DET 11/17/2021 07:00PM ET,IND,44.68
27,PG,De'Aaron Fox (20207132),De'Aaron Fox,20207132,PG/G/UTIL,8300,SAC@MIN 11/17/2021 08:00PM ET,SAC,37.16
28,C,Bam Adebayo (20207135),Bam Adebayo,20207135,C/UTIL,8200,NOP@MIA 11/17/2021 07:30PM ET,MIA,40.96
29,SF/PF,Miles Bridges (20207142),Miles Bridges,20207142,SF/PF/F/UTIL,8100,WAS@CHA 11/17/2021 07:00PM ET,CHA,41.53
30,SG/SF,Anthony Edwards (20207137),Anthony Edwards,20207137,SG/SF/F/G/UTIL,8100,SAC@MIN 11/17/2021 08:00PM ET,MIN,40.52
31,PG,Kyrie Irving (20207146),Kyrie Irving,20207146,PG/G/UTIL,8000,CLE@BKN 11/17/2021 07:30PM ET,BKN,0.0
32,SF,Khris Middleton (20207149),Khris Middleton,20207149,SF/F/UTIL,8000,LAL@MIL 11/17/2021 07:30PM ET,MIL,35.92
33,PG/SG,CJ McCollum (20207152),CJ McCollum,20207152,PG/SG/G/UTIL,8000,CHI@POR 11/17/2021 10:00PM ET,POR,37.62
34,PG,Cole Anthony (20207156),Cole Anthony,20207156,PG/G/UTIL,7900,ORL@NYK 11/17/2021 07:30PM ET,ORL,40.16
35,PG,Spencer Dinwiddie (20207162),Spencer Dinwiddie,20207162,PG/G/UTIL,7800,WAS@CHA 11/17/2021 07:00PM ET,WAS,34.79
