,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,PF/C,Giannis Antetokounmpo (20441904),Giannis Antetokounmpo,20441904,PF/C/F/UTIL,12000,MIL@TOR 12/02/2021 07:30PM ET,MIL,56.9
1,PG,Damian Lillard (20441908),Damian Lillard,20441908,PG/G/UTIL,9900,SAS@POR 12/02/2021 10:00PM ET,POR,40.71
2,PG,Dejounte Murray (20441911),Dejounte Murray,20441911,PG/G/UTIL,9800,SAS@POR 12/02/2021 10:00PM ET,SAS,47.33
3,PG,Ja Morant (20441914),Ja Morant,20441914,PG/G/UTIL,9600,OKC@MEM 12/02/2021 08:00PM ET,MEM,44.5
4,PF/C,Julius Randle (20441917),Julius Randle,20441917,PF/C/F/UTIL,9500,CHI@NYK 12/02/2021 07:30PM ET,NYK,42.57
5,C,Nikola Vucevic (20441921),Nikola Vucevic,20441921,C/UTIL,9300,CHI@NYK 12/02/2021 07:30PM ET,CHI,39.7
6,PF,DeMar DeRozan (20441923),DeMar DeRozan,20441923,PF/F/UTIL,9000,CHI@NYK 12/02/2021 07:30PM ET,CHI,40.83
7,PG/SG,Fred VanVleet (20441926),Fred VanVleet,20441926,PG/SG/G/UTIL,8900,MIL@TOR 12/02/2021 07:30PM ET,TOR,40.42
8,SG/SF,Zach LaVine (20441930),Zach LaVine,20441930,SG/SF/F/G/UTIL,8800,CHI@NYK 12/02/2021 07:30PM ET,CHI,39.14
9,C,Pascal Siakam (20441935),Pascal Siakam,20441935,C/UTIL,8700,MIL@TOR 12/02/2021 07:30PM ET,TOR,35.77
10,PG,Chris Paul (20441937),Chris Paul,20441937,PG/G/UTIL,8600,DET@PHX 12/02/2021 09:00PM ET,PHX,39.86
11,PG/SG,CJ McCollum (20441940),CJ McCollum,20441940,PG/SG/G/UTIL,8500,SAS@POR 12/02/2021 10:00PM ET,POR,36.8
12,PG/SG,Devin Booker (20441944),Devin Booker,20441944,PG/SG/G/UTIL,8400,DET@PHX 12/02/2021 09:00PM ET,PHX,38.2
13,PG,Shai Gilgeous-Alexander (20441948),Shai Gilgeous-Alexander,20441948,PG/G/UTIL,8100,OKC@MEM 12/02/2021 08:00PM ET,OKC,37.32
14,PG/SG,Cade Cunningham (20441951),Cade Cunningham,20441951,PG/SG/G/UTIL,7900,DET@PHX 12/02/2021 09:00PM ET,DET,32.27
