,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,SF/PF,Paul George (20351122),Paul George,20351122,CPT,19200,DET@LAC 11/26/2021 03:30PM ET,LAC,48.47
1,PF,Kawhi Leonard (20351123),Kawhi Leonard,20351123,CPT,18600,DET@LAC 11/26/2021 03:30PM ET,LAC,0.0
2,PG/SG,Cade Cunningham (20351124),Cade Cunningham,20351124,CPT,14700,DET@LAC 11/26/2021 03:30PM ET,DET,31.36
3,PF,Jerami Grant (20351125),Jerami Grant,20351125,CPT,14400,DET@LAC 11/26/2021 03:30PM ET,DET,32.66
4,PG,Reggie Jackson (20351126),Reggie Jackson,20351126,CPT,14100,DET@LAC 11/26/2021 03:30PM ET,LAC,30.88
5,SF/PF,Paul George (20351163),Paul George,20351163,UTIL,12800,DET@LAC 11/26/2021 03:30PM ET,LAC,48.47
6,PF,Kawhi Leonard (20351164),Kawhi Leonard,20351164,UTIL,12400,DET@LAC 11/26/2021 03:30PM ET,LAC,0.0
7,SF/PF,Saddiq Bey (20351127),Saddiq Bey,20351127,CPT,12300,DET@LAC 11/26/2021 03:30PM ET,DET,28.36
8,PG/SG,Eric Bledsoe (20351128),Eric Bledsoe,20351128,CPT,11100,DET@LAC 11/26/2021 03:30PM ET,LAC,23.49
9,SF/PF,Nicolas Batum (20351129),Nicolas Batum,20351129,CPT,10800,DET@LAC 11/26/2021 03:30PM ET,LAC,23.52
10,C,Kelly Olynyk (20351130),Kelly Olynyk,20351130,CPT,10500,DET@LAC 11/26/2021 03:30PM ET,DET,26.88
11,C,Ivica Zubac (20351131),Ivica Zubac,20351131,CPT,10200,DET@LAC 11/26/2021 03:30PM ET,LAC,24.76
12,PG/SG,Cade Cunningham (20351165),Cade Cunningham,20351165,UTIL,9800,DET@LAC 11/26/2021 03:30PM ET,DET,31.36
13,PF,Jerami Grant (20351166),Jerami Grant,20351166,UTIL,9600,DET@LAC 11/26/2021 03:30PM ET,DET,32.66
14,PF,Marcus Morris Sr. (20351132),Marcus Morris Sr.,20351132,CPT,9600,DET@LAC 11/26/2021 03:30PM ET,LAC,16.0
15,PG,Reggie Jackson (20351167),Reggie Jackson,20351167,UTIL,9400,DET@LAC 11/26/2021 03:30PM ET,LAC,30.88
16,PG,Cory Joseph (20351133),Cory Joseph,20351133,CPT,8700,DET@LAC 11/26/2021 03:30PM ET,DET,15.85
17,SG/SF,Luke Kennard (20351134),Luke Kennard,20351134,CPT,8400,DET@LAC 11/26/2021 03:30PM ET,LAC,19.5
18,SF/PF,Saddiq Bey (20351168),Saddiq Bey,20351168,UTIL,8200,DET@LAC 11/26/2021 03:30PM ET,DET,28.36
19,C,Isaiah Stewart (20351135),Isaiah Stewart,20351135,CPT,8100,DET@LAC 11/26/2021 03:30PM ET,DET,20.52
20,PG/SG,Terance Mann (20351136),Terance Mann,20351136,CPT,7800,DET@LAC 11/26/2021 03:30PM ET,LAC,20.6
21,PG/SG,Eric Bledsoe (20351169),Eric Bledsoe,20351169,UTIL,7400,DET@LAC 11/26/2021 03:30PM ET,LAC,23.49
22,SF/PF,Nicolas Batum (20351170),Nicolas Batum,20351170,UTIL,7200,DET@LAC 11/26/2021 03:30PM ET,LAC,23.52
23,PG/SG,Frank Jackson (20351137),Frank Jackson,20351137,CPT,7200,DET@LAC 11/26/2021 03:30PM ET,DET,14.06
24,C,Kelly Olynyk (20351171),Kelly Olynyk,20351171,UTIL,7000,DET@LAC 11/26/2021 03:30PM ET,DET,26.88
25,PG,Killian Hayes (20351138),Killian Hayes,20351138,CPT,6900,DET@LAC 11/26/2021 03:30PM ET,DET,18.84
26,C,Ivica Zubac (20351172),Ivica Zubac,20351172,UTIL,6800,DET@LAC 11/26/2021 03:30PM ET,LAC,24.76
27,C,Serge Ibaka (20351139),Serge Ibaka,20351139,CPT,6600,DET@LAC 11/26/2021 03:30PM ET,LAC,5.88
28,PF,Marcus Morris Sr. (20351173),Marcus Morris Sr.,20351173,UTIL,6400,DET@LAC 11/26/2021 03:30PM ET,LAC,16.0
29,PF,Josh Jackson (20351140),Josh Jackson,20351140,CPT,6000,DET@LAC 11/26/2021 03:30PM ET,DET,17.34
30,PG,Cory Joseph (20351174),Cory Joseph,20351174,UTIL,5800,DET@LAC 11/26/2021 03:30PM ET,DET,15.85
31,SG/SF,Luke Kennard (20351175),Luke Kennard,20351175,UTIL,5600,DET@LAC 11/26/2021 03:30PM ET,LAC,19.5
32,C,Isaiah Stewart (20351176),Isaiah Stewart,20351176,UTIL,5400,DET@LAC 11/26/2021 03:30PM ET,DET,20.52
33,PG/SG,Terance Mann (20351177),Terance Mann,20351177,UTIL,5200,DET@LAC 11/26/2021 03:30PM ET,LAC,20.6
34,C,Isaiah Hartenstein (20351141),Isaiah Hartenstein,20351141,CPT,5100,DET@LAC 11/26/2021 03:30PM ET,LAC,19.22
35,PG/SG,Frank Jackson (20351178),Frank Jackson,20351178,UTIL,4800,DET@LAC 11/26/2021 03:30PM ET,DET,14.06
36,PG,Killian Hayes (20351179),Killian Hayes,20351179,UTIL,4600,DET@LAC 11/26/2021 03:30PM ET,DET,18.84
37,C,Serge Ibaka (20351180),Serge Ibaka,20351180,UTIL,4400,DET@LAC 11/26/2021 03:30PM ET,LAC,5.88
38,SG/SF,Hamidou Diallo (20351142),Hamidou Diallo,20351142,CPT,4200,DET@LAC 11/26/2021 03:30PM ET,DET,12.79
39,PF,Josh Jackson (20351181),Josh Jackson,20351181,UTIL,4000,DET@LAC 11/26/2021 03:30PM ET,DET,17.34
40,PF/C,Trey Lyles (20351143),Trey Lyles,20351143,CPT,3900,DET@LAC 11/26/2021 03:30PM ET,DET,14.56
41,C,Isaiah Hartenstein (20351182),Isaiah Hartenstein,20351182,UTIL,3400,DET@LAC 11/26/2021 03:30PM ET,LAC,19.22
42,SG/SF,Amir Coffey (20351144),Amir Coffey,20351144,CPT,3300,DET@LAC 11/26/2021 03:30PM ET,LAC,6.73
43,SG/SF,Hamidou Diallo (20351183),Hamidou Diallo,20351183,UTIL,2800,DET@LAC 11/26/2021 03:30PM ET,DET,12.79
44,PF/C,Trey Lyles (20351184),Trey Lyles,20351184,UTIL,2600,DET@LAC 11/26/2021 03:30PM ET,DET,14.56
45,SG/SF,Amir Coffey (20351185),Amir Coffey,20351185,UTIL,2200,DET@LAC 11/26/2021 03:30PM ET,LAC,6.73
46,C,Luka Garza (20351145),Luka Garza,20351145,CPT,2100,DET@LAC 11/26/2021 03:30PM ET,DET,9.42
47,PG/SF,Justise Winslow (20351146),Justise Winslow,20351146,CPT,1500,DET@LAC 11/26/2021 03:30PM ET,LAC,7.92
48,SG,Jay Scrubb (20351147),Jay Scrubb,20351147,CPT,1500,DET@LAC 11/26/2021 03:30PM ET,LAC,5.62
49,PG,Derrick Walton Jr. (20351148),Derrick Walton Jr.,20351148,CPT,1500,DET@LAC 11/26/2021 03:30PM ET,DET,0.0
50,SG,Keon Johnson (20351149),Keon Johnson,20351149,CPT,1500,DET@LAC 11/26/2021 03:30PM ET,LAC,0.0
51,C,Balsa Koprivica (20351150),Balsa Koprivica,20351150,CPT,1500,DET@LAC 11/26/2021 03:30PM ET,DET,0.0
52,PG,Jason Preston (20351151),Jason Preston,20351151,CPT,1500,DET@LAC 11/26/2021 03:30PM ET,LAC,0.0
53,SF/PF,Moses Wright (20351152),Moses Wright,20351152,CPT,1500,DET@LAC 11/26/2021 03:30PM ET,LAC,0.0
54,SF,Rodney McGruder (20351153),Rodney McGruder,20351153,CPT,1500,DET@LAC 11/26/2021 03:30PM ET,DET,3.62
55,PF,Jamorko Pickett (20351154),Jamorko Pickett,20351154,CPT,1500,DET@LAC 11/26/2021 03:30PM ET,DET,1.0
56,PG,Yogi Ferrell (20351155),Yogi Ferrell,20351155,CPT,1500,DET@LAC 11/26/2021 03:30PM ET,LAC,0.0
57,SF,George King (20351156),George King,20351156,CPT,1500,DET@LAC 11/26/2021 03:30PM ET,LAC,0.0
58,PF,Isaiah Livers (20351157),Isaiah Livers,20351157,CPT,1500,DET@LAC 11/26/2021 03:30PM ET,DET,0.0
59,SG,Chris Smith (20351158),Chris Smith,20351158,CPT,1500,DET@LAC 11/26/2021 03:30PM ET,DET,0.0
60,SG,Cassius Stanley (20351159),Cassius Stanley,20351159,CPT,1500,DET@LAC 11/26/2021 03:30PM ET,DET,0.0
61,PG,Saben Lee (20351160),Saben Lee,20351160,CPT,1500,DET@LAC 11/26/2021 03:30PM ET,DET,8.32
62,SG,Brandon Boston Jr. (20351161),Brandon Boston Jr.,20351161,CPT,1500,DET@LAC 11/26/2021 03:30PM ET,LAC,6.18
63,PF,Harry Giles III (20351162),Harry Giles III,20351162,CPT,1500,DET@LAC 11/26/2021 03:30PM ET,LAC,0.0
