Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Lamar Stevens (20780291),Lamar Stevens,20780291,SF/PF/F/UTIL,3100,CLE@NOP 12/28/2021 08:00PM ET,CLE,6.86
SF/PF,Georges Niang (20780259),Georges Niang,20780259,SF/PF/F/UTIL,3100,PHI@TOR 12/28/2021 07:30PM ET,PHI,17.89
PF,Juwan Morgan (20780273),Juwan Morgan,20780273,PF/F/UTIL,3100,PHI@TOR 12/28/2021 07:30PM ET,TOR,12
PF,Alen Smailagic (20780484),Alen Smailagic,20780484,PF/F/UTIL,3000,DEN@GSW 12/28/2021 10:00PM ET,GSW,0
PG,Nico Mannion (20780487),Nico Mannion,20780487,PG/G/UTIL,3000,DEN@GSW 12/28/2021 10:00PM ET,GSW,0
SF,Axel Toupane (20780490),Axel Toupane,20780490,SF/F/UTIL,3000,DEN@GSW 12/28/2021 10:00PM ET,GSW,0
SF,LJ Figueroa (20780493),LJ Figueroa,20780493,SF/F/UTIL,3000,DEN@GSW 12/28/2021 10:00PM ET,GSW,0
PG,Quinndary Weatherspoon (20780496),Quinndary Weatherspoon,20780496,PG/G/UTIL,3000,DEN@GSW 12/28/2021 10:00PM ET,GSW,10.75
PF,Jordan Bell (20780499),Jordan Bell,20780499,PF/F/UTIL,3000,DEN@GSW 12/28/2021 10:00PM ET,GSW,0
PG/SG,Jeff Dowtin (20780502),Jeff Dowtin,20780502,PG/SG/G/UTIL,3000,DEN@GSW 12/28/2021 10:00PM ET,GSW,5.19
PF/C,Petr Cornelie (20780671),Petr Cornelie,20780671,PF/C/F/UTIL,3000,DEN@GSW 12/28/2021 10:00PM ET,DEN,2.86
PF,Giorgi Bezhanishvili (20780675),Giorgi Bezhanishvili,20780675,PF/F/UTIL,3000,DEN@GSW 12/28/2021 10:00PM ET,DEN,0
C,Tarik Black (20780678),Tarik Black,20780678,C/UTIL,3000,DEN@GSW 12/28/2021 10:00PM ET,DEN,0
SF,Matt Ryan (20780680),Matt Ryan,20780680,SF/F/UTIL,3000,DEN@GSW 12/28/2021 10:00PM ET,DEN,0
PF/C,Zeke Nnaji (20780683),Zeke Nnaji,20780683,PF/C/F/UTIL,3000,DEN@GSW 12/28/2021 10:00PM ET,DEN,11.64
PF,PJ Dozier (20780687),PJ Dozier,20780687,PF/F/UTIL,3000,DEN@GSW 12/28/2021 10:00PM ET,DEN,14.12
PF/C,Bol Bol (20780690),Bol Bol,20780690,PF/C/F/UTIL,3000,DEN@GSW 12/28/2021 10:00PM ET,DEN,4.45
PG,Markus Howard (20780694),Markus Howard,20780694,PG/G/UTIL,3000,DEN@GSW 12/28/2021 10:00PM ET,DEN,6.30
SG,Khyri Thomas (20780298),Khyri Thomas,20780298,SG/G/UTIL,3000,LAL@HOU 12/28/2021 08:00PM ET,HOU,0
PG,Frank Mason III (20780304),Frank Mason III,20780304,PG/G/UTIL,3000,LAL@HOU 12/28/2021 08:00PM ET,LAL,0
SG,Chaundee Brown Jr. (20780310),Chaundee Brown Jr.,20780310,SG/G/UTIL,3000,LAL@HOU 12/28/2021 08:00PM ET,LAL,7.75
SG,Marcus Foster (20780395),Marcus Foster,20780395,SG/G/UTIL,3000,LAL@HOU 12/28/2021 08:00PM ET,HOU,0
SF,Tyler Bey (20780398),Tyler Bey,20780398,SF/F/UTIL,3000,LAL@HOU 12/28/2021 08:00PM ET,HOU,0
PG,Daishen Nix (20780401),Daishen Nix,20780401,PG/G/UTIL,3000,LAL@HOU 12/28/2021 08:00PM ET,HOU,12.88
SF,Anthony Lamb (20780404),Anthony Lamb,20780404,SF/F/UTIL,3000,LAL@HOU 12/28/2021 08:00PM ET,HOU,0
C,Mfiondu Kabengele (20780407),Mfiondu Kabengele,20780407,C/UTIL,3000,LAL@HOU 12/28/2021 08:00PM ET,HOU,0
PF/C,Usman Garuba (20780409),Usman Garuba,20780409,PF/C/F/UTIL,3000,LAL@HOU 12/28/2021 08:00PM ET,HOU,6.06
PF,Kostas Antetokounmpo (20780569),Kostas Antetokounmpo,20780569,PF/F/UTIL,3000,LAL@HOU 12/28/2021 08:00PM ET,LAL,0
SG,Mason Jones (20780572),Mason Jones,20780572,SG/G/UTIL,3000,LAL@HOU 12/28/2021 08:00PM ET,LAL,4.5
PF,Jemerrio Jones (20780575),Jemerrio Jones,20780575,PF/F/UTIL,3000,LAL@HOU 12/28/2021 08:00PM ET,LAL,4.88
SF,Cameron Oliver (20780578),Cameron Oliver,20780578,SF/F/UTIL,3000,LAL@HOU 12/28/2021 08:00PM ET,LAL,0
SG,Kendrick Nunn (20780581),Kendrick Nunn,20780581,SG/G/UTIL,3000,LAL@HOU 12/28/2021 08:00PM ET,LAL,0
