,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,PG,Stephen Curry (20454615),Stephen Curry,20454615,PG/G/UTIL,11900,PHX@GSW 12/03/2021 10:00PM ET,GSW,51.16
1,PG,Luka Doncic (20454618),Luka Doncic,20454618,PG/G/UTIL,11800,NOP@DAL 12/03/2021 08:30PM ET,DAL,52.48
2,PG,James Harden (20454621),James Harden,20454621,PG/G/UTIL,11500,MIN@BKN 12/03/2021 07:30PM ET,BKN,49.73
3,SF/PF,Kevin Durant (20454624),Kevin Durant,20454624,SF/PF/F/UTIL,11400,MIN@BKN 12/03/2021 07:30PM ET,BKN,48.98
4,PG,Russell Westbrook (20454628),Russell Westbrook,20454628,PG/G/UTIL,11000,LAC@LAL 12/03/2021 10:00PM ET,LAL,46.47
5,PF/C,Anthony Davis (20454631),Anthony Davis,20454631,PF/C/F/UTIL,10900,LAC@LAL 12/03/2021 10:00PM ET,LAL,48.41
6,C,Joel Embiid (20454635),Joel Embiid,20454635,C/UTIL,10500,PHI@ATL 12/03/2021 07:30PM ET,PHI,46.98
7,PG/SF,LeBron James (20454637),LeBron James,20454637,PG/SF/F/G/UTIL,10400,LAC@LAL 12/03/2021 10:00PM ET,LAL,47.61
8,SF/PF,Paul George (20454642),Paul George,20454642,SF/PF/F/UTIL,10300,LAC@LAL 12/03/2021 10:00PM ET,LAC,46.7
9,PG,Trae Young (20454646),Trae Young,20454646,PG/G/UTIL,10200,PHI@ATL 12/03/2021 07:30PM ET,ATL,46.8
10,SF/PF,Jayson Tatum (20454649),Jayson Tatum,20454649,SF/PF/F/UTIL,10100,BOS@UTA 12/03/2021 09:00PM ET,BOS,44.92
11,PF,Kawhi Leonard (20454653),Kawhi Leonard,20454653,PF/F/UTIL,10000,LAC@LAL 12/03/2021 10:00PM ET,LAC,0.0
12,PF/C,Zion Williamson (20454656),Zion Williamson,20454656,PF/C/F/UTIL,9800,NOP@DAL 12/03/2021 08:30PM ET,NOP,0.0
13,C,Karl-Anthony Towns (20454660),Karl-Anthony Towns,20454660,C/UTIL,9700,MIN@BKN 12/03/2021 07:30PM ET,MIN,44.6
14,PF/C,Domantas Sabonis (20454662),Domantas Sabonis,20454662,PF/C/F/UTIL,9600,MIA@IND 12/03/2021 07:00PM ET,IND,41.25
15,SF,Jimmy Butler (20454666),Jimmy Butler,20454666,SF/F/UTIL,9500,MIA@IND 12/03/2021 07:00PM ET,MIA,43.28
16,C,Jonas Valanciunas (20454669),Jonas Valanciunas,20454669,C/UTIL,9400,NOP@DAL 12/03/2021 08:30PM ET,NOP,41.01
17,C,Christian Wood (20454671),Christian Wood,20454671,C/UTIL,9300,ORL@HOU 12/03/2021 08:00PM ET,HOU,37.04
