Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Stephen Curry (20687071),Stephen Curry,20687071,PG/G/UTIL,11800,SAC@GSW 12/20/2021 10:00PM ET,GSW,48.5
C,Joel Embiid (20687074),Joel Embiid,20687074,C/UTIL,11600,PHI@BOS 12/20/2021 07:30PM ET,PHI,49.07
SG/SF,Paul George (20687076),Paul George,20687076,SG/SF/F/G/UTIL,10800,SAS@LAC 12/20/2021 10:30PM ET,LAC,46.28
SF/PF,Jayson Tatum (20687081),Jayson Tatum,20687081,SF/PF/F/UTIL,10500,PHI@BOS 12/20/2021 07:30PM ET,BOS,46.2
PF,Kawhi Leonard (20687085),Kawhi Leonard,20687085,PF/F/UTIL,10000,SAS@LAC 12/20/2021 10:30PM ET,LAC,0
SG/SF,Zach LaVine (20687088),Zach LaVine,20687088,SG/SF/F/G/UTIL,9900,HOU@CHI 12/20/2021 08:00PM ET,CHI,40.82
PG,Dejounte Murray (20687093),Dejounte Murray,20687093,PG/G/UTIL,9800,SAS@LAC 12/20/2021 10:30PM ET,SAS,46.33
PG/SG,Donovan Mitchell (20687096),Donovan Mitchell,20687096,PG/SG/G/UTIL,9700,CHA@UTA 12/20/2021 09:00PM ET,UTA,41.21
PG/SG,LaMelo Ball (20687100),LaMelo Ball,20687100,PG/SG/G/UTIL,9600,CHA@UTA 12/20/2021 09:00PM ET,CHA,46.84
PF,DeMar DeRozan (20687104),DeMar DeRozan,20687104,PF/F/UTIL,9300,HOU@CHI 12/20/2021 08:00PM ET,CHI,41.61
C,Rudy Gobert (20687107),Rudy Gobert,20687107,C/UTIL,9200,CHA@UTA 12/20/2021 09:00PM ET,UTA,41.54
C,Nikola Vucevic (20687109),Nikola Vucevic,20687109,C/UTIL,9100,HOU@CHI 12/20/2021 08:00PM ET,CHI,38.54
SG/SF,Jaylen Brown (20687111),Jaylen Brown,20687111,SG/SF/F/G/UTIL,9000,PHI@BOS 12/20/2021 07:30PM ET,BOS,34.98
PG,Ja Morant (20687116),Ja Morant,20687116,PG/G/UTIL,8900,OKC@MEM 12/20/2021 08:00PM ET,MEM,44.5
C,Christian Wood (20687119),Christian Wood,20687119,C/UTIL,8800,HOU@CHI 12/20/2021 08:00PM ET,HOU,37.79
