,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,PG,Stephen Curry (20399316),Stephen Curry,20399316,PG/G/UTIL,11400,GSW@PHX 11/30/2021 10:00PM ET,GSW,52.63
1,PG,James Harden (20399319),James Harden,20399319,PG/G/UTIL,11300,NYK@BKN 11/30/2021 07:30PM ET,BKN,48.96
2,SF/PF,Kevin Durant (20399322),Kevin Durant,20399322,SF/PF/F/UTIL,11100,NYK@BKN 11/30/2021 07:30PM ET,BKN,49.04
3,PG,Russell Westbrook (20399326),Russell Westbrook,20399326,PG/G/UTIL,10800,LAL@SAC 11/30/2021 10:00PM ET,LAL,46.82
4,PF/C,Anthony Davis (20399329),Anthony Davis,20399329,PF/C/F/UTIL,10600,LAL@SAC 11/30/2021 10:00PM ET,LAL,48.54
5,PG/SF,LeBron James (20399333),LeBron James,20399333,PG/SF/F/G/UTIL,10400,LAL@SAC 11/30/2021 10:00PM ET,LAL,47.61
6,PG,Damian Lillard (20399338),Damian Lillard,20399338,PG/G/UTIL,9700,DET@POR 11/30/2021 10:00PM ET,POR,40.71
7,PG,Ja Morant (20399341),Ja Morant,20399341,PG/G/UTIL,9600,MEM@TOR 11/30/2021 07:30PM ET,MEM,44.5
8,PF/C,Julius Randle (20399344),Julius Randle,20399344,PF/C/F/UTIL,9400,NYK@BKN 11/30/2021 07:30PM ET,NYK,42.21
9,PG/SG,Fred VanVleet (20399348),Fred VanVleet,20399348,PG/SG/G/UTIL,8700,MEM@TOR 11/30/2021 07:30PM ET,TOR,40.88
10,PG/SG,Devin Booker (20399352),Devin Booker,20399352,PG/SG/G/UTIL,8600,GSW@PHX 11/30/2021 10:00PM ET,PHX,39.44
11,PF/C,Pascal Siakam (20399356),Pascal Siakam,20399356,PF/C/F/UTIL,8500,MEM@TOR 11/30/2021 07:30PM ET,TOR,35.1
12,PG,De'Aaron Fox (20399360),De'Aaron Fox,20399360,PG/G/UTIL,8400,LAL@SAC 11/30/2021 10:00PM ET,SAC,35.54
13,PG,Kyrie Irving (20399363),Kyrie Irving,20399363,PG/G/UTIL,8200,NYK@BKN 11/30/2021 07:30PM ET,BKN,0.0
14,PG,Chris Paul (20399366),Chris Paul,20399366,PG/G/UTIL,8000,GSW@PHX 11/30/2021 10:00PM ET,PHX,39.35
15,PG/SG,CJ McCollum (20399369),CJ McCollum,20399369,PG/SG/G/UTIL,7900,DET@POR 11/30/2021 10:00PM ET,POR,36.29
16,PG/SG,Cade Cunningham (20399373),Cade Cunningham,20399373,PG/SG/G/UTIL,7700,DET@POR 11/30/2021 10:00PM ET,DET,31.5
17,PF,Jerami Grant (20399377),Jerami Grant,20399377,PF/F/UTIL,7300,DET@POR 11/30/2021 10:00PM ET,DET,33.75
18,SF/PF,OG Anunoby (20399380),OG Anunoby,20399380,SF/PF/F/UTIL,7200,MEM@TOR 11/30/2021 07:30PM ET,TOR,35.88
19,PF/C,Draymond Green (20399384),Draymond Green,20399384,PF/C/F/UTIL,7200,GSW@PHX 11/30/2021 10:00PM ET,GSW,32.47
20,C,Deandre Ayton (20399388),Deandre Ayton,20399388,C/UTIL,7100,GSW@PHX 11/30/2021 10:00PM ET,PHX,34.52
21,SF/PF,Scottie Barnes (20399390),Scottie Barnes,20399390,SF/PF/F/UTIL,7000,MEM@TOR 11/30/2021 07:30PM ET,TOR,33.3
22,SF,Dillon Brooks (20399394),Dillon Brooks,20399394,SF/F/UTIL,7000,MEM@TOR 11/30/2021 07:30PM ET,MEM,28.82
23,PG/SG,Tyrese Haliburton (20399397),Tyrese Haliburton,20399397,PG/SG/G/UTIL,6900,LAL@SAC 11/30/2021 10:00PM ET,SAC,29.42
24,SG/SF,Andrew Wiggins (20399401),Andrew Wiggins,20399401,SG/SF/F/G/UTIL,6800,GSW@PHX 11/30/2021 10:00PM ET,GSW,29.99
25,PF/C,Jaren Jackson Jr. (20399406),Jaren Jackson Jr.,20399406,PF/C/F/UTIL,6700,MEM@TOR 11/30/2021 07:30PM ET,MEM,29.38
26,SG/SF,Buddy Hield (20399410),Buddy Hield,20399410,SG/SF/F/G/UTIL,6600,LAL@SAC 11/30/2021 10:00PM ET,SAC,29.08
27,PG/SG,Jordan Poole (20399415),Jordan Poole,20399415,PG/SG/G/UTIL,6500,GSW@PHX 11/30/2021 10:00PM ET,GSW,29.54
28,C,Jusuf Nurkic (20399419),Jusuf Nurkic,20399419,C/UTIL,6400,DET@POR 11/30/2021 10:00PM ET,POR,32.84
29,C,Richaun Holmes (20399421),Richaun Holmes,20399421,C/UTIL,6200,LAL@SAC 11/30/2021 10:00PM ET,SAC,30.99
30,PG/SG,Desmond Bane (20399423),Desmond Bane,20399423,PG/SG/G/UTIL,6000,MEM@TOR 11/30/2021 07:30PM ET,MEM,26.25
31,SF/PF,Harrison Barnes (20399427),Harrison Barnes,20399427,SF/PF/F/UTIL,5900,LAL@SAC 11/30/2021 10:00PM ET,SAC,34.16
32,PG/SF,RJ Barrett (20399431),RJ Barrett,20399431,PG/SF/F/G/UTIL,5800,NYK@BKN 11/30/2021 07:30PM ET,NYK,26.9
33,SF/PF,Saddiq Bey (20399436),Saddiq Bey,20399436,SF/PF/F/UTIL,5800,DET@POR 11/30/2021 10:00PM ET,DET,27.59
34,C,LaMarcus Aldridge (20399440),LaMarcus Aldridge,20399440,C/UTIL,5700,NYK@BKN 11/30/2021 07:30PM ET,BKN,25.36
35,SG/SF,Alec Burks (20399442),Alec Burks,20399442,SG/SF/F/G/UTIL,5600,NYK@BKN 11/30/2021 07:30PM ET,NYK,21.35
36,SG/SF,Mikal Bridges (20399447),Mikal Bridges,20399447,SG/SF/F/G/UTIL,5500,GSW@PHX 11/30/2021 10:00PM ET,PHX,24.84
37,SG/SF,Gary Trent Jr. (20399452),Gary Trent Jr.,20399452,SG/SF/F/G/UTIL,5400,MEM@TOR 11/30/2021 07:30PM ET,TOR,29.24
38,SG,Klay Thompson (20399457),Klay Thompson,20399457,SG/G/UTIL,5400,GSW@PHX 11/30/2021 10:00PM ET,GSW,0.0
39,PG,Tyus Jones (20399463),Tyus Jones,20399463,PG/G/UTIL,5200,MEM@TOR 11/30/2021 07:30PM ET,MEM,15.3
40,SF,Norman Powell (20399460),Norman Powell,20399460,SF/F/UTIL,5200,DET@POR 11/30/2021 10:00PM ET,POR,25.44
41,PG/SG,De'Anthony Melton (20399466),De'Anthony Melton,20399466,PG/SG/G/UTIL,5100,MEM@TOR 11/30/2021 07:30PM ET,MEM,23.04
42,C,Frank Kaminsky (20399470),Frank Kaminsky,20399470,C/UTIL,5000,GSW@PHX 11/30/2021 10:00PM ET,PHX,21.75
43,SG/SF,Evan Fournier (20399474),Evan Fournier,20399474,SG/SF/F/G/UTIL,4900,NYK@BKN 11/30/2021 07:30PM ET,NYK,22.3
44,SG/SF,Talen Horton-Tucker (20399479),Talen Horton-Tucker,20399479,SG/SF/F/G/UTIL,4900,LAL@SAC 11/30/2021 10:00PM ET,LAL,25.64
45,C,Kelly Olynyk (20399472),Kelly Olynyk,20399472,C/UTIL,4900,DET@POR 11/30/2021 10:00PM ET,DET,26.88
46,PG/SG,Patty Mills (20399484),Patty Mills,20399484,PG/SG/G/UTIL,4800,NYK@BKN 11/30/2021 07:30PM ET,BKN,20.81
47,PG,Immanuel Quickley (20399491),Immanuel Quickley,20399491,PG/G/UTIL,4800,NYK@BKN 11/30/2021 07:30PM ET,NYK,16.92
48,PF,Carmelo Anthony (20399488),Carmelo Anthony,20399488,PF/F/UTIL,4800,LAL@SAC 11/30/2021 10:00PM ET,LAL,24.32
49,PG,Kemba Walker (20399494),Kemba Walker,20399494,PG/G/UTIL,4700,NYK@BKN 11/30/2021 07:30PM ET,NYK,22.5
50,C,Isaiah Stewart (20399497),Isaiah Stewart,20399497,C/UTIL,4600,DET@POR 11/30/2021 10:00PM ET,DET,20.26
51,C,Nerlens Noel (20399499),Nerlens Noel,20399499,C/UTIL,4400,NYK@BKN 11/30/2021 07:30PM ET,NYK,18.84
52,SG/SF,Joe Harris (20399505),Joe Harris,20399505,SG/SF/F/G/UTIL,4400,NYK@BKN 11/30/2021 07:30PM ET,BKN,20.11
