Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Kevin Durant (20639923),Kevin Durant,20639923,SF/PF/F/UTIL,12300,PHI@BKN 12/16/2021 07:30PM ET,BKN,51.02
C,Joel Embiid (20639927),Joel Embiid,20639927,C/UTIL,11400,PHI@BKN 12/16/2021 07:30PM ET,PHI,48.81
PG,James Harden (20639929),James Harden,20639929,PG/G/UTIL,11200,PHI@BKN 12/16/2021 07:30PM ET,BKN,49.42
PF/C,Domantas Sabonis (20639932),Domantas Sabonis,20639932,PF/C/F/UTIL,10500,DET@IND 12/16/2021 07:00PM ET,IND,42.68
PF/C,Julius Randle (20639936),Julius Randle,20639936,PF/C/F/UTIL,10000,NYK@HOU 12/16/2021 08:00PM ET,NYK,42.47
PG,Chris Paul (20639940),Chris Paul,20639940,PG/G/UTIL,9700,WAS@PHX 12/16/2021 09:00PM ET,PHX,39.76
C,Christian Wood (20639943),Christian Wood,20639943,C/UTIL,9400,NYK@HOU 12/16/2021 08:00PM ET,HOU,37.83
PG/SG,Bradley Beal (20639945),Bradley Beal,20639945,PG/SG/G/UTIL,9000,WAS@PHX 12/16/2021 09:00PM ET,WAS,38.75
PG/SG,Devin Booker (20639949),Devin Booker,20639949,PG/SG/G/UTIL,8900,WAS@PHX 12/16/2021 09:00PM ET,PHX,38.20
C,Deandre Ayton (20639953),Deandre Ayton,20639953,C/UTIL,8800,WAS@PHX 12/16/2021 09:00PM ET,PHX,36.13
PF,Tobias Harris (20639955),Tobias Harris,20639955,PF/F/UTIL,8700,PHI@BKN 12/16/2021 07:30PM ET,PHI,35.41
PG/SG,Cade Cunningham (20639958),Cade Cunningham,20639958,PG/SG/G/UTIL,8600,DET@IND 12/16/2021 07:00PM ET,DET,34.08
PG,Kyrie Irving (20639962),Kyrie Irving,20639962,PG/G/UTIL,8500,PHI@BKN 12/16/2021 07:30PM ET,BKN,0
PG,Malcolm Brogdon (20639965),Malcolm Brogdon,20639965,PG/G/UTIL,8400,DET@IND 12/16/2021 07:00PM ET,IND,38.82
PG/SF,Ben Simmons (20639968),Ben Simmons,20639968,PG/SF/F/G/UTIL,8100,PHI@BKN 12/16/2021 07:30PM ET,PHI,0
PG,Kevin Porter Jr. (20639973),Kevin Porter Jr.,20639973,PG/G/UTIL,7900,NYK@HOU 12/16/2021 08:00PM ET,HOU,29.45
PG,John Wall (20639976),John Wall,20639976,PG/G/UTIL,7800,NYK@HOU 12/16/2021 08:00PM ET,HOU,0
PG/SG,Caris LeVert (20639979),Caris LeVert,20639979,PG/SG/G/UTIL,7500,DET@IND 12/16/2021 07:00PM ET,IND,26.70
PF,Jerami Grant (20639983),Jerami Grant,20639983,PF/F/UTIL,7300,DET@IND 12/16/2021 07:00PM ET,DET,34.38
PG/SG,Alec Burks (20639986),Alec Burks,20639986,PG/SG/G/UTIL,7100,NYK@HOU 12/16/2021 08:00PM ET,NYK,22.90
C,Andre Drummond (20639990),Andre Drummond,20639990,C/UTIL,7000,PHI@BKN 12/16/2021 07:30PM ET,PHI,24.35
PG,Tyrese Maxey (20639992),Tyrese Maxey,20639992,PG/G/UTIL,6900,PHI@BKN 12/16/2021 07:30PM ET,PHI,30.98
C,Myles Turner (20639995),Myles Turner,20639995,C/UTIL,6700,DET@IND 12/16/2021 07:00PM ET,IND,31.12
PG/SG,Patty Mills (20639997),Patty Mills,20639997,PG/SG/G/UTIL,6600,PHI@BKN 12/16/2021 07:30PM ET,BKN,21.89
SF/PF,Jae'Sean Tate (20640001),Jae'Sean Tate,20640001,SF/PF/F/UTIL,6500,NYK@HOU 12/16/2021 08:00PM ET,HOU,26.91
C,LaMarcus Aldridge (20640005),LaMarcus Aldridge,20640005,C/UTIL,6400,PHI@BKN 12/16/2021 07:30PM ET,BKN,25.46
PG,Derrick Rose (20640007),Derrick Rose,20640007,PG/G/UTIL,6300,NYK@HOU 12/16/2021 08:00PM ET,NYK,25.09
SG,Seth Curry (20640010),Seth Curry,20640010,SG/G/UTIL,6200,PHI@BKN 12/16/2021 07:30PM ET,PHI,25.95
SF/PF,Kyle Kuzma (20640013),Kyle Kuzma,20640013,SF/PF/F/UTIL,6100,WAS@PHX 12/16/2021 09:00PM ET,WAS,30.72
SF,RJ Barrett (20640017),RJ Barrett,20640017,SF/F/UTIL,6000,NYK@HOU 12/16/2021 08:00PM ET,NYK,26.89
SG/SF,Mikal Bridges (20640020),Mikal Bridges,20640020,SG/SF/F/G/UTIL,5800,WAS@PHX 12/16/2021 09:00PM ET,PHX,23.94
C,Isaiah Stewart (20640025),Isaiah Stewart,20640025,C/UTIL,5700,DET@IND 12/16/2021 07:00PM ET,DET,22.36
SG,Eric Gordon (20640027),Eric Gordon,20640027,SG/G/UTIL,5600,NYK@HOU 12/16/2021 08:00PM ET,HOU,24.13
PF/C,Alperen Sengun (20640033),Alperen Sengun,20640033,PF/C/F/UTIL,5500,NYK@HOU 12/16/2021 08:00PM ET,HOU,22.74
PG,Spencer Dinwiddie (20640030),Spencer Dinwiddie,20640030,PG/G/UTIL,5500,WAS@PHX 12/16/2021 09:00PM ET,WAS,27.84
