Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,Luka Doncic (20708755),Luka Doncic,20708755,PG/SF/F/G/UTIL,11200,MIN@DAL 12/21/2021 08:30PM ET,DAL,51.69
PG/SF,LeBron James (20708760),LeBron James,20708760,PG/SF/F/G/UTIL,11100,PHX@LAL 12/21/2021 10:00PM ET,LAL,50.17
PF/C,Domantas Sabonis (20708765),Domantas Sabonis,20708765,PF/C/F/UTIL,10600,IND@MIA 12/21/2021 07:30PM ET,IND,42.30
PG,Russell Westbrook (20708769),Russell Westbrook,20708769,PG/G/UTIL,10400,PHX@LAL 12/21/2021 10:00PM ET,LAL,43.75
PF/C,Julius Randle (20708772),Julius Randle,20708772,PF/C/F/UTIL,10300,DET@NYK 12/21/2021 07:30PM ET,NYK,42.37
PF/C,Anthony Davis (20708776),Anthony Davis,20708776,PF/C/F/UTIL,10000,PHX@LAL 12/21/2021 10:00PM ET,LAL,46.18
C,Karl-Anthony Towns (20708780),Karl-Anthony Towns,20708780,C/UTIL,9900,MIN@DAL 12/21/2021 08:30PM ET,MIN,45.33
PG,Damian Lillard (20708782),Damian Lillard,20708782,PG/G/UTIL,9800,POR@NOP 12/21/2021 08:00PM ET,POR,42.42
SF,Jimmy Butler (20708785),Jimmy Butler,20708785,SF/F/UTIL,9300,IND@MIA 12/21/2021 07:30PM ET,MIA,42.39
C,Zion Williamson (20708788),Zion Williamson,20708788,C/UTIL,9200,POR@NOP 12/21/2021 08:00PM ET,NOP,0
PG,Chris Paul (20708790),Chris Paul,20708790,PG/G/UTIL,9100,PHX@LAL 12/21/2021 10:00PM ET,PHX,39.16
PF,Kristaps Porzingis (20708793),Kristaps Porzingis,20708793,PF/F/UTIL,9000,MIN@DAL 12/21/2021 08:30PM ET,DAL,37.47
SG/SF,Brandon Ingram (20708796),Brandon Ingram,20708796,SG/SF/F/G/UTIL,8900,POR@NOP 12/21/2021 08:00PM ET,NOP,40.05
C,Bam Adebayo (20708801),Bam Adebayo,20708801,C/UTIL,8800,IND@MIA 12/21/2021 07:30PM ET,MIA,38.35
PG,Kyle Lowry (20708803),Kyle Lowry,20708803,PG/G/UTIL,8700,IND@MIA 12/21/2021 07:30PM ET,MIA,34.44
PG/SG,Cade Cunningham (20708806),Cade Cunningham,20708806,PG/SG/G/UTIL,8600,DET@NYK 12/21/2021 07:30PM ET,DET,34.68
PG/SG,Devin Booker (20708810),Devin Booker,20708810,PG/SG/G/UTIL,8500,PHX@LAL 12/21/2021 10:00PM ET,PHX,38.03
PG/SG,CJ McCollum (20708814),CJ McCollum,20708814,PG/SG/G/UTIL,8400,POR@NOP 12/21/2021 08:00PM ET,POR,36.66
C,Jonas Valanciunas (20708818),Jonas Valanciunas,20708818,C/UTIL,8300,POR@NOP 12/21/2021 08:00PM ET,NOP,41.12
C,Deandre Ayton (20708820),Deandre Ayton,20708820,C/UTIL,8200,PHX@LAL 12/21/2021 10:00PM ET,PHX,36.49
PG,Malcolm Brogdon (20708822),Malcolm Brogdon,20708822,PG/G/UTIL,8100,IND@MIA 12/21/2021 07:30PM ET,IND,38.82
SG/SF,Anthony Edwards (20708825),Anthony Edwards,20708825,SG/SF/F/G/UTIL,7900,MIN@DAL 12/21/2021 08:30PM ET,MIN,39.31
PG/SG,Caris LeVert (20708830),Caris LeVert,20708830,PG/SG/G/UTIL,7800,IND@MIA 12/21/2021 07:30PM ET,IND,27.60
PG/SG,D'Angelo Russell (20708834),D'Angelo Russell,20708834,PG/SG/G/UTIL,7700,MIN@DAL 12/21/2021 08:30PM ET,MIN,36.61
PG/SG,Alec Burks (20708838),Alec Burks,20708838,PG/SG/G/UTIL,7600,DET@NYK 12/21/2021 07:30PM ET,NYK,23.24
PG/SG,Jalen Brunson (20708842),Jalen Brunson,20708842,PG/SG/G/UTIL,7400,MIN@DAL 12/21/2021 08:30PM ET,DAL,29.12
PG,Derrick Rose (20708846),Derrick Rose,20708846,PG/G/UTIL,7200,DET@NYK 12/21/2021 07:30PM ET,NYK,24.23
PF,Jerami Grant (20708849),Jerami Grant,20708849,PF/F/UTIL,7100,DET@NYK 12/21/2021 07:30PM ET,DET,34.38
PG/SG,Tyler Herro (20708852),Tyler Herro,20708852,PG/SG/G/UTIL,7000,IND@MIA 12/21/2021 07:30PM ET,MIA,33.47
C,Jusuf Nurkic (20708856),Jusuf Nurkic,20708856,C/UTIL,6900,POR@NOP 12/21/2021 08:00PM ET,POR,31.85
C,Myles Turner (20708858),Myles Turner,20708858,C/UTIL,6800,IND@MIA 12/21/2021 07:30PM ET,IND,31.22
SF/PF,Saddiq Bey (20708860),Saddiq Bey,20708860,SF/PF/F/UTIL,6500,DET@NYK 12/21/2021 07:30PM ET,DET,26.96
SF,Norman Powell (20708864),Norman Powell,20708864,SF/F/UTIL,6400,POR@NOP 12/21/2021 08:00PM ET,POR,27.60
SG/SF,Tim Hardaway Jr. (20708867),Tim Hardaway Jr.,20708867,SG/SF/F/G/UTIL,6100,MIN@DAL 12/21/2021 08:30PM ET,DAL,26.69
PG,Dennis Smith Jr. (20708872),Dennis Smith Jr.,20708872,PG/G/UTIL,6000,POR@NOP 12/21/2021 08:00PM ET,POR,15.91
SF,RJ Barrett (20708875),RJ Barrett,20708875,SF/F/UTIL,5900,DET@NYK 12/21/2021 07:30PM ET,NYK,26.89
PG,Gabe Vincent (20708878),Gabe Vincent,20708878,PG/G/UTIL,5800,IND@MIA 12/21/2021 07:30PM ET,MIA,16.32
SF/PF,Josh Hart (20708881),Josh Hart,20708881,SF/PF/F/UTIL,5700,POR@NOP 12/21/2021 08:00PM ET,NOP,28.73
PF/C,Jarred Vanderbilt (20708885),Jarred Vanderbilt,20708885,PF/C/F/UTIL,5600,MIN@DAL 12/21/2021 08:30PM ET,MIN,22.83
SF,Talen Horton-Tucker (20708889),Talen Horton-Tucker,20708889,SF/F/UTIL,5500,PHX@LAL 12/21/2021 10:00PM ET,LAL,24.67
PG,Patrick Beverley (20708895),Patrick Beverley,20708895,PG/G/UTIL,5400,MIN@DAL 12/21/2021 08:30PM ET,MIN,25.14
PG,Devonte' Graham (20708892),Devonte' Graham,20708892,PG/G/UTIL,5400,POR@NOP 12/21/2021 08:00PM ET,NOP,27
SG/SF,Mikal Bridges (20708898),Mikal Bridges,20708898,SG/SF/F/G/UTIL,5300,PHX@LAL 12/21/2021 10:00PM ET,PHX,24.05
C,Dewayne Dedmon (20708903),Dewayne Dedmon,20708903,C/UTIL,5300,IND@MIA 12/21/2021 07:30PM ET,MIA,17.26
PG,Kemba Walker (20708905),Kemba Walker,20708905,PG/G/UTIL,5200,DET@NYK 12/21/2021 07:30PM ET,NYK,23.58
SG/SF,Evan Fournier (20708908),Evan Fournier,20708908,SG/SF/F/G/UTIL,5100,DET@NYK 12/21/2021 07:30PM ET,NYK,21.85
C,Isaiah Stewart (20708913),Isaiah Stewart,20708913,C/UTIL,5100,DET@NYK 12/21/2021 07:30PM ET,DET,22.56
