,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
104,SG,Jaden Springer (20542967),Jaden Springer,20542967,SG/G/UTIL,3000,UTA@PHI 12/09/2021 07:00PM ET,PHI,0.0
105,SF/PF,Filip Petrusev (20542970),Filip Petrusev,20542970,SF/PF/F/UTIL,3000,UTA@PHI 12/09/2021 07:00PM ET,PHI,0.0
106,C,Charles Bassey (20542974),Charles Bassey,20542974,C/UTIL,3000,UTA@PHI 12/09/2021 07:00PM ET,PHI,8.28
107,SF,Aaron Henry (20542976),Aaron Henry,20542976,SF/F/UTIL,3000,UTA@PHI 12/09/2021 07:00PM ET,PHI,0.0
108,PG,Grant Riller (20542979),Grant Riller,20542979,PG/G/UTIL,3000,UTA@PHI 12/09/2021 07:00PM ET,PHI,0.0
109,PF,Nino Johnson (20543040),Nino Johnson,20543040,PF/F/UTIL,3000,UTA@PHI 12/09/2021 07:00PM ET,UTA,0.0
110,SG/SF,Miye Oni (20543043),Miye Oni,20543043,SG/SF/F/G/UTIL,3000,UTA@PHI 12/09/2021 07:00PM ET,UTA,1.14
111,PF,Malik Fitts (20543048),Malik Fitts,20543048,PF/F/UTIL,3000,UTA@PHI 12/09/2021 07:00PM ET,UTA,0.94
112,PG/SG,Derrick Alston Jr. (20543051),Derrick Alston Jr.,20543051,PG/SG/G/UTIL,3000,UTA@PHI 12/09/2021 07:00PM ET,UTA,0.0
113,PG/SG,MaCio Teague (20543055),MaCio Teague,20543055,PG/SG/G/UTIL,3000,UTA@PHI 12/09/2021 07:00PM ET,UTA,0.0
114,PF,Jarrell Brantley (20543059),Jarrell Brantley,20543059,PF/F/UTIL,3000,UTA@PHI 12/09/2021 07:00PM ET,UTA,0.0
115,PF/C,Eric Paschall (20543062),Eric Paschall,20543062,PF/C/F/UTIL,3000,UTA@PHI 12/09/2021 07:00PM ET,UTA,7.64
116,C,Udoka Azubuike (20543066),Udoka Azubuike,20543066,C/UTIL,3000,UTA@PHI 12/09/2021 07:00PM ET,UTA,1.62
117,PF/C,Petr Cornelie (20542927),Petr Cornelie,20542927,PF/C/F/UTIL,3000,DEN@SAS 12/09/2021 08:30PM ET,DEN,3.12
118,PG,Tre Jones (20542940),Tre Jones,20542940,PG/G/UTIL,3000,DEN@SAS 12/09/2021 08:30PM ET,SAS,7.95
119,SF/PF,Bol Bol (20542959),Bol Bol,20542959,SF/PF/F/UTIL,3000,DEN@SAS 12/09/2021 08:30PM ET,DEN,4.61
120,SG,Damyean Dotson (20543017),Damyean Dotson,20543017,SG/G/UTIL,3000,DEN@SAS 12/09/2021 08:30PM ET,SAS,0.0
121,C,Drew Eubanks (20543020),Drew Eubanks,20543020,C/UTIL,3000,DEN@SAS 12/09/2021 08:30PM ET,SAS,15.2
122,PF,Al-Farouq Aminu (20543022),Al-Farouq Aminu,20543022,PF/F/UTIL,3000,DEN@SAS 12/09/2021 08:30PM ET,SAS,0.0
123,SG/SF,Denzel Mahoney (20543025),Denzel Mahoney,20543025,SG/SF/F/G/UTIL,3000,DEN@SAS 12/09/2021 08:30PM ET,SAS,0.0
124,SG,Jaylen Morris (20543030),Jaylen Morris,20543030,SG/G/UTIL,3000,DEN@SAS 12/09/2021 08:30PM ET,SAS,0.0
125,SG,Joe Wieskamp (20543033),Joe Wieskamp,20543033,SG/G/UTIL,3000,DEN@SAS 12/09/2021 08:30PM ET,SAS,1.17
126,C,Devontae Cacok (20543036),Devontae Cacok,20543036,C/UTIL,3000,DEN@SAS 12/09/2021 08:30PM ET,SAS,6.0
127,C,Zach Collins (20543038),Zach Collins,20543038,C/UTIL,3000,DEN@SAS 12/09/2021 08:30PM ET,SAS,0.0
128,SF,Vlatko Cancar (20543096),Vlatko Cancar,20543096,SF/F/UTIL,3000,DEN@SAS 12/09/2021 08:30PM ET,DEN,5.0
129,SF/PF,Giorgi Bezhanishvili (20543099),Giorgi Bezhanishvili,20543099,SF/PF/F/UTIL,3000,DEN@SAS 12/09/2021 08:30PM ET,DEN,0.0
130,C,Tarik Black (20543103),Tarik Black,20543103,C/UTIL,3000,DEN@SAS 12/09/2021 08:30PM ET,DEN,0.0
131,SG/SF,Matt Ryan (20543105),Matt Ryan,20543105,SG/SF/F/G/UTIL,3000,DEN@SAS 12/09/2021 08:30PM ET,DEN,0.0
132,PG,Markus Howard (20543110),Markus Howard,20543110,PG/G/UTIL,3000,DEN@SAS 12/09/2021 08:30PM ET,DEN,3.54
133,SG,Austin Rivers (20543113),Austin Rivers,20543113,SG/G/UTIL,3000,DEN@SAS 12/09/2021 08:30PM ET,DEN,8.17
134,SG,PJ Dozier (20543116),PJ Dozier,20543116,SG/G/UTIL,3000,DEN@SAS 12/09/2021 08:30PM ET,DEN,14.12
