Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (20899679),Nikola Jokic,20899679,C/UTIL,12000,SAC@DEN 01/07/2022 09:00PM ET,DEN,59.18
PG/SF,LeBron James (20899681),LeBron James,20899681,PG/SF/F/G/UTIL,11600,ATL@LAL 01/07/2022 10:00PM ET,LAL,53.95
PF/C,Giannis Antetokounmpo (20899686),Giannis Antetokounmpo,20899686,PF/C/F/UTIL,11400,MIL@BKN 01/07/2022 07:30PM ET,MIL,56.44
C,Joel Embiid (20899690),Joel Embiid,20899690,C/UTIL,11200,SAS@PHI 01/07/2022 07:00PM ET,PHI,51.67
PG,Luka Doncic (20899692),Luka Doncic,20899692,PG/G/UTIL,10700,DAL@HOU 01/07/2022 08:00PM ET,DAL,51.56
PG,James Harden (20899695),James Harden,20899695,PG/G/UTIL,10600,MIL@BKN 01/07/2022 07:30PM ET,BKN,51.79
PG,Trae Young (20899698),Trae Young,20899698,PG/G/UTIL,10500,ATL@LAL 01/07/2022 10:00PM ET,ATL,49.84
PG/SG,Bradley Beal (20899701),Bradley Beal,20899701,PG/SG/G/UTIL,10400,WAS@CHI 01/07/2022 08:00PM ET,WAS,41.30
SF/PF,Kevin Durant (20899705),Kevin Durant,20899705,SF/PF/F/UTIL,10300,MIL@BKN 01/07/2022 07:30PM ET,BKN,51.41
PG,Russell Westbrook (20899709),Russell Westbrook,20899709,PG/G/UTIL,10100,ATL@LAL 01/07/2022 10:00PM ET,LAL,44.32
PG,Damian Lillard (20899712),Damian Lillard,20899712,PG/G/UTIL,10000,CLE@POR 01/07/2022 10:00PM ET,POR,42.60
C,Karl-Anthony Towns (20899715),Karl-Anthony Towns,20899715,C/UTIL,9900,MIN@OKC 01/07/2022 08:00PM ET,MIN,45.79
PF/C,Anthony Davis (20899717),Anthony Davis,20899717,PF/C/F/UTIL,9800,ATL@LAL 01/07/2022 10:00PM ET,LAL,46.18
SG/SF,Zach LaVine (20899721),Zach LaVine,20899721,SG/SF/F/G/UTIL,9700,WAS@CHI 01/07/2022 08:00PM ET,CHI,41.02
PG,Dejounte Murray (20899730),Dejounte Murray,20899730,PG/G/UTIL,9600,SAS@PHI 01/07/2022 07:00PM ET,SAS,47.42
PG/SG,Donovan Mitchell (20899726),Donovan Mitchell,20899726,PG/SG/G/UTIL,9600,UTA@TOR 01/07/2022 07:30PM ET,UTA,41.75
PG/SG,Fred VanVleet (20899733),Fred VanVleet,20899733,PG/SG/G/UTIL,9500,UTA@TOR 01/07/2022 07:30PM ET,TOR,42.38
PG/SG,Darius Garland (20899737),Darius Garland,20899737,PG/SG/G/UTIL,9300,CLE@POR 01/07/2022 10:00PM ET,CLE,37.33
PF,DeMar DeRozan (20899741),DeMar DeRozan,20899741,PF/F/UTIL,9200,WAS@CHI 01/07/2022 08:00PM ET,CHI,41.82
C,Nikola Vucevic (20899744),Nikola Vucevic,20899744,C/UTIL,9100,WAS@CHI 01/07/2022 08:00PM ET,CHI,40.75
C,Pascal Siakam (20899746),Pascal Siakam,20899746,C/UTIL,9000,UTA@TOR 01/07/2022 07:30PM ET,TOR,40.52
PG/SG,Kyrie Irving (20899748),Kyrie Irving,20899748,PG/SG/G/UTIL,8900,MIL@BKN 01/07/2022 07:30PM ET,BKN,38.75
PF,Kristaps Porzingis (20899752),Kristaps Porzingis,20899752,PF/F/UTIL,8800,DAL@HOU 01/07/2022 08:00PM ET,DAL,39.47
PG,Shai Gilgeous-Alexander (20899755),Shai Gilgeous-Alexander,20899755,PG/G/UTIL,8700,MIN@OKC 01/07/2022 08:00PM ET,OKC,39.42
C,Rudy Gobert (20899758),Rudy Gobert,20899758,C/UTIL,8600,UTA@TOR 01/07/2022 07:30PM ET,UTA,42.37
PG,Jrue Holiday (20899760),Jrue Holiday,20899760,PG/G/UTIL,8500,MIL@BKN 01/07/2022 07:30PM ET,MIL,38.39
PG,Ben Simmons (20899763),Ben Simmons,20899763,PG/G/UTIL,8400,SAS@PHI 01/07/2022 07:00PM ET,PHI,0
C,Jarrett Allen (20899766),Jarrett Allen,20899766,C/UTIL,8300,CLE@POR 01/07/2022 10:00PM ET,CLE,38.18
C,Clint Capela (20899768),Clint Capela,20899768,C/UTIL,8200,ATL@LAL 01/07/2022 10:00PM ET,ATL,35.84
PG/SG,CJ McCollum (20899770),CJ McCollum,20899770,PG/SG/G/UTIL,8100,CLE@POR 01/07/2022 10:00PM ET,POR,36.66
SF/PF,Kyle Kuzma (20899779),Kyle Kuzma,20899779,SF/PF/F/UTIL,8000,WAS@CHI 01/07/2022 08:00PM ET,WAS,32.57
SG/SF,Anthony Edwards (20899774),Anthony Edwards,20899774,SG/SF/F/G/UTIL,8000,MIN@OKC 01/07/2022 08:00PM ET,MIN,39.08
SF,Khris Middleton (20899783),Khris Middleton,20899783,SF/F/UTIL,7900,MIL@BKN 01/07/2022 07:30PM ET,MIL,34.55
PF,Tobias Harris (20899786),Tobias Harris,20899786,PF/F/UTIL,7800,SAS@PHI 01/07/2022 07:00PM ET,PHI,36.19
SF/PF,Scottie Barnes (20899789),Scottie Barnes,20899789,SF/PF/F/UTIL,7700,UTA@TOR 01/07/2022 07:30PM ET,TOR,34
SF,Josh Giddey (20899793),Josh Giddey,20899793,SF/F/UTIL,7600,MIN@OKC 01/07/2022 08:00PM ET,OKC,32.73
PF/C,Kevin Love (20899796),Kevin Love,20899796,PF/C/F/UTIL,7600,CLE@POR 01/07/2022 10:00PM ET,CLE,29.6
PG,John Wall (20899800),John Wall,20899800,PG/G/UTIL,7500,DAL@HOU 01/07/2022 08:00PM ET,HOU,0
PG/SG,D'Angelo Russell (20899803),D'Angelo Russell,20899803,PG/SG/G/UTIL,7500,MIN@OKC 01/07/2022 08:00PM ET,MIN,36.26
PF/C,John Collins (20899807),John Collins,20899807,PF/C/F/UTIL,7400,ATL@LAL 01/07/2022 10:00PM ET,ATL,35.09
PF/C,Evan Mobley (20899811),Evan Mobley,20899811,PF/C/F/UTIL,7400,CLE@POR 01/07/2022 10:00PM ET,CLE,33.68
PG,Lonzo Ball (20899815),Lonzo Ball,20899815,PG/G/UTIL,7300,WAS@CHI 01/07/2022 08:00PM ET,CHI,33.45
PG/SG,Tyrese Haliburton (20899818),Tyrese Haliburton,20899818,PG/SG/G/UTIL,7200,SAC@DEN 01/07/2022 09:00PM ET,SAC,33.91
PG,De'Aaron Fox (20899822),De'Aaron Fox,20899822,PG/G/UTIL,7200,SAC@DEN 01/07/2022 09:00PM ET,SAC,35.63
C,Christian Wood (20899828),Christian Wood,20899828,C/UTIL,7100,DAL@HOU 01/07/2022 08:00PM ET,HOU,36.83
SF,Norman Powell (20899825),Norman Powell,20899825,SF/F/UTIL,7100,CLE@POR 01/07/2022 10:00PM ET,POR,28.54
PG/SG,Jalen Brunson (20899832),Jalen Brunson,20899832,PG/SG/G/UTIL,7000,DAL@HOU 01/07/2022 08:00PM ET,DAL,30.51
C,Jusuf Nurkic (20899830),Jusuf Nurkic,20899830,C/UTIL,7000,CLE@POR 01/07/2022 10:00PM ET,POR,32.52
PG/SG,Derrick White (20899836),Derrick White,20899836,PG/SG/G/UTIL,6900,SAS@PHI 01/07/2022 07:00PM ET,SAS,31.28
PG,Spencer Dinwiddie (20899840),Spencer Dinwiddie,20899840,PG/G/UTIL,6800,WAS@CHI 01/07/2022 08:00PM ET,WAS,29.26
SF/PF,OG Anunoby (20899843),OG Anunoby,20899843,SF/PF/F/UTIL,6700,UTA@TOR 01/07/2022 07:30PM ET,TOR,34.32
SG,Jamal Murray (20899847),Jamal Murray,20899847,SG/G/UTIL,6600,SAC@DEN 01/07/2022 09:00PM ET,DEN,0
C,Bobby Portis (20899850),Bobby Portis,20899850,C/UTIL,6500,MIL@BKN 01/07/2022 07:30PM ET,MIL,32.52
C,Daniel Gafford (20899852),Daniel Gafford,20899852,C/UTIL,6400,WAS@CHI 01/07/2022 08:00PM ET,WAS,23.96
PG,Kevin Porter Jr. (20899854),Kevin Porter Jr.,20899854,PG/G/UTIL,6300,DAL@HOU 01/07/2022 08:00PM ET,HOU,29.49
C,Jakob Poeltl (20899861),Jakob Poeltl,20899861,C/UTIL,6200,SAS@PHI 01/07/2022 07:00PM ET,SAS,31.14
PG/SG,Anfernee Simons (20899857),Anfernee Simons,20899857,PG/SG/G/UTIL,6200,CLE@POR 01/07/2022 10:00PM ET,POR,21.80
SG,Seth Curry (20899863),Seth Curry,20899863,SG/G/UTIL,6100,SAS@PHI 01/07/2022 07:00PM ET,PHI,27.95
SG,Gary Trent Jr. (20899866),Gary Trent Jr.,20899866,SG/G/UTIL,5900,UTA@TOR 01/07/2022 07:30PM ET,TOR,28.83
PF/C,Chris Boucher (20899869),Chris Boucher,20899869,PF/C/F/UTIL,5900,UTA@TOR 01/07/2022 07:30PM ET,TOR,18.30
SG,Will Barton (20899876),Will Barton,20899876,SG/G/UTIL,5800,SAC@DEN 01/07/2022 09:00PM ET,DEN,30.88
PG/SG,Malik Monk (20899883),Malik Monk,20899883,PG/SG/G/UTIL,5800,ATL@LAL 01/07/2022 10:00PM ET,LAL,20.97
PF,Keldon Johnson (20899887),Keldon Johnson,20899887,PF/F/UTIL,5800,SAS@PHI 01/07/2022 07:00PM ET,SAS,27.51
PG,Mike Conley (20899873),Mike Conley,20899873,PG/G/UTIL,5800,UTA@TOR 01/07/2022 07:30PM ET,UTA,29.08
SF/PF,Lauri Markkanen (20899879),Lauri Markkanen,20899879,SF/PF/F/UTIL,5800,CLE@POR 01/07/2022 10:00PM ET,CLE,25.36
