,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,PF/C,Giannis Antetokounmpo (20333809),Giannis Antetokounmpo,20333809,PF/C/F/UTIL,12200,DET@MIL 11/24/2021 08:00PM ET,MIL,56.84
1,PG,James Harden (20333813),James Harden,20333813,PG/G/UTIL,11700,BKN@BOS 11/24/2021 07:30PM ET,BKN,48.43
2,PG,Stephen Curry (20333816),Stephen Curry,20333816,PG/G/UTIL,11400,PHI@GSW 11/24/2021 10:00PM ET,GSW,52.0
3,SF/PF,Kevin Durant (20333819),Kevin Durant,20333819,SF/PF/F/UTIL,11200,BKN@BOS 11/24/2021 07:30PM ET,BKN,48.29
4,PF/C,Anthony Davis (20333823),Anthony Davis,20333823,PF/C/F/UTIL,11000,LAL@IND 11/24/2021 07:00PM ET,LAL,48.2
5,PG/SF,LeBron James (20333827),LeBron James,20333827,PG/SF/F/G/UTIL,10800,LAL@IND 11/24/2021 07:00PM ET,LAL,43.25
6,PG/SG,LaMelo Ball (20333832),LaMelo Ball,20333832,PG/SG/G/UTIL,10700,CHA@ORL 11/24/2021 07:00PM ET,CHA,46.79
7,C,Joel Embiid (20333836),Joel Embiid,20333836,C/UTIL,10400,PHI@GSW 11/24/2021 10:00PM ET,PHI,43.61
8,PG,Russell Westbrook (20333838),Russell Westbrook,20333838,PG/G/UTIL,10300,LAL@IND 11/24/2021 07:00PM ET,LAL,46.33
9,SF/PF,Jayson Tatum (20333841),Jayson Tatum,20333841,SF/PF/F/UTIL,10100,BKN@BOS 11/24/2021 07:30PM ET,BOS,45.89
10,SF,Jimmy Butler (20333845),Jimmy Butler,20333845,SF/F/UTIL,10000,MIA@MIN 11/24/2021 08:00PM ET,MIA,44.12
11,C,Zion Williamson (20333848),Zion Williamson,20333848,C/UTIL,9900,WAS@NOP 11/24/2021 08:00PM ET,NOP,0.0
12,PG,Ja Morant (20333850),Ja Morant,20333850,PG/G/UTIL,9800,TOR@MEM 11/24/2021 08:00PM ET,MEM,46.52
