Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,LeBron James (20795275),LeBron James,20795275,PF/F/UTIL,11800,LAL@MEM 12/29/2021 08:00PM ET,LAL,52.45
PG,Luka Doncic (20795278),Luka Doncic,20795278,PG/G/UTIL,11400,DAL@SAC 12/29/2021 10:30PM ET,DAL,51.69
SG/SF,Paul George (20795281),Paul George,20795281,SG/SF/F/G/UTIL,11100,LAC@BOS 12/29/2021 07:30PM ET,LAC,46.18
PG,Trae Young (20795286),Trae Young,20795286,PG/G/UTIL,11000,ATL@CHI 12/29/2021 08:00PM ET,ATL,48.42
SF/PF,Jayson Tatum (20795289),Jayson Tatum,20795289,SF/PF/F/UTIL,10900,LAC@BOS 12/29/2021 07:30PM ET,BOS,46.10
PF/C,Julius Randle (20795293),Julius Randle,20795293,PF/C/F/UTIL,10800,NYK@DET 12/29/2021 07:00PM ET,NYK,42.20
PF/C,Domantas Sabonis (20795297),Domantas Sabonis,20795297,PF/C/F/UTIL,10700,CHA@IND 12/29/2021 07:00PM ET,IND,41.81
PG,Damian Lillard (20795301),Damian Lillard,20795301,PG/G/UTIL,10600,UTA@POR 12/29/2021 10:00PM ET,POR,42.74
PG,Russell Westbrook (20795304),Russell Westbrook,20795304,PG/G/UTIL,10500,LAL@MEM 12/29/2021 08:00PM ET,LAL,44.47
PF,Kawhi Leonard (20795307),Kawhi Leonard,20795307,PF/F/UTIL,10400,LAC@BOS 12/29/2021 07:30PM ET,LAC,0
PG,Dejounte Murray (20795310),Dejounte Murray,20795310,PG/G/UTIL,10300,MIA@SAS 12/29/2021 08:30PM ET,SAS,47.12
C,Anthony Davis (20795313),Anthony Davis,20795313,C/UTIL,10200,LAL@MEM 12/29/2021 08:00PM ET,LAL,46.18
SG/SF,Zach LaVine (20795315),Zach LaVine,20795315,SG/SF/F/G/UTIL,10100,ATL@CHI 12/29/2021 08:00PM ET,CHI,41.49
SG/SF,Jaylen Brown (20795320),Jaylen Brown,20795320,SG/SF/F/G/UTIL,10000,LAC@BOS 12/29/2021 07:30PM ET,BOS,37.15
PG/SG,LaMelo Ball (20795325),LaMelo Ball,20795325,PG/SG/G/UTIL,9900,CHA@IND 12/29/2021 07:00PM ET,CHA,46.25
C,Rudy Gobert (20795329),Rudy Gobert,20795329,C/UTIL,9800,UTA@POR 12/29/2021 10:00PM ET,UTA,42.22
PG/SG,Donovan Mitchell (20795331),Donovan Mitchell,20795331,PG/SG/G/UTIL,9700,UTA@POR 12/29/2021 10:00PM ET,UTA,41.45
PF,DeMar DeRozan (20795335),DeMar DeRozan,20795335,PF/F/UTIL,9600,ATL@CHI 12/29/2021 08:00PM ET,CHI,41.86
PG/SG,Cade Cunningham (20795338),Cade Cunningham,20795338,PG/SG/G/UTIL,9500,NYK@DET 12/29/2021 07:00PM ET,DET,34.54
PF,Kristaps Porzingis (20795342),Kristaps Porzingis,20795342,PF/F/UTIL,9400,DAL@SAC 12/29/2021 10:30PM ET,DAL,38.91
SF,Jimmy Butler (20795345),Jimmy Butler,20795345,SF/F/UTIL,9300,MIA@SAS 12/29/2021 08:30PM ET,MIA,43.64
PG,Shai Gilgeous-Alexander (20795348),Shai Gilgeous-Alexander,20795348,PG/G/UTIL,9200,OKC@PHX 12/29/2021 09:00PM ET,OKC,39.82
PG/SG,Caris LeVert (20795351),Caris LeVert,20795351,PG/SG/G/UTIL,9100,CHA@IND 12/29/2021 07:00PM ET,IND,29.70
C,Nikola Vucevic (20795355),Nikola Vucevic,20795355,C/UTIL,9000,ATL@CHI 12/29/2021 08:00PM ET,CHI,40.07
PG,Ja Morant (20795357),Ja Morant,20795357,PG/G/UTIL,8800,LAL@MEM 12/29/2021 08:00PM ET,MEM,43.76
C,Bam Adebayo (20795360),Bam Adebayo,20795360,C/UTIL,8700,MIA@SAS 12/29/2021 08:30PM ET,MIA,38.35
PG/SG,Tyrese Haliburton (20795362),Tyrese Haliburton,20795362,PG/SG/G/UTIL,8600,DAL@SAC 12/29/2021 10:30PM ET,SAC,33.95
PG,Kyle Lowry (20795366),Kyle Lowry,20795366,PG/G/UTIL,8500,MIA@SAS 12/29/2021 08:30PM ET,MIA,34.84
PG/SG,Devin Booker (20795369),Devin Booker,20795369,PG/SG/G/UTIL,8400,OKC@PHX 12/29/2021 09:00PM ET,PHX,38.94
PG/SG,CJ McCollum (20795373),CJ McCollum,20795373,PG/SG/G/UTIL,8300,UTA@POR 12/29/2021 10:00PM ET,POR,36.66
C,Clint Capela (20795377),Clint Capela,20795377,C/UTIL,8200,ATL@CHI 12/29/2021 08:00PM ET,ATL,34.61
PG,Malcolm Brogdon (20795379),Malcolm Brogdon,20795379,PG/G/UTIL,8100,CHA@IND 12/29/2021 07:00PM ET,IND,37.53
PG,Reggie Jackson (20795385),Reggie Jackson,20795385,PG/G/UTIL,8000,LAC@BOS 12/29/2021 07:30PM ET,LAC,29.81
PG,Chris Paul (20795382),Chris Paul,20795382,PG/G/UTIL,8000,OKC@PHX 12/29/2021 09:00PM ET,PHX,39.08
SF/PF,Saddiq Bey (20795395),Saddiq Bey,20795395,SF/PF/F/UTIL,7900,NYK@DET 12/29/2021 07:00PM ET,DET,27.97
