,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,C,Nikola Jokic (20628556),Nikola Jokic,20628556,C/UTIL,12200,MIN@DEN 12/15/2021 09:00PM ET,DEN,59.94
1,PF/C,Giannis Antetokounmpo (20628558),Giannis Antetokounmpo,20628558,PF/C/F/UTIL,11800,IND@MIL 12/15/2021 08:00PM ET,MIL,55.53
2,PG,Luka Doncic (20628562),Luka Doncic,20628562,PG/G/UTIL,11200,LAL@DAL 12/15/2021 07:30PM ET,DAL,51.69
3,PF,LeBron James (20628565),LeBron James,20628565,PF/F/UTIL,11100,LAL@DAL 12/15/2021 07:30PM ET,LAL,50.44
4,C,Joel Embiid (20628568),Joel Embiid,20628568,C/UTIL,11000,MIA@PHI 12/15/2021 07:00PM ET,PHI,48.88
5,PG,Trae Young (20628570),Trae Young,20628570,PG/G/UTIL,10700,ATL@ORL 12/15/2021 07:00PM ET,ATL,48.5
6,PG,Russell Westbrook (20628573),Russell Westbrook,20628573,PG/G/UTIL,10600,LAL@DAL 12/15/2021 07:30PM ET,LAL,44.14
7,SG/SF,Paul George (20628576),Paul George,20628576,SG/SF/F/G/UTIL,10500,LAC@UTA 12/15/2021 10:00PM ET,LAC,46.28
8,PF/C,Anthony Davis (20628581),Anthony Davis,20628581,PF/C/F/UTIL,10400,LAL@DAL 12/15/2021 07:30PM ET,LAL,47.98
9,PG,Dejounte Murray (20628585),Dejounte Murray,20628585,PG/G/UTIL,10300,CHA@SAS 12/15/2021 08:30PM ET,SAS,46.36
10,C,Karl-Anthony Towns (20628588),Karl-Anthony Towns,20628588,C/UTIL,10200,MIN@DEN 12/15/2021 09:00PM ET,MIN,44.8
11,PG/SG,LaMelo Ball (20628590),LaMelo Ball,20628590,PG/SG/G/UTIL,10100,CHA@SAS 12/15/2021 08:30PM ET,CHA,47.43
12,PF,Kawhi Leonard (20628594),Kawhi Leonard,20628594,PF/F/UTIL,10000,LAC@UTA 12/15/2021 10:00PM ET,LAC,0.0
13,PG,Damian Lillard (20628597),Damian Lillard,20628597,PG/G/UTIL,9900,MEM@POR 12/15/2021 10:00PM ET,POR,41.54
14,C,Zion Williamson (20628600),Zion Williamson,20628600,C/UTIL,9700,NOP@OKC 12/15/2021 08:00PM ET,NOP,0.0
15,PG,Ja Morant (20628602),Ja Morant,20628602,PG/G/UTIL,9600,MEM@POR 12/15/2021 10:00PM ET,MEM,44.5
16,PF/C,Domantas Sabonis (20628605),Domantas Sabonis,20628605,PF/C/F/UTIL,9500,IND@MIL 12/15/2021 08:00PM ET,IND,42.71
17,SF,Jimmy Butler (20628609),Jimmy Butler,20628609,SF/F/UTIL,9400,MIA@PHI 12/15/2021 07:00PM ET,MIA,42.39
18,C,Bam Adebayo (20628612),Bam Adebayo,20628612,C/UTIL,9300,MIA@PHI 12/15/2021 07:00PM ET,MIA,38.35
19,SG/SF,Brandon Ingram (20628614),Brandon Ingram,20628614,SG/SF/F/G/UTIL,9200,NOP@OKC 12/15/2021 08:00PM ET,NOP,39.46
20,PG/SG,Donovan Mitchell (20628623),Donovan Mitchell,20628623,PG/SG/G/UTIL,9100,LAC@UTA 12/15/2021 10:00PM ET,UTA,40.96
21,PG/SG,CJ McCollum (20628619),CJ McCollum,20628619,PG/SG/G/UTIL,9100,MEM@POR 12/15/2021 10:00PM ET,POR,36.66
22,C,Rudy Gobert (20628627),Rudy Gobert,20628627,C/UTIL,9000,LAC@UTA 12/15/2021 10:00PM ET,UTA,40.95
23,C,Christian Wood (20628629),Christian Wood,20628629,C/UTIL,8900,HOU@CLE 12/15/2021 07:00PM ET,HOU,37.83
24,PG,Shai Gilgeous-Alexander (20628631),Shai Gilgeous-Alexander,20628631,PG/G/UTIL,8800,NOP@OKC 12/15/2021 08:00PM ET,OKC,37.59
25,C,Jonas Valanciunas (20628634),Jonas Valanciunas,20628634,C/UTIL,8700,NOP@OKC 12/15/2021 08:00PM ET,NOP,41.0
26,PF,Kristaps Porzingis (20628636),Kristaps Porzingis,20628636,PF/F/UTIL,8600,LAL@DAL 12/15/2021 07:30PM ET,DAL,37.8
27,PG/SG,Bradley Beal (20628639),Bradley Beal,20628639,PG/SG/G/UTIL,8500,WAS@SAC 12/15/2021 10:00PM ET,WAS,38.49
28,PG/SG,D'Angelo Russell (20628646),D'Angelo Russell,20628646,PG/SG/G/UTIL,8400,MIN@DEN 12/15/2021 09:00PM ET,MIN,36.93
29,PG,Cole Anthony (20628643),Cole Anthony,20628643,PG/G/UTIL,8400,ATL@ORL 12/15/2021 07:00PM ET,ORL,38.92
30,C,Jarrett Allen (20628650),Jarrett Allen,20628650,C/UTIL,8300,HOU@CLE 12/15/2021 07:00PM ET,CLE,38.52
31,SG/SF,Anthony Edwards (20628652),Anthony Edwards,20628652,SG/SF/F/G/UTIL,8300,MIN@DEN 12/15/2021 09:00PM ET,MIN,38.78
32,PG/SF,Ben Simmons (20628657),Ben Simmons,20628657,PG/SF/F/G/UTIL,8200,MIA@PHI 12/15/2021 07:00PM ET,PHI,0.0
33,SG/SF,Kelly Oubre Jr. (20628662),Kelly Oubre Jr.,20628662,SG/SF/F/G/UTIL,8200,CHA@SAS 12/15/2021 08:30PM ET,CHA,28.16
34,PG,Kyle Lowry (20628667),Kyle Lowry,20628667,PG/G/UTIL,8100,MIA@PHI 12/15/2021 07:00PM ET,MIA,34.03
35,SF/PF,Miles Bridges (20628670),Miles Bridges,20628670,SF/PF/F/UTIL,8100,CHA@SAS 12/15/2021 08:30PM ET,CHA,38.42
36,PG,De'Aaron Fox (20628674),De'Aaron Fox,20628674,PG/G/UTIL,8000,WAS@SAC 12/15/2021 10:00PM ET,SAC,36.21
37,C,Clint Capela (20628677),Clint Capela,20628677,C/UTIL,8000,ATL@ORL 12/15/2021 07:00PM ET,ATL,35.05
38,PG/SG,Darius Garland (20628679),Darius Garland,20628679,PG/SG/G/UTIL,7900,HOU@CLE 12/15/2021 07:00PM ET,CLE,36.68
39,PG,Kevin Porter Jr. (20628683),Kevin Porter Jr.,20628683,PG/G/UTIL,7900,HOU@CLE 12/15/2021 07:00PM ET,HOU,29.45
40,PG,John Wall (20628686),John Wall,20628686,PG/G/UTIL,7800,HOU@CLE 12/15/2021 07:00PM ET,HOU,0.0
41,C,Jusuf Nurkic (20628689),Jusuf Nurkic,20628689,C/UTIL,7800,MEM@POR 12/15/2021 10:00PM ET,POR,32.52
