,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,C,Nikola Jokic (20586180),Nikola Jokic,20586180,C/UTIL,12000,WAS@DEN 12/13/2021 09:00PM ET,DEN,59.31
1,PF/C,Giannis Antetokounmpo (20586182),Giannis Antetokounmpo,20586182,PF/C/F/UTIL,11600,MIL@BOS 12/13/2021 07:30PM ET,MIL,56.37
2,PG,Stephen Curry (20586186),Stephen Curry,20586186,PG/G/UTIL,11400,GSW@IND 12/13/2021 07:00PM ET,GSW,49.36
3,PG/SF,Luka Doncic (20586189),Luka Doncic,20586189,PG/SF/F/G/UTIL,11200,CHA@DAL 12/13/2021 08:30PM ET,DAL,51.69
4,C,Joel Embiid (20586194),Joel Embiid,20586194,C/UTIL,11000,PHI@MEM 12/13/2021 08:00PM ET,PHI,48.88
5,SG/SF,Paul George (20586196),Paul George,20586196,SG/SF/F/G/UTIL,10500,PHX@LAC 12/13/2021 10:30PM ET,LAC,46.28
6,PG,Trae Young (20586201),Trae Young,20586201,PG/G/UTIL,10300,HOU@ATL 12/13/2021 07:30PM ET,ATL,48.04
7,PG/SG,LaMelo Ball (20586204),LaMelo Ball,20586204,PG/SG/G/UTIL,10100,CHA@DAL 12/13/2021 08:30PM ET,CHA,47.43
8,PF,Kawhi Leonard (20586208),Kawhi Leonard,20586208,PF/F/UTIL,10000,PHX@LAC 12/13/2021 10:30PM ET,LAC,0.0
9,PF/C,Domantas Sabonis (20586211),Domantas Sabonis,20586211,PF/C/F/UTIL,9700,GSW@IND 12/13/2021 07:00PM ET,IND,42.42
10,PG,Ja Morant (20586215),Ja Morant,20586215,PG/G/UTIL,9600,PHI@MEM 12/13/2021 08:00PM ET,MEM,44.5
11,SF,Jimmy Butler (20586218),Jimmy Butler,20586218,SF/F/UTIL,9500,MIA@CLE 12/13/2021 07:00PM ET,MIA,42.39
12,SF/PF,Jayson Tatum (20586221),Jayson Tatum,20586221,SF/PF/F/UTIL,9400,MIL@BOS 12/13/2021 07:30PM ET,BOS,45.76
13,C,Christian Wood (20586225),Christian Wood,20586225,C/UTIL,9300,HOU@ATL 12/13/2021 07:30PM ET,HOU,38.34
14,C,Bam Adebayo (20586227),Bam Adebayo,20586227,C/UTIL,9200,MIA@CLE 12/13/2021 07:00PM ET,MIA,38.35
15,SG/SF,Jaylen Brown (20586229),Jaylen Brown,20586229,SG/SF/F/G/UTIL,9100,MIL@BOS 12/13/2021 07:30PM ET,BOS,34.35
16,PG/SG,Fred VanVleet (20586234),Fred VanVleet,20586234,PG/SG/G/UTIL,9000,SAC@TOR 12/13/2021 07:00PM ET,TOR,40.2
17,PG/SG,Devin Booker (20586238),Devin Booker,20586238,PG/SG/G/UTIL,8900,PHX@LAC 12/13/2021 10:30PM ET,PHX,38.2
18,C,Jarrett Allen (20586242),Jarrett Allen,20586242,C/UTIL,8600,MIA@CLE 12/13/2021 07:00PM ET,CLE,38.78
19,PF/C,Pascal Siakam (20586244),Pascal Siakam,20586244,PF/C/F/UTIL,8500,SAC@TOR 12/13/2021 07:00PM ET,TOR,36.88
20,SG/SF,Kelly Oubre Jr. (20586252),Kelly Oubre Jr.,20586252,SG/SF/F/G/UTIL,8400,CHA@DAL 12/13/2021 08:30PM ET,CHA,27.98
21,PG/SG,Bradley Beal (20586248),Bradley Beal,20586248,PG/SG/G/UTIL,8400,WAS@DEN 12/13/2021 09:00PM ET,WAS,38.38
22,PG,Chris Paul (20586257),Chris Paul,20586257,PG/G/UTIL,8300,PHX@LAC 12/13/2021 10:30PM ET,PHX,39.34
23,PG/SG,Darius Garland (20586263),Darius Garland,20586263,PG/SG/G/UTIL,8200,MIA@CLE 12/13/2021 07:00PM ET,CLE,36.77
24,PG,De'Aaron Fox (20586260),De'Aaron Fox,20586260,PG/G/UTIL,8200,SAC@TOR 12/13/2021 07:00PM ET,SAC,36.09
25,PG/SF,Ben Simmons (20586267),Ben Simmons,20586267,PG/SF/F/G/UTIL,8100,PHI@MEM 12/13/2021 08:00PM ET,PHI,0.0
26,PG,Kyle Lowry (20586272),Kyle Lowry,20586272,PG/G/UTIL,8000,MIA@CLE 12/13/2021 07:00PM ET,MIA,33.86
27,SF/PF,Miles Bridges (20586275),Miles Bridges,20586275,SF/PF/F/UTIL,8000,CHA@DAL 12/13/2021 08:30PM ET,CHA,38.81
28,PF,Kristaps Porzingis (20586279),Kristaps Porzingis,20586279,PF/F/UTIL,8000,CHA@DAL 12/13/2021 08:30PM ET,DAL,36.99
29,PG,Kevin Porter Jr. (20586285),Kevin Porter Jr.,20586285,PG/G/UTIL,7900,HOU@ATL 12/13/2021 07:30PM ET,HOU,29.45
30,PG,Malcolm Brogdon (20586282),Malcolm Brogdon,20586282,PG/G/UTIL,7900,GSW@IND 12/13/2021 07:00PM ET,IND,39.05
31,C,Clint Capela (20586288),Clint Capela,20586288,C/UTIL,7800,HOU@ATL 12/13/2021 07:30PM ET,ATL,34.84
32,PG,John Wall (20586290),John Wall,20586290,PG/G/UTIL,7800,HOU@ATL 12/13/2021 07:30PM ET,HOU,0.0
33,PG,Jrue Holiday (20586293),Jrue Holiday,20586293,PG/G/UTIL,7700,MIL@BOS 12/13/2021 07:30PM ET,MIL,34.02
34,PF,Tobias Harris (20586296),Tobias Harris,20586296,PF/F/UTIL,7700,PHI@MEM 12/13/2021 08:00PM ET,PHI,36.31
35,PG/SF,Scottie Barnes (20586299),Scottie Barnes,20586299,PG/SF/F/G/UTIL,7600,SAC@TOR 12/13/2021 07:00PM ET,TOR,34.23
36,SF/PF,Gordon Hayward (20586307),Gordon Hayward,20586307,SF/PF/F/UTIL,7500,CHA@DAL 12/13/2021 08:30PM ET,CHA,32.46
37,SG,Jamal Murray (20586304),Jamal Murray,20586304,SG/G/UTIL,7500,WAS@DEN 12/13/2021 09:00PM ET,DEN,0.0
38,SF,Khris Middleton (20586311),Khris Middleton,20586311,SF/F/UTIL,7400,MIL@BOS 12/13/2021 07:30PM ET,MIL,35.2
39,C,Deandre Ayton (20586318),Deandre Ayton,20586318,C/UTIL,7300,PHX@LAC 12/13/2021 10:30PM ET,PHX,35.38
40,PF/C,Jaren Jackson Jr. (20586314),Jaren Jackson Jr.,20586314,PF/C/F/UTIL,7300,PHI@MEM 12/13/2021 08:00PM ET,MEM,30.86
41,C,Bobby Portis (20586324),Bobby Portis,20586324,C/UTIL,7200,MIL@BOS 12/13/2021 07:30PM ET,MIL,33.64
42,PF/C,John Collins (20586326),John Collins,20586326,PF/C/F/UTIL,7200,HOU@ATL 12/13/2021 07:30PM ET,ATL,34.67
