Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (20845987),Nikola Jokic,20845987,C/UTIL,12400,DEN@DAL 01/03/2022 08:30PM ET,DEN,58.73
PF/C,Giannis Antetokounmpo (20845989),Giannis Antetokounmpo,20845989,PF/C/F/UTIL,11800,DET@MIL 01/03/2022 08:00PM ET,MIL,56.46
PG,Stephen Curry (20845993),Stephen Curry,20845993,PG/G/UTIL,11500,MIA@GSW 01/03/2022 10:00PM ET,GSW,48.74
C,Joel Embiid (20845996),Joel Embiid,20845996,C/UTIL,11400,HOU@PHI 01/03/2022 07:00PM ET,PHI,51.10
PG,James Harden (20845998),James Harden,20845998,PG/G/UTIL,11300,MEM@BKN 01/03/2022 07:30PM ET,BKN,52.8
SF/PF,Kevin Durant (20846001),Kevin Durant,20846001,SF/PF/F/UTIL,11200,MEM@BKN 01/03/2022 07:30PM ET,BKN,51.10
PG,Trae Young (20846005),Trae Young,20846005,PG/G/UTIL,11100,ATL@POR 01/03/2022 10:00PM ET,ATL,48.74
SG/SF,Paul George (20846008),Paul George,20846008,SG/SF/F/G/UTIL,11000,MIN@LAC 01/03/2022 10:30PM ET,LAC,46.18
PG,Luka Doncic (20846013),Luka Doncic,20846013,PG/G/UTIL,10900,DEN@DAL 01/03/2022 08:30PM ET,DAL,51.22
C,Karl-Anthony Towns (20846016),Karl-Anthony Towns,20846016,C/UTIL,10700,MIN@LAC 01/03/2022 10:30PM ET,MIN,45.77
PG/SG,Bradley Beal (20846021),Bradley Beal,20846021,PG/SG/G/UTIL,10400,CHA@WAS 01/03/2022 07:00PM ET,WAS,40.65
PF,Kawhi Leonard (20846018),Kawhi Leonard,20846018,PF/F/UTIL,10400,MIN@LAC 01/03/2022 10:30PM ET,LAC,0
PG,Damian Lillard (20846025),Damian Lillard,20846025,PG/G/UTIL,10400,ATL@POR 01/03/2022 10:00PM ET,POR,42.60
SF,Jimmy Butler (20846028),Jimmy Butler,20846028,SF/F/UTIL,10000,MIA@GSW 01/03/2022 10:00PM ET,MIA,43.48
SG/SF,Zach LaVine (20846031),Zach LaVine,20846031,SG/SF/F/G/UTIL,9900,ORL@CHI 01/03/2022 08:00PM ET,CHI,41.27
PG,Ja Morant (20846036),Ja Morant,20846036,PG/G/UTIL,9800,MEM@BKN 01/03/2022 07:30PM ET,MEM,44.94
PG/SG,Donovan Mitchell (20846039),Donovan Mitchell,20846039,PG/SG/G/UTIL,9700,UTA@NOP 01/03/2022 08:00PM ET,UTA,42.04
C,Jonas Valanciunas (20846043),Jonas Valanciunas,20846043,C/UTIL,9600,UTA@NOP 01/03/2022 08:00PM ET,NOP,40.64
PG/SG,LaMelo Ball (20846045),LaMelo Ball,20846045,PG/SG/G/UTIL,9500,CHA@WAS 01/03/2022 07:00PM ET,CHA,45.74
C,Zion Williamson (20846049),Zion Williamson,20846049,C/UTIL,9400,UTA@NOP 01/03/2022 08:00PM ET,NOP,0
PF,DeMar DeRozan (20846051),DeMar DeRozan,20846051,PF/F/UTIL,9300,ORL@CHI 01/03/2022 08:00PM ET,CHI,42
C,Nikola Vucevic (20846054),Nikola Vucevic,20846054,C/UTIL,9200,ORL@CHI 01/03/2022 08:00PM ET,CHI,40.60
SG/SF,Brandon Ingram (20846056),Brandon Ingram,20846056,SG/SF/F/G/UTIL,9100,UTA@NOP 01/03/2022 08:00PM ET,NOP,39.31
PG/SG,Cade Cunningham (20846061),Cade Cunningham,20846061,PG/SG/G/UTIL,9000,DET@MIL 01/03/2022 08:00PM ET,DET,34.54
PF,Kristaps Porzingis (20846065),Kristaps Porzingis,20846065,PF/F/UTIL,8900,DEN@DAL 01/03/2022 08:30PM ET,DAL,39.47
C,Bam Adebayo (20846068),Bam Adebayo,20846068,C/UTIL,8800,MIA@GSW 01/03/2022 10:00PM ET,MIA,38.35
SG/SF,Hamidou Diallo (20846072),Hamidou Diallo,20846072,SG/SF/F/G/UTIL,8700,DET@MIL 01/03/2022 08:00PM ET,DET,20.48
C,Rudy Gobert (20846070),Rudy Gobert,20846070,C/UTIL,8700,UTA@NOP 01/03/2022 08:00PM ET,UTA,42.44
PG,Kyrie Irving (20846077),Kyrie Irving,20846077,PG/G/UTIL,8600,MEM@BKN 01/03/2022 07:30PM ET,BKN,0
PG,Ben Simmons (20846080),Ben Simmons,20846080,PG/G/UTIL,8600,HOU@PHI 01/03/2022 07:00PM ET,PHI,0
PG,Jrue Holiday (20846085),Jrue Holiday,20846085,PG/G/UTIL,8500,DET@MIL 01/03/2022 08:00PM ET,MIL,37.71
SF/PF,Saddiq Bey (20846088),Saddiq Bey,20846088,SF/PF/F/UTIL,8500,DET@MIL 01/03/2022 08:00PM ET,DET,29.32
C,Clint Capela (20846083),Clint Capela,20846083,C/UTIL,8500,ATL@POR 01/03/2022 10:00PM ET,ATL,35.67
PG/SG,CJ McCollum (20846092),CJ McCollum,20846092,PG/SG/G/UTIL,8400,ATL@POR 01/03/2022 10:00PM ET,POR,36.66
PG,Cole Anthony (20846096),Cole Anthony,20846096,PG/G/UTIL,8300,ORL@CHI 01/03/2022 08:00PM ET,ORL,38.53
PG,Kyle Lowry (20846119),Kyle Lowry,20846119,PG/G/UTIL,8200,MIA@GSW 01/03/2022 10:00PM ET,MIA,34.71
PF,Tobias Harris (20846099),Tobias Harris,20846099,PF/F/UTIL,8200,HOU@PHI 01/03/2022 07:00PM ET,PHI,35.92
PG/SG,D'Angelo Russell (20846102),D'Angelo Russell,20846102,PG/SG/G/UTIL,8100,MIN@LAC 01/03/2022 10:30PM ET,MIN,37.10
SF/PF,Kyle Kuzma (20846106),Kyle Kuzma,20846106,SF/PF/F/UTIL,8000,CHA@WAS 01/03/2022 07:00PM ET,WAS,31.35
PG/SG,Jalen Brunson (20846110),Jalen Brunson,20846110,PG/SG/G/UTIL,7900,DEN@DAL 01/03/2022 08:30PM ET,DAL,30.86
SG/SF,Khris Middleton (20846114),Khris Middleton,20846114,SG/SF/F/G/UTIL,7800,DET@MIL 01/03/2022 08:00PM ET,MIL,34.79
SG/SF,Anthony Edwards (20846126),Anthony Edwards,20846126,SG/SF/F/G/UTIL,7700,MIN@LAC 01/03/2022 10:30PM ET,MIN,38.91
PF/C,John Collins (20846122),John Collins,20846122,PF/C/F/UTIL,7700,ATL@POR 01/03/2022 10:00PM ET,ATL,35.09
PG,Lonzo Ball (20846131),Lonzo Ball,20846131,PG/G/UTIL,7600,ORL@CHI 01/03/2022 08:00PM ET,CHI,33.65
PF/C,Draymond Green (20846134),Draymond Green,20846134,PF/C/F/UTIL,7500,MIA@GSW 01/03/2022 10:00PM ET,GSW,33.60
PG,John Wall (20846138),John Wall,20846138,PG/G/UTIL,7500,HOU@PHI 01/03/2022 07:00PM ET,HOU,0
PF/C,Wendell Carter Jr. (20846145),Wendell Carter Jr.,20846145,PF/C/F/UTIL,7400,ORL@CHI 01/03/2022 08:00PM ET,ORL,33.16
SF/PF,Miles Bridges (20846141),Miles Bridges,20846141,SF/PF/F/UTIL,7400,CHA@WAS 01/03/2022 07:00PM ET,CHA,37.99
PG,Reggie Jackson (20846152),Reggie Jackson,20846152,PG/G/UTIL,7300,MIN@LAC 01/03/2022 10:30PM ET,LAC,29.88
PF,Jerami Grant (20846149),Jerami Grant,20846149,PF/F/UTIL,7300,DET@MIL 01/03/2022 08:00PM ET,DET,34.38
PG/SG,Tyler Herro (20846155),Tyler Herro,20846155,PG/SG/G/UTIL,7200,MIA@GSW 01/03/2022 10:00PM ET,MIA,33.86
C,Jusuf Nurkic (20846159),Jusuf Nurkic,20846159,C/UTIL,7100,ATL@POR 01/03/2022 10:00PM ET,POR,31.91
SG/SF,Andrew Wiggins (20846161),Andrew Wiggins,20846161,SG/SF/F/G/UTIL,7000,MIA@GSW 01/03/2022 10:00PM ET,GSW,30.64
PG,Spencer Dinwiddie (20846166),Spencer Dinwiddie,20846166,PG/G/UTIL,7000,CHA@WAS 01/03/2022 07:00PM ET,WAS,29.26
SG,Desmond Bane (20846169),Desmond Bane,20846169,SG/G/UTIL,6900,MEM@BKN 01/03/2022 07:30PM ET,MEM,29.53
PG/SG,Terry Rozier (20846175),Terry Rozier,20846175,PG/SG/G/UTIL,6900,CHA@WAS 01/03/2022 07:00PM ET,CHA,30.96
PG,Eric Bledsoe (20846172),Eric Bledsoe,20846172,PG/G/UTIL,6900,MIN@LAC 01/03/2022 10:30PM ET,LAC,24.45
SG,Jamal Murray (20846188),Jamal Murray,20846188,SG/G/UTIL,6800,DEN@DAL 01/03/2022 08:30PM ET,DEN,0
C,Bobby Portis (20846179),Bobby Portis,20846179,C/UTIL,6800,DET@MIL 01/03/2022 08:00PM ET,MIL,32.87
SF/PF,Josh Hart (20846181),Josh Hart,20846181,SF/PF/F/UTIL,6800,UTA@NOP 01/03/2022 08:00PM ET,NOP,31.13
PG,Kevin Porter Jr. (20846185),Kevin Porter Jr.,20846185,PG/G/UTIL,6800,HOU@PHI 01/03/2022 07:00PM ET,HOU,29.16
SF/PF,Franz Wagner (20846191),Franz Wagner,20846191,SF/PF/F/UTIL,6700,ORL@CHI 01/03/2022 08:00PM ET,ORL,28.59
