Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (20560224),Nikola Jokic,20560224,C/UTIL,11900,DEN@SAS 12/11/2021 08:30PM ET,DEN,58.51
PG,Stephen Curry (20560226),Stephen Curry,20560226,PG/G/UTIL,11600,GSW@PHI 12/11/2021 08:30PM ET,GSW,49.88
C,Joel Embiid (20560229),Joel Embiid,20560229,C/UTIL,11200,GSW@PHI 12/11/2021 08:30PM ET,PHI,49.08
PG,Dejounte Murray (20560231),Dejounte Murray,20560231,PG/G/UTIL,9900,DEN@SAS 12/11/2021 08:30PM ET,SAS,47.24
SG/SF,Zach LaVine (20560234),Zach LaVine,20560234,SG/SF/F/G/UTIL,9800,CHI@MIA 12/11/2021 08:00PM ET,CHI,40.42
SF,Jimmy Butler (20560239),Jimmy Butler,20560239,SF/F/UTIL,9700,CHI@MIA 12/11/2021 08:00PM ET,MIA,42.39
PG,Ja Morant (20560242),Ja Morant,20560242,PG/G/UTIL,9600,HOU@MEM 12/11/2021 08:00PM ET,MEM,44.5
C,Christian Wood (20560245),Christian Wood,20560245,C/UTIL,9500,HOU@MEM 12/11/2021 08:00PM ET,HOU,38.08
PF,DeMar DeRozan (20560247),DeMar DeRozan,20560247,PF/F/UTIL,9300,CHI@MIA 12/11/2021 08:00PM ET,CHI,41.16
C,Nikola Vucevic (20560250),Nikola Vucevic,20560250,C/UTIL,9100,CHI@MIA 12/11/2021 08:00PM ET,CHI,39.03
PG/SG,Donovan Mitchell (20560252),Donovan Mitchell,20560252,PG/SG/G/UTIL,9000,UTA@WAS 12/11/2021 07:00PM ET,UTA,41.06
C,Bam Adebayo (20560256),Bam Adebayo,20560256,C/UTIL,8900,CHI@MIA 12/11/2021 08:00PM ET,MIA,38.35
C,Rudy Gobert (20560258),Rudy Gobert,20560258,C/UTIL,8800,UTA@WAS 12/11/2021 07:00PM ET,UTA,41.1
PG/SG,Bradley Beal (20560260),Bradley Beal,20560260,PG/SG/G/UTIL,8500,UTA@WAS 12/11/2021 07:00PM ET,WAS,38.55
PG,De'Aaron Fox (20560264),De'Aaron Fox,20560264,PG/G/UTIL,8400,SAC@CLE 12/11/2021 08:00PM ET,SAC,36.58
C,Jarrett Allen (20560267),Jarrett Allen,20560267,C/UTIL,8300,SAC@CLE 12/11/2021 08:00PM ET,CLE,38.49
PG/SF,Ben Simmons (20560269),Ben Simmons,20560269,PG/SF/F/G/UTIL,8200,GSW@PHI 12/11/2021 08:30PM ET,PHI,0
