Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Russell Westbrook (20372324),Russell Westbrook,20372324,PG/G/UTIL,11000,DET@LAL 11/28/2021 09:30PM ET,LAL,46.81
PF/C,Anthony Davis (20372327),Anthony Davis,20372327,PF/C/F/UTIL,10800,DET@LAL 11/28/2021 09:30PM ET,LAL,48.39
PG/SF,LeBron James (20372331),LeBron James,20372331,PG/SF/F/G/UTIL,10500,DET@LAL 11/28/2021 09:30PM ET,LAL,46.4
SF/PF,Jayson Tatum (20372336),Jayson Tatum,20372336,SF/PF/F/UTIL,9900,BOS@TOR 11/28/2021 06:00PM ET,BOS,45.15
PG,Ja Morant (20372340),Ja Morant,20372340,PG/G/UTIL,9600,SAC@MEM 11/28/2021 06:00PM ET,MEM,44.5
SG/SF,Jaylen Brown (20372343),Jaylen Brown,20372343,SG/SF/F/G/UTIL,9200,BOS@TOR 11/28/2021 06:00PM ET,BOS,36.57
PG,De'Aaron Fox (20372348),De'Aaron Fox,20372348,PG/G/UTIL,8300,SAC@MEM 11/28/2021 06:00PM ET,SAC,36.06
PF/C,Pascal Siakam (20372351),Pascal Siakam,20372351,PF/C/F/UTIL,8200,BOS@TOR 11/28/2021 06:00PM ET,TOR,35.25
PG/SG,Fred VanVleet (20372355),Fred VanVleet,20372355,PG/SG/G/UTIL,8100,BOS@TOR 11/28/2021 06:00PM ET,TOR,40.71
PG/SG,Cade Cunningham (20372359),Cade Cunningham,20372359,PG/SG/G/UTIL,7500,DET@LAL 11/28/2021 09:30PM ET,DET,31.30
PF/C,Al Horford (20372363),Al Horford,20372363,PF/C/F/UTIL,7400,BOS@TOR 11/28/2021 06:00PM ET,BOS,33.22
SF/PF,OG Anunoby (20372367),OG Anunoby,20372367,SF/PF/F/UTIL,7200,BOS@TOR 11/28/2021 06:00PM ET,TOR,35.88
PF,Jerami Grant (20372371),Jerami Grant,20372371,PF/F/UTIL,7100,DET@LAL 11/28/2021 09:30PM ET,DET,32.99
PG/SG,Tyrese Haliburton (20372374),Tyrese Haliburton,20372374,PG/SG/G/UTIL,6700,SAC@MEM 11/28/2021 06:00PM ET,SAC,30.57
SF/PF,Scottie Barnes (20372378),Scottie Barnes,20372378,SF/PF/F/UTIL,6600,BOS@TOR 11/28/2021 06:00PM ET,TOR,32.89
PF/C,Jaren Jackson Jr. (20372382),Jaren Jackson Jr.,20372382,PF/C/F/UTIL,6500,SAC@MEM 11/28/2021 06:00PM ET,MEM,29.22
SG/SF,Buddy Hield (20372386),Buddy Hield,20372386,SG/SF/F/G/UTIL,6400,SAC@MEM 11/28/2021 06:00PM ET,SAC,29.36
PG,Dennis Schroder (20372391),Dennis Schroder,20372391,PG/G/UTIL,6300,BOS@TOR 11/28/2021 06:00PM ET,BOS,30.66
SF,Dillon Brooks (20372394),Dillon Brooks,20372394,SF/F/UTIL,6100,SAC@MEM 11/28/2021 06:00PM ET,MEM,27.88
