,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,C,Nikola Jokic (20380322),Nikola Jokic,20380322,C/UTIL,11400,DEN@MIA 11/29/2021 07:30PM ET,DEN,58.04
1,PG,Luka Doncic (20380324),Luka Doncic,20380324,PG/G/UTIL,11300,CLE@DAL 11/29/2021 08:30PM ET,DAL,51.82
2,C,Joel Embiid (20380327),Joel Embiid,20380327,C/UTIL,10500,ORL@PHI 11/29/2021 07:00PM ET,PHI,46.3
3,PG/SG,LaMelo Ball (20380329),LaMelo Ball,20380329,PG/SG/G/UTIL,10400,CHA@CHI 11/29/2021 08:00PM ET,CHA,46.38
4,SF/PF,Paul George (20380333),Paul George,20380333,SF/PF/F/UTIL,10200,NOP@LAC 11/29/2021 10:30PM ET,LAC,47.28
5,PF,Kawhi Leonard (20380337),Kawhi Leonard,20380337,PF/F/UTIL,10000,NOP@LAC 11/29/2021 10:30PM ET,LAC,0.0
6,PF/C,Zion Williamson (20380340),Zion Williamson,20380340,PF/C/F/UTIL,9800,NOP@LAC 11/29/2021 10:30PM ET,NOP,0.0
7,C,Karl-Anthony Towns (20380344),Karl-Anthony Towns,20380344,C/UTIL,9700,IND@MIN 11/29/2021 08:00PM ET,MIN,44.36
8,PG,Dejounte Murray (20380346),Dejounte Murray,20380346,PG/G/UTIL,9600,WAS@SAS 11/29/2021 08:30PM ET,SAS,47.32
9,PG,Damian Lillard (20380349),Damian Lillard,20380349,PG/G/UTIL,9500,POR@UTA 11/29/2021 09:00PM ET,POR,41.41
10,SF,Jimmy Butler (20380352),Jimmy Butler,20380352,SF/F/UTIL,9400,DEN@MIA 11/29/2021 07:30PM ET,MIA,43.28
11,PG/SG,Bradley Beal (20380355),Bradley Beal,20380355,PG/SG/G/UTIL,9200,WAS@SAS 11/29/2021 08:30PM ET,WAS,40.43
12,SG/SF,Zach LaVine (20380359),Zach LaVine,20380359,SG/SF/F/G/UTIL,8800,CHA@CHI 11/29/2021 08:00PM ET,CHI,39.1
13,PF,DeMar DeRozan (20380364),DeMar DeRozan,20380364,PF/F/UTIL,8700,CHA@CHI 11/29/2021 08:00PM ET,CHI,40.62
14,PF,Kristaps Porzingis (20380367),Kristaps Porzingis,20380367,PF/F/UTIL,8600,CLE@DAL 11/29/2021 08:30PM ET,DAL,39.1
15,C,Rudy Gobert (20380370),Rudy Gobert,20380370,C/UTIL,8500,POR@UTA 11/29/2021 09:00PM ET,UTA,40.61
16,C,Jonas Valanciunas (20380376),Jonas Valanciunas,20380376,C/UTIL,8400,NOP@LAC 11/29/2021 10:30PM ET,NOP,40.85
17,PF/C,Domantas Sabonis (20380372),Domantas Sabonis,20380372,PF/C/F/UTIL,8400,IND@MIN 11/29/2021 08:00PM ET,IND,40.08
18,C,Nikola Vucevic (20380378),Nikola Vucevic,20380378,C/UTIL,8300,CHA@CHI 11/29/2021 08:00PM ET,CHI,38.07
19,C,Christian Wood (20380380),Christian Wood,20380380,C/UTIL,8200,OKC@HOU 11/29/2021 08:00PM ET,HOU,37.66
20,C,Bam Adebayo (20380382),Bam Adebayo,20380382,C/UTIL,8200,DEN@MIA 11/29/2021 07:30PM ET,MIA,37.76
21,PG/SG,Donovan Mitchell (20380384),Donovan Mitchell,20380384,PG/SG/G/UTIL,8100,POR@UTA 11/29/2021 09:00PM ET,UTA,39.82
22,SF/PF,Miles Bridges (20380391),Miles Bridges,20380391,SF/PF/F/UTIL,8000,CHA@CHI 11/29/2021 08:00PM ET,CHA,39.18
23,PG,Shai Gilgeous-Alexander (20380388),Shai Gilgeous-Alexander,20380388,PG/G/UTIL,8000,OKC@HOU 11/29/2021 08:00PM ET,OKC,36.48
24,SG/SF,Anthony Edwards (20380395),Anthony Edwards,20380395,SG/SF/F/G/UTIL,7900,IND@MIN 11/29/2021 08:00PM ET,MIN,39.94
25,PG/SG,D'Angelo Russell (20380403),D'Angelo Russell,20380403,PG/SG/G/UTIL,7800,IND@MIN 11/29/2021 08:00PM ET,MIN,35.93
26,PF,Tobias Harris (20380400),Tobias Harris,20380400,PF/F/UTIL,7800,ORL@PHI 11/29/2021 07:00PM ET,PHI,38.67
27,PG/SG,Darius Garland (20380407),Darius Garland,20380407,PG/SG/G/UTIL,7700,CLE@DAL 11/29/2021 08:30PM ET,CLE,35.04
28,PG,Cole Anthony (20380411),Cole Anthony,20380411,PG/G/UTIL,7700,ORL@PHI 11/29/2021 07:00PM ET,ORL,39.94
29,PG/SF,Ben Simmons (20380414),Ben Simmons,20380414,PG/SF/F/G/UTIL,7700,ORL@PHI 11/29/2021 07:00PM ET,PHI,0.0
30,PG/SG,CJ McCollum (20380423),CJ McCollum,20380423,PG/SG/G/UTIL,7600,POR@UTA 11/29/2021 09:00PM ET,POR,36.49
31,PG/SG,Jamal Murray (20380419),Jamal Murray,20380419,PG/SG/G/UTIL,7600,DEN@MIA 11/29/2021 07:30PM ET,DEN,0.0
32,C,Jarrett Allen (20380427),Jarrett Allen,20380427,C/UTIL,7500,CLE@DAL 11/29/2021 08:30PM ET,CLE,35.97
33,SG,Brandon Ingram (20380429),Brandon Ingram,20380429,SG/G/UTIL,7500,NOP@LAC 11/29/2021 10:30PM ET,NOP,36.13
34,PG,Malcolm Brogdon (20380432),Malcolm Brogdon,20380432,PG/G/UTIL,7400,IND@MIN 11/29/2021 08:00PM ET,IND,39.52
35,PG,Tyrese Maxey (20380435),Tyrese Maxey,20380435,PG/G/UTIL,7300,ORL@PHI 11/29/2021 07:00PM ET,PHI,32.96
36,PG,John Wall (20380442),John Wall,20380442,PG/G/UTIL,7200,OKC@HOU 11/29/2021 08:00PM ET,HOU,0.0
37,PG/SG,Tyler Herro (20380438),Tyler Herro,20380438,PG/SG/G/UTIL,7200,DEN@MIA 11/29/2021 07:30PM ET,MIA,35.85
38,PG/SG,Terry Rozier (20380445),Terry Rozier,20380445,PG/SG/G/UTIL,7100,CHA@CHI 11/29/2021 08:00PM ET,CHA,30.94
39,SG/SF,Will Barton (20380449),Will Barton,20380449,SG/SF/F/G/UTIL,7100,DEN@MIA 11/29/2021 07:30PM ET,DEN,32.84
40,PG,Lonzo Ball (20380454),Lonzo Ball,20380454,PG/G/UTIL,7000,CHA@CHI 11/29/2021 08:00PM ET,CHI,31.82
41,PG,Kyle Lowry (20380457),Kyle Lowry,20380457,PG/G/UTIL,7000,DEN@MIA 11/29/2021 07:30PM ET,MIA,32.53
42,PG/SG,Jalen Brunson (20380462),Jalen Brunson,20380462,PG/SG/G/UTIL,6900,CLE@DAL 11/29/2021 08:30PM ET,DAL,30.43
43,C,Andre Drummond (20380460),Andre Drummond,20380460,C/UTIL,6900,ORL@PHI 11/29/2021 07:00PM ET,PHI,27.03
44,PG,Kevin Porter Jr. (20380466),Kevin Porter Jr.,20380466,PG/G/UTIL,6800,OKC@HOU 11/29/2021 08:00PM ET,HOU,29.88
45,PF/C,Evan Mobley (20380469),Evan Mobley,20380469,PF/C/F/UTIL,6700,CLE@DAL 11/29/2021 08:30PM ET,CLE,33.52
46,PG,Ricky Rubio (20380473),Ricky Rubio,20380473,PG/G/UTIL,6600,CLE@DAL 11/29/2021 08:30PM ET,CLE,31.34
47,SG/SF,Josh Giddey (20380480),Josh Giddey,20380480,SG/SF/F/G/UTIL,6500,OKC@HOU 11/29/2021 08:00PM ET,OKC,30.95
48,SF/PF,Aaron Gordon (20380476),Aaron Gordon,20380476,SF/PF/F/UTIL,6500,DEN@MIA 11/29/2021 07:30PM ET,DEN,27.22
49,C,Mo Bamba (20380489),Mo Bamba,20380489,C/UTIL,6400,ORL@PHI 11/29/2021 07:00PM ET,ORL,31.11
50,SF/PF,Kyle Kuzma (20380485),Kyle Kuzma,20380485,SF/PF/F/UTIL,6400,WAS@SAS 11/29/2021 08:30PM ET,WAS,32.05
51,SF/PF,Gordon Hayward (20380493),Gordon Hayward,20380493,SF/PF/F/UTIL,6300,CHA@CHI 11/29/2021 08:00PM ET,CHA,31.11
52,C,Jusuf Nurkic (20380491),Jusuf Nurkic,20380491,C/UTIL,6300,POR@UTA 11/29/2021 09:00PM ET,POR,32.42
53,PF/C,Wendell Carter Jr. (20380497),Wendell Carter Jr.,20380497,PF/C/F/UTIL,6300,ORL@PHI 11/29/2021 07:00PM ET,ORL,32.11
54,PG,Spencer Dinwiddie (20380501),Spencer Dinwiddie,20380501,PG/G/UTIL,6200,WAS@SAS 11/29/2021 08:30PM ET,WAS,30.47
55,PG,Reggie Jackson (20380506),Reggie Jackson,20380506,PG/G/UTIL,6100,NOP@LAC 11/29/2021 10:30PM ET,LAC,29.7
56,C,Myles Turner (20380504),Myles Turner,20380504,C/UTIL,6100,IND@MIN 11/29/2021 08:00PM ET,IND,30.83
57,C,Montrezl Harrell (20380509),Montrezl Harrell,20380509,C/UTIL,6100,WAS@SAS 11/29/2021 08:30PM ET,WAS,32.76
58,PG,Victor Oladipo (20380511),Victor Oladipo,20380511,PG/G/UTIL,6000,DEN@MIA 11/29/2021 07:30PM ET,MIA,0.0
59,PG,Mike Conley (20380518),Mike Conley,20380518,PG/G/UTIL,5900,POR@UTA 11/29/2021 09:00PM ET,UTA,28.04
60,PG/SG,Derrick White (20380514),Derrick White,20380514,PG/SG/G/UTIL,5900,WAS@SAS 11/29/2021 08:30PM ET,SAS,27.81
61,PG,Collin Sexton (20380524),Collin Sexton,20380524,PG/G/UTIL,5800,CLE@DAL 11/29/2021 08:30PM ET,CLE,24.14
62,PF,Keldon Johnson (20380521),Keldon Johnson,20380521,PF/F/UTIL,5800,WAS@SAS 11/29/2021 08:30PM ET,SAS,28.71
63,SG/SF,Tim Hardaway Jr. (20380529),Tim Hardaway Jr.,20380529,SG/SF/F/G/UTIL,5700,CLE@DAL 11/29/2021 08:30PM ET,DAL,26.06
64,C,Jakob Poeltl (20380527),Jakob Poeltl,20380527,C/UTIL,5700,WAS@SAS 11/29/2021 08:30PM ET,SAS,30.25
65,SF/PF,Lauri Markkanen (20380534),Lauri Markkanen,20380534,SF/PF/F/UTIL,5600,CLE@DAL 11/29/2021 08:30PM ET,CLE,28.48
66,C,Ivica Zubac (20380538),Ivica Zubac,20380538,C/UTIL,5600,NOP@LAC 11/29/2021 10:30PM ET,LAC,25.12
67,SF,Michael Porter Jr. (20380540),Michael Porter Jr.,20380540,SF/F/UTIL,5500,DEN@MIA 11/29/2021 07:30PM ET,DEN,23.64
68,SG/SF,Luguentz Dort (20380543),Luguentz Dort,20380543,SG/SF/F/G/UTIL,5400,OKC@HOU 11/29/2021 08:00PM ET,OKC,27.99
69,PG/SG,Alex Caruso (20380552),Alex Caruso,20380552,PG/SG/G/UTIL,5300,CHA@CHI 11/29/2021 08:00PM ET,CHI,24.58
70,SG/SF,Kelly Oubre Jr. (20380564),Kelly Oubre Jr.,20380564,SG/SF/F/G/UTIL,5300,CHA@CHI 11/29/2021 08:00PM ET,CHA,24.26
71,SF/PF,Josh Hart (20380548),Josh Hart,20380548,SF/PF/F/UTIL,5300,NOP@LAC 11/29/2021 10:30PM ET,NOP,26.71
72,PG/SG,Jordan Clarkson (20380569),Jordan Clarkson,20380569,PG/SG/G/UTIL,5300,POR@UTA 11/29/2021 09:00PM ET,UTA,24.41
73,PG/SG,Caris LeVert (20380560),Caris LeVert,20380560,PG/SG/G/UTIL,5300,IND@MIN 11/29/2021 08:00PM ET,IND,25.09
74,PG/SG,Jalen Suggs (20380556),Jalen Suggs,20380556,PG/SG/G/UTIL,5300,ORL@PHI 11/29/2021 07:00PM ET,ORL,23.75
75,SG/SF,Eric Gordon (20380581),Eric Gordon,20380581,SG/SF/F/G/UTIL,5200,OKC@HOU 11/29/2021 08:00PM ET,HOU,22.44
76,PG/SG,Eric Bledsoe (20380577),Eric Bledsoe,20380577,PG/SG/G/UTIL,5200,NOP@LAC 11/29/2021 10:30PM ET,LAC,23.8
77,SF/PF,Bojan Bogdanovic (20380573),Bojan Bogdanovic,20380573,SF/PF/F/UTIL,5200,POR@UTA 11/29/2021 09:00PM ET,UTA,26.38
78,PF/C,PJ Washington (20380586),PJ Washington,20380586,PF/C/F/UTIL,5100,CHA@CHI 11/29/2021 08:00PM ET,CHA,21.32
