,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,PG/SF,Luka Doncic (20492331),Luka Doncic,20492331,PG/SF/F/G/UTIL,10900,BKN@DAL 12/07/2021 07:30PM ET,DAL,51.9
1,SF/PF,Kevin Durant (20492336),Kevin Durant,20492336,SF/PF/F/UTIL,10800,BKN@DAL 12/07/2021 07:30PM ET,BKN,49.2
2,PG,James Harden (20492340),James Harden,20492340,PG/G/UTIL,10700,BKN@DAL 12/07/2021 07:30PM ET,BKN,49.36
3,PF/C,Anthony Davis (20492343),Anthony Davis,20492343,PF/C/F/UTIL,10200,BOS@LAL 12/07/2021 10:00PM ET,LAL,48.39
4,PG,Russell Westbrook (20492347),Russell Westbrook,20492347,PG/G/UTIL,10000,BOS@LAL 12/07/2021 10:00PM ET,LAL,45.7
5,PG/SF,LeBron James (20492350),LeBron James,20492350,PG/SF/F/G/UTIL,9900,BOS@LAL 12/07/2021 10:00PM ET,LAL,47.88
6,PG,Dejounte Murray (20492355),Dejounte Murray,20492355,PG/G/UTIL,9500,NYK@SAS 12/07/2021 08:30PM ET,SAS,47.82
7,SF/PF,Jayson Tatum (20492358),Jayson Tatum,20492358,SF/PF/F/UTIL,9400,BOS@LAL 12/07/2021 10:00PM ET,BOS,45.64
8,PF/C,Julius Randle (20492362),Julius Randle,20492362,PF/C/F/UTIL,9100,NYK@SAS 12/07/2021 08:30PM ET,NYK,43.27
9,SG/SF,Jaylen Brown (20492366),Jaylen Brown,20492366,SG/SF/F/G/UTIL,8500,BOS@LAL 12/07/2021 10:00PM ET,BOS,34.35
10,PG,Kyrie Irving (20492371),Kyrie Irving,20492371,PG/G/UTIL,8100,BKN@DAL 12/07/2021 07:30PM ET,BKN,0.0
11,PF,Kristaps Porzingis (20492374),Kristaps Porzingis,20492374,PF/F/UTIL,7600,BKN@DAL 12/07/2021 07:30PM ET,DAL,38.27
12,PF/C,Al Horford (20492377),Al Horford,20492377,PF/C/F/UTIL,7100,BOS@LAL 12/07/2021 10:00PM ET,BOS,33.92
13,PG/SF,Alec Burks (20492381),Alec Burks,20492381,PG/SF/F/G/UTIL,6700,NYK@SAS 12/07/2021 08:30PM ET,NYK,22.77
14,PG,Dennis Schroder (20492386),Dennis Schroder,20492386,PG/G/UTIL,6400,BOS@LAL 12/07/2021 10:00PM ET,BOS,31.35
15,PG/SG,Derrick White (20492389),Derrick White,20492389,PG/SG/G/UTIL,6200,NYK@SAS 12/07/2021 08:30PM ET,SAS,28.93
16,PG/SG,Marcus Smart (20492393),Marcus Smart,20492393,PG/SG/G/UTIL,6000,BOS@LAL 12/07/2021 10:00PM ET,BOS,28.92
17,C,Jakob Poeltl (20492397),Jakob Poeltl,20492397,C/UTIL,5900,NYK@SAS 12/07/2021 08:30PM ET,SAS,31.28
18,C,Robert Williams (20492399),Robert Williams,20492399,C/UTIL,5800,BOS@LAL 12/07/2021 10:00PM ET,BOS,27.02
19,C,LaMarcus Aldridge (20492401),LaMarcus Aldridge,20492401,C/UTIL,5700,BKN@DAL 12/07/2021 07:30PM ET,BKN,25.33
20,PF,Keldon Johnson (20492403),Keldon Johnson,20492403,PF/F/UTIL,5600,NYK@SAS 12/07/2021 08:30PM ET,SAS,28.11
21,SG,Tim Hardaway Jr. (20492406),Tim Hardaway Jr.,20492406,SG/G/UTIL,5500,BKN@DAL 12/07/2021 07:30PM ET,DAL,26.11
22,SF,RJ Barrett (20492409),RJ Barrett,20492409,SF/F/UTIL,5300,NYK@SAS 12/07/2021 08:30PM ET,NYK,25.89
