,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,PG/SF,Luka Doncic (20290928),Luka Doncic,20290928,PG/SF/F/G/UTIL,11700,DAL@LAC 11/23/2021 10:30PM ET,DAL,51.35
1,C,Nikola Jokic (20290933),Nikola Jokic,20290933,C/UTIL,11400,DEN@POR 11/23/2021 10:00PM ET,DEN,58.04
2,PF/C,Anthony Davis (20290935),Anthony Davis,20290935,PF/C/F/UTIL,10900,LAL@NYK 11/23/2021 07:30PM ET,LAL,49.07
3,PG,Russell Westbrook (20290939),Russell Westbrook,20290939,PG/G/UTIL,10500,LAL@NYK 11/23/2021 07:30PM ET,LAL,45.06
4,SF/PF,Paul George (20290942),Paul George,20290942,SF/PF/F/UTIL,10300,DAL@LAC 11/23/2021 10:30PM ET,LAC,48.54
5,SF/PF,LeBron James (20290946),LeBron James,20290946,SF/PF/F/UTIL,10200,LAL@NYK 11/23/2021 07:30PM ET,LAL,43.25
6,PF/C,Julius Randle (20290950),Julius Randle,20290950,PF/C/F/UTIL,10000,LAL@NYK 11/23/2021 07:30PM ET,NYK,43.59
7,PF,Kawhi Leonard (20290954),Kawhi Leonard,20290954,PF/F/UTIL,9900,DAL@LAC 11/23/2021 10:30PM ET,LAC,0.0
8,SF,Jimmy Butler (20290957),Jimmy Butler,20290957,SF/F/UTIL,9700,MIA@DET 11/23/2021 07:00PM ET,MIA,44.82
9,PG,Damian Lillard (20290960),Damian Lillard,20290960,PG/G/UTIL,9600,DEN@POR 11/23/2021 10:00PM ET,POR,41.5
10,C,Bam Adebayo (20290966),Bam Adebayo,20290966,C/UTIL,8500,MIA@DET 11/23/2021 07:00PM ET,MIA,39.3
11,PF,Kristaps Porzingis (20290963),Kristaps Porzingis,20290963,PF/F/UTIL,8500,DAL@LAC 11/23/2021 10:30PM ET,DAL,39.2
12,SG,Jamal Murray (20290968),Jamal Murray,20290968,SG/G/UTIL,7800,DEN@POR 11/23/2021 10:00PM ET,DEN,0.0
13,PG/SG,CJ McCollum (20290971),CJ McCollum,20290971,PG/SG/G/UTIL,7800,DEN@POR 11/23/2021 10:00PM ET,POR,36.5
14,PG,Kyle Lowry (20290975),Kyle Lowry,20290975,PG/G/UTIL,7700,MIA@DET 11/23/2021 07:00PM ET,MIA,32.25
15,PG/SG,Cade Cunningham (20290978),Cade Cunningham,20290978,PG/SG/G/UTIL,7400,MIA@DET 11/23/2021 07:00PM ET,DET,32.73
16,SG/SF,Will Barton (20290982),Will Barton,20290982,SG/SF/F/G/UTIL,7400,DEN@POR 11/23/2021 10:00PM ET,DEN,32.57
17,PG/SG,Tyler Herro (20290987),Tyler Herro,20290987,PG/SG/G/UTIL,7300,MIA@DET 11/23/2021 07:00PM ET,MIA,35.62
18,PG/SG,Jalen Brunson (20290991),Jalen Brunson,20290991,PG/SG/G/UTIL,7300,DAL@LAC 11/23/2021 10:30PM ET,DAL,31.62
19,PF,Jerami Grant (20290995),Jerami Grant,20290995,PF/F/UTIL,7000,MIA@DET 11/23/2021 07:00PM ET,DET,32.73
20,PF,Aaron Gordon (20290998),Aaron Gordon,20290998,PF/F/UTIL,6700,DEN@POR 11/23/2021 10:00PM ET,DEN,27.07
21,C,Jusuf Nurkic (20291001),Jusuf Nurkic,20291001,C/UTIL,6300,DEN@POR 11/23/2021 10:00PM ET,POR,31.71
22,PG,Victor Oladipo (20291003),Victor Oladipo,20291003,PG/G/UTIL,6200,MIA@DET 11/23/2021 07:00PM ET,MIA,0.0
23,PG,Reggie Jackson (20291006),Reggie Jackson,20291006,PG/G/UTIL,6100,DAL@LAC 11/23/2021 10:30PM ET,LAC,29.54
24,SF/PF,Saddiq Bey (20291009),Saddiq Bey,20291009,SF/PF/F/UTIL,6000,MIA@DET 11/23/2021 07:00PM ET,DET,29.03
25,SG/SF,Talen Horton-Tucker (20291013),Talen Horton-Tucker,20291013,SG/SF/F/G/UTIL,5900,LAL@NYK 11/23/2021 07:30PM ET,LAL,30.1
26,SG,Tim Hardaway Jr. (20291018),Tim Hardaway Jr.,20291018,SG/G/UTIL,5800,DAL@LAC 11/23/2021 10:30PM ET,DAL,26.33
27,SF,Michael Porter Jr. (20291021),Michael Porter Jr.,20291021,SF/F/UTIL,5700,DEN@POR 11/23/2021 10:00PM ET,DEN,23.64
28,PG/SF,RJ Barrett (20291024),RJ Barrett,20291024,PG/SF/F/G/UTIL,5600,LAL@NYK 11/23/2021 07:30PM ET,NYK,27.69
29,PG/SG,Eric Bledsoe (20291029),Eric Bledsoe,20291029,PG/SG/G/UTIL,5500,DAL@LAC 11/23/2021 10:30PM ET,LAC,24.31
30,PF,Carmelo Anthony (20291033),Carmelo Anthony,20291033,PF/F/UTIL,5400,LAL@NYK 11/23/2021 07:30PM ET,LAL,25.72
31,SF/PF,Nicolas Batum (20291036),Nicolas Batum,20291036,SF/PF/F/UTIL,5200,DAL@LAC 11/23/2021 10:30PM ET,LAC,23.52
32,C,Kelly Olynyk (20291042),Kelly Olynyk,20291042,C/UTIL,5100,MIA@DET 11/23/2021 07:00PM ET,DET,26.88
33,C,Ivica Zubac (20291040),Ivica Zubac,20291040,C/UTIL,5100,DAL@LAC 11/23/2021 10:30PM ET,LAC,24.97
34,SF,Norman Powell (20291044),Norman Powell,20291044,SF/F/UTIL,5000,DEN@POR 11/23/2021 10:00PM ET,POR,25.22
35,C,Isaiah Stewart (20291050),Isaiah Stewart,20291050,C/UTIL,4900,MIA@DET 11/23/2021 07:00PM ET,DET,20.52
36,PF,Marcus Morris Sr. (20291047),Marcus Morris Sr.,20291047,PF/F/UTIL,4900,DAL@LAC 11/23/2021 10:30PM ET,LAC,14.38
37,PG,Kemba Walker (20291052),Kemba Walker,20291052,PG/G/UTIL,4800,LAL@NYK 11/23/2021 07:30PM ET,NYK,22.45
38,SG/SF,Luke Kennard (20291055),Luke Kennard,20291055,SG/SF/F/G/UTIL,4700,DAL@LAC 11/23/2021 10:30PM ET,LAC,20.1
39,PG/SG,Derrick Rose (20291060),Derrick Rose,20291060,PG/SG/G/UTIL,4600,LAL@NYK 11/23/2021 07:30PM ET,NYK,23.84
40,SG/SF,Duncan Robinson (20291064),Duncan Robinson,20291064,SG/SF/F/G/UTIL,4500,MIA@DET 11/23/2021 07:00PM ET,MIA,21.38
41,PG,Monte Morris (20291069),Monte Morris,20291069,PG/G/UTIL,4400,DEN@POR 11/23/2021 10:00PM ET,DEN,22.47
42,PG/SG,Terance Mann (20291072),Terance Mann,20291072,PG/SG/G/UTIL,4300,DAL@LAC 11/23/2021 10:30PM ET,LAC,21.05
43,SG/SF,Alec Burks (20291076),Alec Burks,20291076,SG/SF/F/G/UTIL,4200,LAL@NYK 11/23/2021 07:30PM ET,NYK,19.87
44,C,Nerlens Noel (20291081),Nerlens Noel,20291081,C/UTIL,4200,LAL@NYK 11/23/2021 07:30PM ET,NYK,18.92
45,SG,Malik Monk (20291083),Malik Monk,20291083,SG/G/UTIL,4100,LAL@NYK 11/23/2021 07:30PM ET,LAL,15.99
46,PG/SG,Frank Jackson (20291097),Frank Jackson,20291097,PG/SG/G/UTIL,4000,MIA@DET 11/23/2021 07:00PM ET,DET,14.11
47,SF/PF,Dorian Finney-Smith (20291088),Dorian Finney-Smith,20291088,SF/PF/F/UTIL,4000,DAL@LAC 11/23/2021 10:30PM ET,DAL,20.2
48,C,Mitchell Robinson (20291086),Mitchell Robinson,20291086,C/UTIL,4000,LAL@NYK 11/23/2021 07:30PM ET,NYK,21.93
49,SG/SF,Evan Fournier (20291092),Evan Fournier,20291092,SG/SF/F/G/UTIL,4000,LAL@NYK 11/23/2021 07:30PM ET,NYK,21.4
50,PF/C,P.J. Tucker (20291109),P.J. Tucker,20291109,PF/C/F/UTIL,3900,MIA@DET 11/23/2021 07:00PM ET,MIA,19.38
51,PG,Cory Joseph (20291113),Cory Joseph,20291113,PG/G/UTIL,3900,MIA@DET 11/23/2021 07:00PM ET,DET,16.02
52,SF/PF,Jeff Green (20291101),Jeff Green,20291101,SF/PF/F/UTIL,3900,DEN@POR 11/23/2021 10:00PM ET,DEN,13.68
53,PF/C,JaMychal Green (20291105),JaMychal Green,20291105,PF/C/F/UTIL,3900,DEN@POR 11/23/2021 10:00PM ET,DEN,13.06
54,PG,Killian Hayes (20291125),Killian Hayes,20291125,PG/G/UTIL,3800,MIA@DET 11/23/2021 07:00PM ET,DET,18.84
55,C,Serge Ibaka (20291116),Serge Ibaka,20291116,C/UTIL,3800,DAL@LAC 11/23/2021 10:30PM ET,LAC,6.67
56,PG,Immanuel Quickley (20291122),Immanuel Quickley,20291122,PG/G/UTIL,3800,LAL@NYK 11/23/2021 07:30PM ET,NYK,15.74
57,PF/C,Robert Covington (20291118),Robert Covington,20291118,PF/C/F/UTIL,3800,DEN@POR 11/23/2021 10:00PM ET,POR,19.46
58,C,Dwight Howard (20291128),Dwight Howard,20291128,C/UTIL,3700,LAL@NYK 11/23/2021 07:30PM ET,LAL,14.62
59,PF,Josh Jackson (20291134),Josh Jackson,20291134,PF/F/UTIL,3600,MIA@DET 11/23/2021 07:00PM ET,DET,18.45
60,SG,Kendrick Nunn (20291137),Kendrick Nunn,20291137,SG/G/UTIL,3600,LAL@NYK 11/23/2021 07:30PM ET,LAL,0.0
61,PF/C,Larry Nance Jr. (20291130),Larry Nance Jr.,20291130,PF/C/F/UTIL,3600,DEN@POR 11/23/2021 10:00PM ET,POR,17.57
62,C,Dewayne Dedmon (20291140),Dewayne Dedmon,20291140,C/UTIL,3500,MIA@DET 11/23/2021 07:00PM ET,MIA,13.09
63,SG/SF,Hamidou Diallo (20291157),Hamidou Diallo,20291157,SG/SF/F/G/UTIL,3500,MIA@DET 11/23/2021 07:00PM ET,DET,12.18
64,C,Isaiah Hartenstein (20291142),Isaiah Hartenstein,20291142,C/UTIL,3500,DAL@LAC 11/23/2021 10:30PM ET,LAC,19.69
65,SG/SF,Reggie Bullock (20291165),Reggie Bullock,20291165,SG/SF/F/G/UTIL,3500,DAL@LAC 11/23/2021 10:30PM ET,DAL,11.77
66,SF/PF,Obi Toppin (20291144),Obi Toppin,20291144,SF/PF/F/UTIL,3500,LAL@NYK 11/23/2021 07:30PM ET,NYK,15.87
67,PG,Rajon Rondo (20291162),Rajon Rondo,20291162,PG/G/UTIL,3500,LAL@NYK 11/23/2021 07:30PM ET,LAL,13.23
68,SF/PF,Nassir Little (20291148),Nassir Little,20291148,SF/PF/F/UTIL,3500,DEN@POR 11/23/2021 10:00PM ET,POR,18.93
69,SG/SF,PJ Dozier (20291152),PJ Dozier,20291152,SG/SF/F/G/UTIL,3500,DEN@POR 11/23/2021 10:00PM ET,DEN,14.6
70,C,Dwight Powell (20291173),Dwight Powell,20291173,C/UTIL,3400,DAL@LAC 11/23/2021 10:30PM ET,DAL,18.3
71,C,DeAndre Jordan (20291175),DeAndre Jordan,20291175,C/UTIL,3400,LAL@NYK 11/23/2021 07:30PM ET,LAL,15.02
72,SG,Austin Rivers (20291170),Austin Rivers,20291170,SG/G/UTIL,3400,DEN@POR 11/23/2021 10:00PM ET,DEN,8.02
73,PF/C,Maxi Kleber (20291180),Maxi Kleber,20291180,PF/C/F/UTIL,3300,DAL@LAC 11/23/2021 10:30PM ET,DAL,17.86
74,SG,Avery Bradley (20291184),Avery Bradley,20291184,SG/G/UTIL,3300,LAL@NYK 11/23/2021 07:30PM ET,LAL,10.62
75,PG,Facundo Campazzo (20291177),Facundo Campazzo,20291177,PG/G/UTIL,3300,DEN@POR 11/23/2021 10:00PM ET,DEN,11.64
76,SF,Rodney McGruder (20291187),Rodney McGruder,20291187,SF/F/UTIL,3200,MIA@DET 11/23/2021 07:00PM ET,DET,4.14
77,C,Willie Cauley-Stein (20291190),Willie Cauley-Stein,20291190,C/UTIL,3200,DAL@LAC 11/23/2021 10:30PM ET,DAL,5.7
78,SG/SF,Amir Coffey (20291199),Amir Coffey,20291199,SG/SF/F/G/UTIL,3200,DAL@LAC 11/23/2021 10:30PM ET,LAC,6.25
79,SF,Kent Bazemore (20291196),Kent Bazemore,20291196,SF/F/UTIL,3200,LAL@NYK 11/23/2021 07:30PM ET,LAL,11.34
80,PG/SG,Anfernee Simons (20291192),Anfernee Simons,20291192,PG/SG/G/UTIL,3200,DEN@POR 11/23/2021 10:00PM ET,POR,19.03
81,SG/SF,Max Strus (20291212),Max Strus,20291212,SG/SF/F/G/UTIL,3100,MIA@DET 11/23/2021 07:00PM ET,MIA,13.54
