Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (20657384),Nikola Jokic,20657384,C/UTIL,12000,DEN@ATL 12/17/2021 07:30PM ET,DEN,60.01
PF/C,Giannis Antetokounmpo (20657386),Giannis Antetokounmpo,20657386,PF/C/F/UTIL,11500,MIL@NOP 12/17/2021 08:00PM ET,MIL,55.53
PG,Stephen Curry (20657390),Stephen Curry,20657390,PG/G/UTIL,11300,GSW@BOS 12/17/2021 07:30PM ET,GSW,48.68
PF,LeBron James (20657393),LeBron James,20657393,PF/F/UTIL,10400,LAL@MIN 12/17/2021 10:00PM ET,LAL,49.72
PG,Trae Young (20657396),Trae Young,20657396,PG/G/UTIL,10200,DEN@ATL 12/17/2021 07:30PM ET,ATL,48.30
PG,Russell Westbrook (20657399),Russell Westbrook,20657399,PG/G/UTIL,9800,LAL@MIN 12/17/2021 10:00PM ET,LAL,44.31
PG,Dejounte Murray (20657402),Dejounte Murray,20657402,PG/G/UTIL,9700,SAS@UTA 12/17/2021 09:00PM ET,SAS,45.89
C,Karl-Anthony Towns (20657405),Karl-Anthony Towns,20657405,C/UTIL,9600,LAL@MIN 12/17/2021 10:00PM ET,MIN,45.05
PG/SG,LaMelo Ball (20657407),LaMelo Ball,20657407,PG/SG/G/UTIL,9500,CHA@POR 12/17/2021 10:00PM ET,CHA,47.43
PF/C,Anthony Davis (20657411),Anthony Davis,20657411,PF/C/F/UTIL,9400,LAL@MIN 12/17/2021 10:00PM ET,LAL,47.54
PG,Damian Lillard (20657415),Damian Lillard,20657415,PG/G/UTIL,9300,CHA@POR 12/17/2021 10:00PM ET,POR,41.40
C,Zion Williamson (20657418),Zion Williamson,20657418,C/UTIL,9200,MIL@NOP 12/17/2021 08:00PM ET,NOP,0
PG,Ja Morant (20657420),Ja Morant,20657420,PG/G/UTIL,9100,MEM@SAC 12/17/2021 10:00PM ET,MEM,44.5
SF/PF,Jayson Tatum (20657423),Jayson Tatum,20657423,SF/PF/F/UTIL,9000,GSW@BOS 12/17/2021 07:30PM ET,BOS,46.35
SF,Jimmy Butler (20657427),Jimmy Butler,20657427,SF/F/UTIL,8900,MIA@ORL 12/17/2021 07:00PM ET,MIA,42.39
C,Bam Adebayo (20657430),Bam Adebayo,20657430,C/UTIL,8800,MIA@ORL 12/17/2021 07:00PM ET,MIA,38.35
SG/SF,Brandon Ingram (20657432),Brandon Ingram,20657432,SG/SF/F/G/UTIL,8700,MIL@NOP 12/17/2021 08:00PM ET,NOP,39.98
PG/SG,CJ McCollum (20657437),CJ McCollum,20657437,PG/SG/G/UTIL,8600,CHA@POR 12/17/2021 10:00PM ET,POR,36.66
SG/SF,Jaylen Brown (20657441),Jaylen Brown,20657441,SG/SF/F/G/UTIL,8500,GSW@BOS 12/17/2021 07:30PM ET,BOS,34.57
PG/SG,Donovan Mitchell (20657446),Donovan Mitchell,20657446,PG/SG/G/UTIL,8400,SAS@UTA 12/17/2021 09:00PM ET,UTA,40.90
C,Rudy Gobert (20657450),Rudy Gobert,20657450,C/UTIL,8300,SAS@UTA 12/17/2021 09:00PM ET,UTA,41.30
C,Jonas Valanciunas (20657452),Jonas Valanciunas,20657452,C/UTIL,8200,MIL@NOP 12/17/2021 08:00PM ET,NOP,41.13
SG/SF,Anthony Edwards (20657454),Anthony Edwards,20657454,SG/SF/F/G/UTIL,8000,LAL@MIN 12/17/2021 10:00PM ET,MIN,39.31
PG,Jrue Holiday (20657459),Jrue Holiday,20657459,PG/G/UTIL,7900,MIL@NOP 12/17/2021 08:00PM ET,MIL,35.10
PG,Kyle Lowry (20657462),Kyle Lowry,20657462,PG/G/UTIL,7800,MIA@ORL 12/17/2021 07:00PM ET,MIA,33.79
PG,Cole Anthony (20657465),Cole Anthony,20657465,PG/G/UTIL,7800,MIA@ORL 12/17/2021 07:00PM ET,ORL,38.04
SF/PF,Miles Bridges (20657468),Miles Bridges,20657468,SF/PF/F/UTIL,7700,CHA@POR 12/17/2021 10:00PM ET,CHA,38.59
PG/SG,D'Angelo Russell (20657472),D'Angelo Russell,20657472,PG/SG/G/UTIL,7600,LAL@MIN 12/17/2021 10:00PM ET,MIN,36.94
PG,De'Aaron Fox (20657476),De'Aaron Fox,20657476,PG/G/UTIL,7500,MEM@SAC 12/17/2021 10:00PM ET,SAC,36.28
C,Clint Capela (20657479),Clint Capela,20657479,C/UTIL,7400,DEN@ATL 12/17/2021 07:30PM ET,ATL,34.96
