Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Donovan Mitchell (20474848),Donovan Mitchell,20474848,CPT,14400,UTA@CLE 12/05/2021 03:30PM ET,UTA,40.56
C,Jarrett Allen (20474849),Jarrett Allen,20474849,CPT,14100,UTA@CLE 12/05/2021 03:30PM ET,CLE,38.08
C,Rudy Gobert (20474850),Rudy Gobert,20474850,CPT,13500,UTA@CLE 12/05/2021 03:30PM ET,UTA,40.99
PG/SG,Darius Garland (20474851),Darius Garland,20474851,CPT,12900,UTA@CLE 12/05/2021 03:30PM ET,CLE,35.81
PF/C,Evan Mobley (20474852),Evan Mobley,20474852,CPT,11400,UTA@CLE 12/05/2021 03:30PM ET,CLE,33.58
PG,Mike Conley (20474853),Mike Conley,20474853,CPT,10800,UTA@CLE 12/05/2021 03:30PM ET,UTA,28.19
PG,Ricky Rubio (20474854),Ricky Rubio,20474854,CPT,10200,UTA@CLE 12/05/2021 03:30PM ET,CLE,30.36
SF/PF,Lauri Markkanen (20474855),Lauri Markkanen,20474855,CPT,9900,UTA@CLE 12/05/2021 03:30PM ET,CLE,27.96
PG/SG,Donovan Mitchell (20474891),Donovan Mitchell,20474891,UTIL,9600,UTA@CLE 12/05/2021 03:30PM ET,UTA,40.56
PG,Collin Sexton (20474856),Collin Sexton,20474856,CPT,9600,UTA@CLE 12/05/2021 03:30PM ET,CLE,24.14
C,Jarrett Allen (20474892),Jarrett Allen,20474892,UTIL,9400,UTA@CLE 12/05/2021 03:30PM ET,CLE,38.08
PF/C,Kevin Love (20474857),Kevin Love,20474857,CPT,9300,UTA@CLE 12/05/2021 03:30PM ET,CLE,25.37
C,Rudy Gobert (20474893),Rudy Gobert,20474893,UTIL,9000,UTA@CLE 12/05/2021 03:30PM ET,UTA,40.99
PG/SG,Jordan Clarkson (20474858),Jordan Clarkson,20474858,CPT,9000,UTA@CLE 12/05/2021 03:30PM ET,UTA,24.76
SF/PF,Bojan Bogdanovic (20474859),Bojan Bogdanovic,20474859,CPT,8700,UTA@CLE 12/05/2021 03:30PM ET,UTA,26.17
PG/SG,Darius Garland (20474894),Darius Garland,20474894,UTIL,8600,UTA@CLE 12/05/2021 03:30PM ET,CLE,35.81
PF,Royce O'Neale (20474860),Royce O'Neale,20474860,CPT,8400,UTA@CLE 12/05/2021 03:30PM ET,UTA,22.32
PF/C,Evan Mobley (20474895),Evan Mobley,20474895,UTIL,7600,UTA@CLE 12/05/2021 03:30PM ET,CLE,33.58
SG/SF,Cedi Osman (20474861),Cedi Osman,20474861,CPT,7500,UTA@CLE 12/05/2021 03:30PM ET,CLE,20.37
PG,Mike Conley (20474896),Mike Conley,20474896,UTIL,7200,UTA@CLE 12/05/2021 03:30PM ET,UTA,28.19
PF,Dean Wade (20474862),Dean Wade,20474862,CPT,7200,UTA@CLE 12/05/2021 03:30PM ET,CLE,12.62
PG,Ricky Rubio (20474897),Ricky Rubio,20474897,UTIL,6800,UTA@CLE 12/05/2021 03:30PM ET,CLE,30.36
SF/PF,Lauri Markkanen (20474898),Lauri Markkanen,20474898,UTIL,6600,UTA@CLE 12/05/2021 03:30PM ET,CLE,27.96
PG,Collin Sexton (20474899),Collin Sexton,20474899,UTIL,6400,UTA@CLE 12/05/2021 03:30PM ET,CLE,24.14
SF/PF,Rudy Gay (20474863),Rudy Gay,20474863,CPT,6300,UTA@CLE 12/05/2021 03:30PM ET,UTA,19.75
PF/C,Kevin Love (20474900),Kevin Love,20474900,UTIL,6200,UTA@CLE 12/05/2021 03:30PM ET,CLE,25.37
PG/SG,Jordan Clarkson (20474901),Jordan Clarkson,20474901,UTIL,6000,UTA@CLE 12/05/2021 03:30PM ET,UTA,24.76
SG/SF,Isaac Okoro (20474864),Isaac Okoro,20474864,CPT,6000,UTA@CLE 12/05/2021 03:30PM ET,CLE,17.92
SF/PF,Bojan Bogdanovic (20474902),Bojan Bogdanovic,20474902,UTIL,5800,UTA@CLE 12/05/2021 03:30PM ET,UTA,26.17
SG/SF,Joe Ingles (20474865),Joe Ingles,20474865,CPT,5700,UTA@CLE 12/05/2021 03:30PM ET,UTA,18.33
PF,Royce O'Neale (20474903),Royce O'Neale,20474903,UTIL,5600,UTA@CLE 12/05/2021 03:30PM ET,UTA,22.32
SG/SF,Cedi Osman (20474904),Cedi Osman,20474904,UTIL,5000,UTA@CLE 12/05/2021 03:30PM ET,CLE,20.37
PF,Dean Wade (20474905),Dean Wade,20474905,UTIL,4800,UTA@CLE 12/05/2021 03:30PM ET,CLE,12.62
SF/PF,Rudy Gay (20474906),Rudy Gay,20474906,UTIL,4200,UTA@CLE 12/05/2021 03:30PM ET,UTA,19.75
SG/SF,Isaac Okoro (20474907),Isaac Okoro,20474907,UTIL,4000,UTA@CLE 12/05/2021 03:30PM ET,CLE,17.92
PG,RJ Nembhard (20474866),RJ Nembhard,20474866,CPT,3900,UTA@CLE 12/05/2021 03:30PM ET,CLE,2.38
SG/SF,Joe Ingles (20474908),Joe Ingles,20474908,UTIL,3800,UTA@CLE 12/05/2021 03:30PM ET,UTA,18.33
C,Hassan Whiteside (20474867),Hassan Whiteside,20474867,CPT,3600,UTA@CLE 12/05/2021 03:30PM ET,UTA,17.73
C,Ed Davis (20474868),Ed Davis,20474868,CPT,3300,UTA@CLE 12/05/2021 03:30PM ET,CLE,7.03
SF,Denzel Valentine (20474869),Denzel Valentine,20474869,CPT,3000,UTA@CLE 12/05/2021 03:30PM ET,CLE,4.22
PG,Jared Butler (20474870),Jared Butler,20474870,CPT,2700,UTA@CLE 12/05/2021 03:30PM ET,UTA,4.12
PG,RJ Nembhard (20474909),RJ Nembhard,20474909,UTIL,2600,UTA@CLE 12/05/2021 03:30PM ET,CLE,2.38
C,Hassan Whiteside (20474910),Hassan Whiteside,20474910,UTIL,2400,UTA@CLE 12/05/2021 03:30PM ET,UTA,17.73
SG,Trent Forrest (20474871),Trent Forrest,20474871,CPT,2400,UTA@CLE 12/05/2021 03:30PM ET,UTA,4.09
C,Ed Davis (20474911),Ed Davis,20474911,UTIL,2200,UTA@CLE 12/05/2021 03:30PM ET,CLE,7.03
PG/SG,Mitch Ballock (20474872),Mitch Ballock,20474872,CPT,2100,UTA@CLE 12/05/2021 03:30PM ET,CLE,0
SF,Denzel Valentine (20474912),Denzel Valentine,20474912,UTIL,2000,UTA@CLE 12/05/2021 03:30PM ET,CLE,4.22
PG,Jared Butler (20474913),Jared Butler,20474913,UTIL,1800,UTA@CLE 12/05/2021 03:30PM ET,UTA,4.12
SG,Trent Forrest (20474914),Trent Forrest,20474914,UTIL,1600,UTA@CLE 12/05/2021 03:30PM ET,UTA,4.09
SF,Elijah Hughes (20474873),Elijah Hughes,20474873,CPT,1500,UTA@CLE 12/05/2021 03:30PM ET,UTA,0.46
PG,Kevin Pangos (20474874),Kevin Pangos,20474874,CPT,1500,UTA@CLE 12/05/2021 03:30PM ET,CLE,1.34
PF/C,Eric Paschall (20474875),Eric Paschall,20474875,CPT,1500,UTA@CLE 12/05/2021 03:30PM ET,UTA,7.82
PG,Kyle Guy (20474876),Kyle Guy,20474876,CPT,1500,UTA@CLE 12/05/2021 03:30PM ET,CLE,0
PF,Ersan Ilyasova (20474877),Ersan Ilyasova,20474877,CPT,1500,UTA@CLE 12/05/2021 03:30PM ET,UTA,0
C,Anderson Varejao (20474878),Anderson Varejao,20474878,CPT,1500,UTA@CLE 12/05/2021 03:30PM ET,CLE,0
SF/PF,Lamar Stevens (20474879),Lamar Stevens,20474879,CPT,1500,UTA@CLE 12/05/2021 03:30PM ET,CLE,6.08
PG/SG,MaCio Teague (20474880),MaCio Teague,20474880,CPT,1500,UTA@CLE 12/05/2021 03:30PM ET,UTA,0
PG/SG,Derrick Alston Jr. (20474881),Derrick Alston Jr.,20474881,CPT,1500,UTA@CLE 12/05/2021 03:30PM ET,UTA,0
SG,Justin James (20474882),Justin James,20474882,CPT,1500,UTA@CLE 12/05/2021 03:30PM ET,CLE,0
SG/SF,Miye Oni (20474883),Miye Oni,20474883,CPT,1500,UTA@CLE 12/05/2021 03:30PM ET,UTA,1.1
C,Udoka Azubuike (20474884),Udoka Azubuike,20474884,CPT,1500,UTA@CLE 12/05/2021 03:30PM ET,UTA,1.62
PF,Malik Fitts (20474885),Malik Fitts,20474885,CPT,1500,UTA@CLE 12/05/2021 03:30PM ET,UTA,0.83
SG/SF,Dylan Windler (20474886),Dylan Windler,20474886,CPT,1500,UTA@CLE 12/05/2021 03:30PM ET,CLE,7.28
PF,Jarrell Brantley (20474887),Jarrell Brantley,20474887,CPT,1500,UTA@CLE 12/05/2021 03:30PM ET,UTA,0
C,Tacko Fall (20474888),Tacko Fall,20474888,CPT,1500,UTA@CLE 12/05/2021 03:30PM ET,CLE,1.54
C,Marques Bolden (20474889),Marques Bolden,20474889,CPT,1500,UTA@CLE 12/05/2021 03:30PM ET,UTA,0
