,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,C,Nikola Jokic (20481659),Nikola Jokic,20481659,C/UTIL,12000,DEN@CHI 12/06/2021 08:00PM ET,DEN,57.16
1,PF/C,Giannis Antetokounmpo (20481661),Giannis Antetokounmpo,20481661,PF/C/F/UTIL,11800,CLE@MIL 12/06/2021 08:00PM ET,MIL,56.9
2,PG,Stephen Curry (20481665),Stephen Curry,20481665,PG/G/UTIL,11700,ORL@GSW 12/06/2021 10:00PM ET,GSW,50.64
3,C,Joel Embiid (20481668),Joel Embiid,20481668,C/UTIL,11000,PHI@CHA 12/06/2021 07:00PM ET,PHI,47.64
4,SF/PF,Paul George (20481670),Paul George,20481670,SF/PF/F/UTIL,10600,LAC@POR 12/06/2021 10:00PM ET,LAC,46.42
5,PG/SG,LaMelo Ball (20481674),LaMelo Ball,20481674,PG/SG/G/UTIL,10400,PHI@CHA 12/06/2021 07:00PM ET,CHA,47.43
6,PG,Trae Young (20481678),Trae Young,20481678,PG/G/UTIL,10300,ATL@MIN 12/06/2021 08:00PM ET,ATL,47.17
7,PG,Dejounte Murray (20481681),Dejounte Murray,20481681,PG/G/UTIL,10200,SAS@PHX 12/06/2021 09:00PM ET,SAS,47.71
8,PF,Kawhi Leonard (20481684),Kawhi Leonard,20481684,PF/F/UTIL,10100,LAC@POR 12/06/2021 10:00PM ET,LAC,0.0
9,PF/C,Domantas Sabonis (20481687),Domantas Sabonis,20481687,PF/C/F/UTIL,10000,WAS@IND 12/06/2021 07:00PM ET,IND,41.26
10,C,Karl-Anthony Towns (20481691),Karl-Anthony Towns,20481691,C/UTIL,9900,ATL@MIN 12/06/2021 08:00PM ET,MIN,44.6
11,PG,Damian Lillard (20481693),Damian Lillard,20481693,PG/G/UTIL,9800,LAC@POR 12/06/2021 10:00PM ET,POR,40.71
12,C,Nikola Vucevic (20481696),Nikola Vucevic,20481696,C/UTIL,9700,DEN@CHI 12/06/2021 08:00PM ET,CHI,38.94
13,PG,Ja Morant (20481698),Ja Morant,20481698,PG/G/UTIL,9600,MEM@MIA 12/06/2021 07:30PM ET,MEM,44.5
14,SG/SF,Zach LaVine (20481701),Zach LaVine,20481701,SG/SF/F/G/UTIL,9500,DEN@CHI 12/06/2021 08:00PM ET,CHI,40.05
15,SF,Jimmy Butler (20481706),Jimmy Butler,20481706,SF/F/UTIL,9400,MEM@MIA 12/06/2021 07:30PM ET,MIA,43.28
16,PF,DeMar DeRozan (20481709),DeMar DeRozan,20481709,PF/F/UTIL,9300,DEN@CHI 12/06/2021 08:00PM ET,CHI,41.16
17,PG/SG,D'Angelo Russell (20481712),D'Angelo Russell,20481712,PG/SG/G/UTIL,9200,ATL@MIN 12/06/2021 08:00PM ET,MIN,36.94
18,PG/SG,Devin Booker (20481716),Devin Booker,20481716,PG/SG/G/UTIL,9100,SAS@PHX 12/06/2021 09:00PM ET,PHX,38.2
19,PG/SG,CJ McCollum (20481720),CJ McCollum,20481720,PG/SG/G/UTIL,9000,LAC@POR 12/06/2021 10:00PM ET,POR,36.66
20,C,Bam Adebayo (20481724),Bam Adebayo,20481724,C/UTIL,8900,MEM@MIA 12/06/2021 07:30PM ET,MIA,38.35
21,PG/SG,Bradley Beal (20481726),Bradley Beal,20481726,PG/SG/G/UTIL,8800,WAS@IND 12/06/2021 07:00PM ET,WAS,38.44
22,PG,Malcolm Brogdon (20481730),Malcolm Brogdon,20481730,PG/G/UTIL,8700,WAS@IND 12/06/2021 07:00PM ET,IND,40.01
23,PG,Shai Gilgeous-Alexander (20481733),Shai Gilgeous-Alexander,20481733,PG/G/UTIL,8600,OKC@DET 12/06/2021 07:00PM ET,OKC,37.32
24,PG,Jrue Holiday (20481736),Jrue Holiday,20481736,PG/G/UTIL,8500,CLE@MIL 12/06/2021 08:00PM ET,MIL,33.53
25,C,Jarrett Allen (20481739),Jarrett Allen,20481739,C/UTIL,8400,CLE@MIL 12/06/2021 08:00PM ET,CLE,38.21
26,PG,Chris Paul (20481741),Chris Paul,20481741,PG/G/UTIL,8300,SAS@PHX 12/06/2021 09:00PM ET,PHX,39.13
27,C,Clint Capela (20481744),Clint Capela,20481744,C/UTIL,8200,ATL@MIN 12/06/2021 08:00PM ET,ATL,34.03
28,SG/SF,Anthony Edwards (20481746),Anthony Edwards,20481746,SG/SF/F/G/UTIL,8100,ATL@MIN 12/06/2021 08:00PM ET,MIN,39.71
29,PG,Cole Anthony (20481751),Cole Anthony,20481751,PG/G/UTIL,8000,ORL@GSW 12/06/2021 10:00PM ET,ORL,40.08
30,SG/SF,Khris Middleton (20481754),Khris Middleton,20481754,SG/SF/F/G/UTIL,8000,CLE@MIL 12/06/2021 08:00PM ET,MIL,34.39
31,PF,Tobias Harris (20481763),Tobias Harris,20481763,PF/F/UTIL,7900,PHI@CHA 12/06/2021 07:00PM ET,PHI,36.98
32,PG/SG,Darius Garland (20481759),Darius Garland,20481759,PG/SG/G/UTIL,7900,CLE@MIL 12/06/2021 08:00PM ET,CLE,36.64
33,PG/SF,Ben Simmons (20481770),Ben Simmons,20481770,PG/SF/F/G/UTIL,7800,PHI@CHA 12/06/2021 07:00PM ET,PHI,0.0
34,PF/C,Bobby Portis (20481766),Bobby Portis,20481766,PF/C/F/UTIL,7800,CLE@MIL 12/06/2021 08:00PM ET,MIL,32.58
35,SF/PF,Miles Bridges (20481775),Miles Bridges,20481775,SF/PF/F/UTIL,7700,PHI@CHA 12/06/2021 07:00PM ET,CHA,39.15
36,PG/SG,Cade Cunningham (20481779),Cade Cunningham,20481779,PG/SG/G/UTIL,7700,OKC@DET 12/06/2021 07:00PM ET,DET,32.25
37,PG,Lonzo Ball (20481786),Lonzo Ball,20481786,PG/G/UTIL,7600,DEN@CHI 12/06/2021 08:00PM ET,CHI,32.12
