Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,Luka Doncic (20709665),Luka Doncic,20709665,PG/SF/F/G/UTIL,11200,MIN@DAL 12/21/2021 08:30PM ET,DAL,51.69
PG/SF,LeBron James (20709445),LeBron James,20709445,PG/SF/F/G/UTIL,11100,PHX@LAL 12/21/2021 10:00PM ET,LAL,50.17
PG,Russell Westbrook (20709466),Russell Westbrook,20709466,PG/G/UTIL,10400,PHX@LAL 12/21/2021 10:00PM ET,LAL,43.75
PF/C,Anthony Davis (20709500),Anthony Davis,20709500,PF/C/F/UTIL,10000,PHX@LAL 12/21/2021 10:00PM ET,LAL,46.18
C,Karl-Anthony Towns (20709554),Karl-Anthony Towns,20709554,C/UTIL,9900,MIN@DAL 12/21/2021 08:30PM ET,MIN,45.33
PG,Chris Paul (20709450),Chris Paul,20709450,PG/G/UTIL,9100,PHX@LAL 12/21/2021 10:00PM ET,PHX,39.16
PF,Kristaps Porzingis (20709580),Kristaps Porzingis,20709580,PF/F/UTIL,9000,MIN@DAL 12/21/2021 08:30PM ET,DAL,37.47
PG/SG,Devin Booker (20709567),Devin Booker,20709567,PG/SG/G/UTIL,8500,PHX@LAL 12/21/2021 10:00PM ET,PHX,38.03
C,Deandre Ayton (20709640),Deandre Ayton,20709640,C/UTIL,8200,PHX@LAL 12/21/2021 10:00PM ET,PHX,36.49
SG/SF,Anthony Edwards (20709692),Anthony Edwards,20709692,SG/SF/F/G/UTIL,7900,MIN@DAL 12/21/2021 08:30PM ET,MIN,39.31
PG/SG,D'Angelo Russell (20709560),D'Angelo Russell,20709560,PG/SG/G/UTIL,7700,MIN@DAL 12/21/2021 08:30PM ET,MIN,36.61
PG/SG,Jalen Brunson (20709589),Jalen Brunson,20709589,PG/SG/G/UTIL,7400,MIN@DAL 12/21/2021 08:30PM ET,DAL,29.12
SG/SF,Tim Hardaway Jr. (20709485),Tim Hardaway Jr.,20709485,SG/SF/F/G/UTIL,6100,MIN@DAL 12/21/2021 08:30PM ET,DAL,26.69
PF/C,Jarred Vanderbilt (20709648),Jarred Vanderbilt,20709648,PF/C/F/UTIL,5600,MIN@DAL 12/21/2021 08:30PM ET,MIN,22.83
SF,Talen Horton-Tucker (20709673),Talen Horton-Tucker,20709673,SF/F/UTIL,5500,PHX@LAL 12/21/2021 10:00PM ET,LAL,24.67
PG,Patrick Beverley (20709469),Patrick Beverley,20709469,PG/G/UTIL,5400,MIN@DAL 12/21/2021 08:30PM ET,MIN,25.14
SG/SF,Mikal Bridges (20709571),Mikal Bridges,20709571,SG/SF/F/G/UTIL,5300,PHX@LAL 12/21/2021 10:00PM ET,PHX,24.05
SF/PF,Dorian Finney-Smith (20709510),Dorian Finney-Smith,20709510,SF/PF/F/UTIL,5000,MIN@DAL 12/21/2021 08:30PM ET,DAL,22.59
PG/SG,Cameron Payne (20709545),Cameron Payne,20709545,PG/SG/G/UTIL,5000,PHX@LAL 12/21/2021 10:00PM ET,PHX,20.92
SF/PF,Cameron Johnson (20709556),Cameron Johnson,20709556,SF/PF/F/UTIL,5000,PHX@LAL 12/21/2021 10:00PM ET,PHX,19.61
C,Frank Kaminsky (20709514),Frank Kaminsky,20709514,C/UTIL,4900,PHX@LAL 12/21/2021 10:00PM ET,PHX,21.75
SG,Malik Beasley (20709583),Malik Beasley,20709583,SG/G/UTIL,4800,MIN@DAL 12/21/2021 08:30PM ET,MIN,20.4
SF,Kent Bazemore (20709476),Kent Bazemore,20709476,SF/F/UTIL,4700,PHX@LAL 12/21/2021 10:00PM ET,LAL,10.81
PF,Carmelo Anthony (20709442),Carmelo Anthony,20709442,PF/F/UTIL,4600,PHX@LAL 12/21/2021 10:00PM ET,LAL,23.60
C,Dwight Howard (20709456),Dwight Howard,20709456,C/UTIL,4600,PHX@LAL 12/21/2021 10:00PM ET,LAL,15.14
C,JaVale McGee (20709472),JaVale McGee,20709472,C/UTIL,4600,PHX@LAL 12/21/2021 10:00PM ET,PHX,23.04
PF,Jae Crowder (20709495),Jae Crowder,20709495,PF/F/UTIL,4500,PHX@LAL 12/21/2021 10:00PM ET,PHX,21.40
PG/SG,Malik Monk (20709627),Malik Monk,20709627,PG/SG/G/UTIL,4100,PHX@LAL 12/21/2021 10:00PM ET,LAL,18.62
PF/C,Maxi Kleber (20709655),Maxi Kleber,20709655,PF/C/F/UTIL,4000,MIN@DAL 12/21/2021 08:30PM ET,DAL,18.91
PG,Isaiah Thomas (20709479),Isaiah Thomas,20709479,PG/G/UTIL,4000,PHX@LAL 12/21/2021 10:00PM ET,LAL,21.5
PG,Trey Burke (20709507),Trey Burke,20709507,PG/G/UTIL,3900,MIN@DAL 12/21/2021 08:30PM ET,DAL,12.62
