Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Kevin Durant (20682204),Kevin Durant,20682204,SF/PF/F/UTIL,12300,Postponed,BKN,51.44
C,Nikola Jokic (20682208),Nikola Jokic,20682208,C/UTIL,12000,Postponed,DEN,59.57
C,Joel Embiid (20682210),Joel Embiid,20682210,C/UTIL,11400,Postponed,PHI,49.07
PG/SF,Luka Doncic (20682212),Luka Doncic,20682212,PG/SF/F/G/UTIL,11200,DAL@MIN 12/19/2021 08:00PM ET,DAL,51.69
PG,James Harden (20682217),James Harden,20682217,PG/G/UTIL,11000,Postponed,BKN,49.42
PG/SF,LeBron James (20682220),LeBron James,20682220,PG/SF/F/G/UTIL,10800,LAL@CHI 12/19/2021 08:00PM ET,LAL,49.43
PG,Russell Westbrook (20682225),Russell Westbrook,20682225,PG/G/UTIL,10400,LAL@CHI 12/19/2021 08:00PM ET,LAL,43.67
PG,Trae Young (20682228),Trae Young,20682228,PG/G/UTIL,10100,Postponed,ATL,48.60
PF/C,Anthony Davis (20682231),Anthony Davis,20682231,PF/C/F/UTIL,10000,LAL@CHI 12/19/2021 08:00PM ET,LAL,46.18
PG,Dejounte Murray (20682235),Dejounte Murray,20682235,PG/G/UTIL,9900,SAS@SAC 12/19/2021 06:00PM ET,SAS,46.26
SG/SF,Zach LaVine (20682238),Zach LaVine,20682238,SG/SF/F/G/UTIL,9800,LAL@CHI 12/19/2021 08:00PM ET,CHI,40.82
PG,Damian Lillard (20682243),Damian Lillard,20682243,PG/G/UTIL,9700,POR@MEM 12/19/2021 06:00PM ET,POR,42.32
C,Karl-Anthony Towns (20682246),Karl-Anthony Towns,20682246,C/UTIL,9600,DAL@MIN 12/19/2021 08:00PM ET,MIN,45.44
PG/SG,LaMelo Ball (20682248),LaMelo Ball,20682248,PG/SG/G/UTIL,9500,CHA@PHX 12/19/2021 08:00PM ET,CHA,47.21
PF,DeMar DeRozan (20682252),DeMar DeRozan,20682252,PF/F/UTIL,9400,LAL@CHI 12/19/2021 08:00PM ET,CHI,41.16
PG,Chris Paul (20682255),Chris Paul,20682255,PG/G/UTIL,9300,CHA@PHX 12/19/2021 08:00PM ET,PHX,39.40
