Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (20931119),Giannis Antetokounmpo,20931119,PF/C/F/UTIL,12000,MIL@CHA 01/10/2022 07:00PM ET,MIL,56.73
C,Joel Embiid (20931123),Joel Embiid,20931123,C/UTIL,11000,PHI@HOU 01/10/2022 08:00PM ET,PHI,51.91
SF/PF,Kevin Durant (20931125),Kevin Durant,20931125,SF/PF/F/UTIL,10600,BKN@POR 01/10/2022 10:00PM ET,BKN,51.42
PG,James Harden (20931129),James Harden,20931129,PG/G/UTIL,10500,BKN@POR 01/10/2022 10:00PM ET,BKN,51.45
PF/C,Domantas Sabonis (20931132),Domantas Sabonis,20931132,PF/C/F/UTIL,10300,IND@BOS 01/10/2022 07:30PM ET,IND,43.68
SF/PF,Jayson Tatum (20931136),Jayson Tatum,20931136,SF/PF/F/UTIL,10000,IND@BOS 01/10/2022 07:30PM ET,BOS,45.86
PG,Damian Lillard (20931140),Damian Lillard,20931140,PG/G/UTIL,9900,BKN@POR 01/10/2022 10:00PM ET,POR,42.60
PG,Dejounte Murray (20931143),Dejounte Murray,20931143,PG/G/UTIL,9700,SAS@NYK 01/10/2022 07:30PM ET,SAS,47.81
PG/SG,Donovan Mitchell (20931146),Donovan Mitchell,20931146,PG/SG/G/UTIL,9400,UTA@DET 01/10/2022 07:00PM ET,UTA,42.15
PG/SG,LaMelo Ball (20931150),LaMelo Ball,20931150,PG/SG/G/UTIL,9300,MIL@CHA 01/10/2022 07:00PM ET,CHA,45.10
SG/SF,Jaylen Brown (20931154),Jaylen Brown,20931154,SG/SF/F/G/UTIL,9200,IND@BOS 01/10/2022 07:30PM ET,BOS,39.77
PF,Julius Randle (20931159),Julius Randle,20931159,PF/F/UTIL,9100,SAS@NYK 01/10/2022 07:30PM ET,NYK,42.09
PG/SG,Caris LeVert (20931162),Caris LeVert,20931162,PG/SG/G/UTIL,9000,IND@BOS 01/10/2022 07:30PM ET,IND,31
PG/SG,Darius Garland (20931166),Darius Garland,20931166,PG/SG/G/UTIL,8900,CLE@SAC 01/10/2022 10:00PM ET,CLE,36.83
PG/SG,Kyrie Irving (20931170),Kyrie Irving,20931170,PG/SG/G/UTIL,8800,BKN@POR 01/10/2022 10:00PM ET,BKN,38.75
C,Rudy Gobert (20931174),Rudy Gobert,20931174,C/UTIL,8600,UTA@DET 01/10/2022 07:00PM ET,UTA,42.37
PG,Jrue Holiday (20931176),Jrue Holiday,20931176,PG/G/UTIL,8500,MIL@CHA 01/10/2022 07:00PM ET,MIL,38.39
SF,Khris Middleton (20931179),Khris Middleton,20931179,SF/F/UTIL,8400,MIL@CHA 01/10/2022 07:00PM ET,MIL,35.38
PG,Ben Simmons (20931182),Ben Simmons,20931182,PG/G/UTIL,8300,PHI@HOU 01/10/2022 08:00PM ET,PHI,0
PG/SG,CJ McCollum (20931185),CJ McCollum,20931185,PG/SG/G/UTIL,8100,BKN@POR 01/10/2022 10:00PM ET,POR,36.66
PF,Tobias Harris (20931189),Tobias Harris,20931189,PF/F/UTIL,8000,PHI@HOU 01/10/2022 08:00PM ET,PHI,36.29
