,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,SF/PF,Kevin Durant (20612852),Kevin Durant,20612852,SF/PF/F/UTIL,11600,TOR@BKN 12/14/2021 07:30PM ET,BKN,50.17
1,PG,Stephen Curry (20612856),Stephen Curry,20612856,PG/G/UTIL,11500,GSW@NYK 12/14/2021 07:30PM ET,GSW,49.21
2,PG,James Harden (20612859),James Harden,20612859,PG/G/UTIL,11200,TOR@BKN 12/14/2021 07:30PM ET,BKN,49.42
3,PG,Damian Lillard (20612862),Damian Lillard,20612862,PG/G/UTIL,9700,PHX@POR 12/14/2021 10:00PM ET,POR,41.02
4,PF/C,Julius Randle (20612865),Julius Randle,20612865,PF/C/F/UTIL,9200,GSW@NYK 12/14/2021 07:30PM ET,NYK,42.24
5,PG/SG,CJ McCollum (20612869),CJ McCollum,20612869,PG/SG/G/UTIL,9000,PHX@POR 12/14/2021 10:00PM ET,POR,36.66
6,PG/SG,Devin Booker (20612873),Devin Booker,20612873,PG/SG/G/UTIL,8900,PHX@POR 12/14/2021 10:00PM ET,PHX,38.2
7,PG/SG,Fred VanVleet (20612877),Fred VanVleet,20612877,PG/SG/G/UTIL,8600,TOR@BKN 12/14/2021 07:30PM ET,TOR,39.7
8,PG,Kyrie Irving (20612881),Kyrie Irving,20612881,PG/G/UTIL,8500,TOR@BKN 12/14/2021 07:30PM ET,BKN,0.0
9,PG,Chris Paul (20612884),Chris Paul,20612884,PG/G/UTIL,8400,PHX@POR 12/14/2021 10:00PM ET,PHX,38.92
10,PF/C,Pascal Siakam (20612887),Pascal Siakam,20612887,PF/C/F/UTIL,8300,TOR@BKN 12/14/2021 07:30PM ET,TOR,36.8
11,C,Deandre Ayton (20612891),Deandre Ayton,20612891,C/UTIL,7500,PHX@POR 12/14/2021 10:00PM ET,PHX,35.38
12,PG/SF,Scottie Barnes (20612893),Scottie Barnes,20612893,PG/SF/F/G/UTIL,7400,TOR@BKN 12/14/2021 07:30PM ET,TOR,34.24
13,C,Jusuf Nurkic (20612898),Jusuf Nurkic,20612898,C/UTIL,7300,PHX@POR 12/14/2021 10:00PM ET,POR,32.1
14,C,OG Anunoby (20612900),OG Anunoby,20612900,C/UTIL,7000,TOR@BKN 12/14/2021 07:30PM ET,TOR,35.88
15,PF/C,Draymond Green (20612902),Draymond Green,20612902,PF/C/F/UTIL,6900,GSW@NYK 12/14/2021 07:30PM ET,GSW,32.4
16,C,LaMarcus Aldridge (20612906),LaMarcus Aldridge,20612906,C/UTIL,6400,TOR@BKN 12/14/2021 07:30PM ET,BKN,25.46
17,PG/SF,Alec Burks (20612908),Alec Burks,20612908,PG/SF/F/G/UTIL,6300,GSW@NYK 12/14/2021 07:30PM ET,NYK,22.85
18,SG/SF,Andrew Wiggins (20612913),Andrew Wiggins,20612913,SG/SF/F/G/UTIL,6200,GSW@NYK 12/14/2021 07:30PM ET,GSW,29.66
19,PG,Dennis Smith Jr. (20612918),Dennis Smith Jr.,20612918,PG/G/UTIL,6100,PHX@POR 12/14/2021 10:00PM ET,POR,15.91
20,SF,Norman Powell (20612921),Norman Powell,20612921,SF/F/UTIL,6000,PHX@POR 12/14/2021 10:00PM ET,POR,25.68
21,SG/SF,Gary Trent Jr. (20612924),Gary Trent Jr.,20612924,SG/SF/F/G/UTIL,5900,TOR@BKN 12/14/2021 07:30PM ET,TOR,29.2
22,PG/SG,Jordan Poole (20612929),Jordan Poole,20612929,PG/SG/G/UTIL,5800,GSW@NYK 12/14/2021 07:30PM ET,GSW,29.75
23,SG/SF,Mikal Bridges (20612933),Mikal Bridges,20612933,SG/SF/F/G/UTIL,5700,PHX@POR 12/14/2021 10:00PM ET,PHX,24.2
