,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,PG,Luka Doncic (20361722),Luka Doncic,20361722,PG/G/UTIL,11500,WAS@DAL 11/27/2021 08:30PM ET,DAL,51.66
1,PG,James Harden (20361725),James Harden,20361725,PG/G/UTIL,11400,PHX@BKN 11/27/2021 07:30PM ET,BKN,48.58
2,SF/PF,Kevin Durant (20361728),Kevin Durant,20361728,SF/PF/F/UTIL,10800,PHX@BKN 11/27/2021 07:30PM ET,BKN,47.86
3,PG/SG,LaMelo Ball (20361732),LaMelo Ball,20361732,PG/SG/G/UTIL,10400,CHA@HOU 11/27/2021 08:00PM ET,CHA,45.79
4,PF/C,Julius Randle (20361736),Julius Randle,20361736,PF/C/F/UTIL,10200,NYK@ATL 11/27/2021 07:30PM ET,NYK,43.0
5,PF/C,Zion Williamson (20361740),Zion Williamson,20361740,PF/C/F/UTIL,9900,NOP@UTA 11/27/2021 09:00PM ET,NOP,0.0
6,SF,Jimmy Butler (20361744),Jimmy Butler,20361744,SF/F/UTIL,9700,MIA@CHI 11/27/2021 08:00PM ET,MIA,43.48
7,PG,Trae Young (20361747),Trae Young,20361747,PG/G/UTIL,9600,NYK@ATL 11/27/2021 07:30PM ET,ATL,45.85
8,SG/SF,Zach LaVine (20361750),Zach LaVine,20361750,SG/SF/F/G/UTIL,9200,MIA@CHI 11/27/2021 08:00PM ET,CHI,39.7
9,PG/SG,Bradley Beal (20361755),Bradley Beal,20361755,PG/SG/G/UTIL,9100,WAS@DAL 11/27/2021 08:30PM ET,WAS,40.09
10,PF,DeMar DeRozan (20361759),DeMar DeRozan,20361759,PF/F/UTIL,9000,MIA@CHI 11/27/2021 08:00PM ET,CHI,40.74
11,C,Rudy Gobert (20361762),Rudy Gobert,20361762,C/UTIL,8900,NOP@UTA 11/27/2021 09:00PM ET,UTA,41.62
12,C,Jonas Valanciunas (20361764),Jonas Valanciunas,20361764,C/UTIL,8800,NOP@UTA 11/27/2021 09:00PM ET,NOP,41.25
13,PF,Kristaps Porzingis (20361766),Kristaps Porzingis,20361766,PF/F/UTIL,8700,WAS@DAL 11/27/2021 08:30PM ET,DAL,39.5
14,PG/SG,Devin Booker (20361769),Devin Booker,20361769,PG/SG/G/UTIL,8600,PHX@BKN 11/27/2021 07:30PM ET,PHX,39.42
15,C,Nikola Vucevic (20361773),Nikola Vucevic,20361773,C/UTIL,8500,MIA@CHI 11/27/2021 08:00PM ET,CHI,38.36
16,C,Bam Adebayo (20361775),Bam Adebayo,20361775,C/UTIL,8300,MIA@CHI 11/27/2021 08:00PM ET,MIA,38.36
17,PG,Kyrie Irving (20361777),Kyrie Irving,20361777,PG/G/UTIL,8200,PHX@BKN 11/27/2021 07:30PM ET,BKN,0.0
18,PG/SG,Donovan Mitchell (20361780),Donovan Mitchell,20361780,PG/SG/G/UTIL,8100,NOP@UTA 11/27/2021 09:00PM ET,UTA,39.49
19,PG,Chris Paul (20361784),Chris Paul,20361784,PG/G/UTIL,8000,PHX@BKN 11/27/2021 07:30PM ET,PHX,39.32
20,SF/PF,Miles Bridges (20361787),Miles Bridges,20361787,SF/PF/F/UTIL,7900,CHA@HOU 11/27/2021 08:00PM ET,CHA,39.61
21,SG,Brandon Ingram (20361791),Brandon Ingram,20361791,SG/G/UTIL,7800,NOP@UTA 11/27/2021 09:00PM ET,NOP,37.25
22,PG,Cole Anthony (20361794),Cole Anthony,20361794,PG/G/UTIL,7700,ORL@CLE 11/27/2021 08:00PM ET,ORL,39.94
23,PG/SG,Darius Garland (20361797),Darius Garland,20361797,PG/SG/G/UTIL,7600,ORL@CLE 11/27/2021 08:00PM ET,CLE,34.13
24,C,Clint Capela (20361801),Clint Capela,20361801,C/UTIL,7500,NYK@ATL 11/27/2021 07:30PM ET,ATL,34.46
25,PG,Kyle Lowry (20361805),Kyle Lowry,20361805,PG/G/UTIL,7400,MIA@CHI 11/27/2021 08:00PM ET,MIA,32.16
26,C,Jarrett Allen (20361803),Jarrett Allen,20361803,C/UTIL,7400,ORL@CLE 11/27/2021 08:00PM ET,CLE,35.58
27,PG/SG,Tyler Herro (20361808),Tyler Herro,20361808,PG/SG/G/UTIL,7300,MIA@CHI 11/27/2021 08:00PM ET,MIA,35.85
28,C,Deandre Ayton (20361814),Deandre Ayton,20361814,C/UTIL,7200,PHX@BKN 11/27/2021 07:30PM ET,PHX,35.9
29,C,Christian Wood (20361812),Christian Wood,20361812,C/UTIL,7200,CHA@HOU 11/27/2021 08:00PM ET,HOU,36.22
30,PG,Lonzo Ball (20361819),Lonzo Ball,20361819,PG/G/UTIL,7100,MIA@CHI 11/27/2021 08:00PM ET,CHI,31.58
31,PG,John Wall (20361816),John Wall,20361816,PG/G/UTIL,7100,CHA@HOU 11/27/2021 08:00PM ET,HOU,0.0
32,PF/C,Evan Mobley (20361822),Evan Mobley,20361822,PF/C/F/UTIL,7000,ORL@CLE 11/27/2021 08:00PM ET,CLE,33.27
33,PG/SG,Jalen Brunson (20361826),Jalen Brunson,20361826,PG/SG/G/UTIL,7000,WAS@DAL 11/27/2021 08:30PM ET,DAL,30.43
34,PF/C,John Collins (20361830),John Collins,20361830,PF/C/F/UTIL,6900,NYK@ATL 11/27/2021 07:30PM ET,ATL,34.2
35,PG,Ricky Rubio (20361834),Ricky Rubio,20361834,PG/G/UTIL,6900,ORL@CLE 11/27/2021 08:00PM ET,CLE,31.78
36,PG/SG,Terry Rozier (20361837),Terry Rozier,20361837,PG/SG/G/UTIL,6700,CHA@HOU 11/27/2021 08:00PM ET,CHA,29.83
37,C,Mo Bamba (20361841),Mo Bamba,20361841,C/UTIL,6500,ORL@CLE 11/27/2021 08:00PM ET,ORL,31.11
