,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,PF/C,Giannis Antetokounmpo (20421926),Giannis Antetokounmpo,20421926,PF/C/F/UTIL,12100,CHA@MIL 12/01/2021 08:00PM ET,MIL,56.28
1,C,Nikola Jokic (20421930),Nikola Jokic,20421930,C/UTIL,11800,DEN@ORL 12/01/2021 07:00PM ET,DEN,57.95
2,PG/SF,Luka Doncic (20421932),Luka Doncic,20421932,PG/SF/F/G/UTIL,11600,DAL@NOP 12/01/2021 08:00PM ET,DAL,52.36
3,C,Joel Embiid (20421937),Joel Embiid,20421937,C/UTIL,10700,PHI@BOS 12/01/2021 07:30PM ET,PHI,46.11
4,PG/SG,LaMelo Ball (20421939),LaMelo Ball,20421939,PG/SG/G/UTIL,10400,CHA@MIL 12/01/2021 08:00PM ET,CHA,46.7
5,SF/PF,Jayson Tatum (20421943),Jayson Tatum,20421943,SF/PF/F/UTIL,10300,PHI@BOS 12/01/2021 07:30PM ET,BOS,44.54
6,SF/PF,Paul George (20421947),Paul George,20421947,SF/PF/F/UTIL,10200,SAC@LAC 12/01/2021 10:30PM ET,LAC,46.7
7,PF,Kawhi Leonard (20421951),Kawhi Leonard,20421951,PF/F/UTIL,10000,SAC@LAC 12/01/2021 10:30PM ET,LAC,0.0
8,PG,Trae Young (20421954),Trae Young,20421954,PG/G/UTIL,9800,ATL@IND 12/01/2021 07:00PM ET,ATL,46.02
9,PF/C,Zion Williamson (20421957),Zion Williamson,20421957,PF/C/F/UTIL,9700,DAL@NOP 12/01/2021 08:00PM ET,NOP,0.0
10,C,Karl-Anthony Towns (20421961),Karl-Anthony Towns,20421961,C/UTIL,9500,MIN@WAS 12/01/2021 07:00PM ET,MIN,44.2
11,PF/C,Domantas Sabonis (20421963),Domantas Sabonis,20421963,PF/C/F/UTIL,9400,ATL@IND 12/01/2021 07:00PM ET,IND,41.24
12,SF,Jimmy Butler (20421967),Jimmy Butler,20421967,SF/F/UTIL,9300,CLE@MIA 12/01/2021 07:30PM ET,MIA,43.28
13,C,Jonas Valanciunas (20421970),Jonas Valanciunas,20421970,C/UTIL,9200,DAL@NOP 12/01/2021 08:00PM ET,NOP,42.15
14,SG/SF,Jaylen Brown (20421972),Jaylen Brown,20421972,SG/SF/F/G/UTIL,9100,PHI@BOS 12/01/2021 07:30PM ET,BOS,35.67
15,PG/SG,Bradley Beal (20421977),Bradley Beal,20421977,PG/SG/G/UTIL,9000,MIN@WAS 12/01/2021 07:00PM ET,WAS,39.96
16,C,Christian Wood (20421981),Christian Wood,20421981,C/UTIL,8900,HOU@OKC 12/01/2021 08:00PM ET,HOU,38.79
17,PG,De'Aaron Fox (20421983),De'Aaron Fox,20421983,PG/G/UTIL,8800,SAC@LAC 12/01/2021 10:30PM ET,SAC,35.36
18,C,Bam Adebayo (20421986),Bam Adebayo,20421986,C/UTIL,8700,CLE@MIA 12/01/2021 07:30PM ET,MIA,38.35
19,SG/SF,Anthony Edwards (20421988),Anthony Edwards,20421988,SG/SF/F/G/UTIL,8600,MIN@WAS 12/01/2021 07:00PM ET,MIN,40.26
20,C,Clint Capela (20421993),Clint Capela,20421993,C/UTIL,8500,ATL@IND 12/01/2021 07:00PM ET,ATL,35.42
21,PG/SG,D'Angelo Russell (20421995),D'Angelo Russell,20421995,PG/SG/G/UTIL,8400,MIN@WAS 12/01/2021 07:00PM ET,MIN,36.78
