Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (20734417),Nikola Jokic,20734417,C/UTIL,12200,CHA@DEN 12/23/2021 09:00PM ET,DEN,58.36
C,Joel Embiid (20734419),Joel Embiid,20734419,C/UTIL,12000,ATL@PHI 12/23/2021 07:00PM ET,PHI,50.24
PG,Stephen Curry (20734421),Stephen Curry,20734421,PG/G/UTIL,11900,MEM@GSW 12/23/2021 10:00PM ET,GSW,48.34
PF/C,Giannis Antetokounmpo (20734424),Giannis Antetokounmpo,20734424,PF/C/F/UTIL,11800,MIL@DAL 12/23/2021 08:30PM ET,MIL,55.53
PG/SF,LeBron James (20734428),LeBron James,20734428,PG/SF/F/G/UTIL,11300,SAS@LAL 12/23/2021 10:30PM ET,LAL,50.15
PG,Luka Doncic (20734433),Luka Doncic,20734433,PG/G/UTIL,11000,MIL@DAL 12/23/2021 08:30PM ET,DAL,51.69
PG,Russell Westbrook (20734436),Russell Westbrook,20734436,PG/G/UTIL,10700,SAS@LAL 12/23/2021 10:30PM ET,LAL,43.82
C,Karl-Anthony Towns (20734439),Karl-Anthony Towns,20734439,C/UTIL,10600,MIN@UTA 12/23/2021 09:00PM ET,MIN,45.77
PF/C,Julius Randle (20734441),Julius Randle,20734441,PF/C/F/UTIL,10500,WAS@NYK 12/23/2021 07:30PM ET,NYK,42.30
PG,Dejounte Murray (20734445),Dejounte Murray,20734445,PG/G/UTIL,10300,SAS@LAL 12/23/2021 10:30PM ET,SAS,47.21
PG,Trae Young (20734448),Trae Young,20734448,PG/G/UTIL,10200,ATL@PHI 12/23/2021 07:00PM ET,ATL,48.60
PF/C,Domantas Sabonis (20734451),Domantas Sabonis,20734451,PF/C/F/UTIL,10100,HOU@IND 12/23/2021 07:00PM ET,IND,41.66
PF/C,Anthony Davis (20734455),Anthony Davis,20734455,PF/C/F/UTIL,10000,SAS@LAL 12/23/2021 10:30PM ET,LAL,46.18
PG/SG,LaMelo Ball (20734459),LaMelo Ball,20734459,PG/SG/G/UTIL,9900,CHA@DEN 12/23/2021 09:00PM ET,CHA,46.88
PG/SG,Bradley Beal (20734463),Bradley Beal,20734463,PG/SG/G/UTIL,9800,WAS@NYK 12/23/2021 07:30PM ET,WAS,39.32
C,Rudy Gobert (20734467),Rudy Gobert,20734467,C/UTIL,9700,MIN@UTA 12/23/2021 09:00PM ET,UTA,42.02
SG/SF,Brandon Ingram (20734469),Brandon Ingram,20734469,SG/SF/F/G/UTIL,9600,NOP@ORL 12/23/2021 07:00PM ET,NOP,40.43
PG/SG,Donovan Mitchell (20734474),Donovan Mitchell,20734474,PG/SG/G/UTIL,9500,MIN@UTA 12/23/2021 09:00PM ET,UTA,41.09
C,Zion Williamson (20734478),Zion Williamson,20734478,C/UTIL,9400,NOP@ORL 12/23/2021 07:00PM ET,NOP,0
SF,Jimmy Butler (20734480),Jimmy Butler,20734480,SF/F/UTIL,9300,DET@MIA 12/23/2021 07:30PM ET,MIA,42.39
PF,Tobias Harris (20734483),Tobias Harris,20734483,PF/F/UTIL,9200,ATL@PHI 12/23/2021 07:00PM ET,PHI,35.35
PG,Chris Paul (20734486),Chris Paul,20734486,PG/G/UTIL,9100,OKC@PHX 12/23/2021 09:00PM ET,PHX,38.83
PF,Kristaps Porzingis (20734489),Kristaps Porzingis,20734489,PF/F/UTIL,9000,MIL@DAL 12/23/2021 08:30PM ET,DAL,37.47
C,Bam Adebayo (20734492),Bam Adebayo,20734492,C/UTIL,8900,DET@MIA 12/23/2021 07:30PM ET,MIA,38.35
PG/SG,Cade Cunningham (20734494),Cade Cunningham,20734494,PG/SG/G/UTIL,8800,DET@MIA 12/23/2021 07:30PM ET,DET,34.54
PG,Shai Gilgeous-Alexander (20734498),Shai Gilgeous-Alexander,20734498,PG/G/UTIL,8700,OKC@PHX 12/23/2021 09:00PM ET,OKC,38.89
PG,Ja Morant (20734505),Ja Morant,20734505,PG/G/UTIL,8600,MEM@GSW 12/23/2021 10:00PM ET,MEM,44.28
C,Christian Wood (20734508),Christian Wood,20734508,C/UTIL,8600,HOU@IND 12/23/2021 07:00PM ET,HOU,37.8
PG/SG,Devin Booker (20734501),Devin Booker,20734501,PG/SG/G/UTIL,8600,OKC@PHX 12/23/2021 09:00PM ET,PHX,38.48
PG/SG,Jalen Brunson (20734515),Jalen Brunson,20734515,PG/SG/G/UTIL,8500,MIL@DAL 12/23/2021 08:30PM ET,DAL,29.78
PG,Kyle Lowry (20734510),Kyle Lowry,20734510,PG/G/UTIL,8500,DET@MIA 12/23/2021 07:30PM ET,MIA,34.75
C,Jonas Valanciunas (20734513),Jonas Valanciunas,20734513,C/UTIL,8500,NOP@ORL 12/23/2021 07:00PM ET,NOP,40.90
PG,Cole Anthony (20734519),Cole Anthony,20734519,PG/G/UTIL,8400,NOP@ORL 12/23/2021 07:00PM ET,ORL,38.04
PG,Jrue Holiday (20734522),Jrue Holiday,20734522,PG/G/UTIL,8300,MIL@DAL 12/23/2021 08:30PM ET,MIL,36.47
C,Deandre Ayton (20734525),Deandre Ayton,20734525,C/UTIL,8300,OKC@PHX 12/23/2021 09:00PM ET,PHX,36.66
PG,Ben Simmons (20734527),Ben Simmons,20734527,PG/G/UTIL,8200,ATL@PHI 12/23/2021 07:00PM ET,PHI,0
SF,Khris Middleton (20734534),Khris Middleton,20734534,SF/F/UTIL,8000,MIL@DAL 12/23/2021 08:30PM ET,MIL,34.51
PG/SG,D'Angelo Russell (20734530),D'Angelo Russell,20734530,PG/SG/G/UTIL,8000,MIN@UTA 12/23/2021 09:00PM ET,MIN,36.58
