Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Stephen Curry (20172904),Stephen Curry,20172904,PG/G/UTIL,10900,GSW@BKN 11/16/2021 07:30PM ET,GSW,52.40
PG,James Harden (20172907),James Harden,20172907,PG/G/UTIL,10600,GSW@BKN 11/16/2021 07:30PM ET,BKN,47.45
SF/PF,Kevin Durant (20172910),Kevin Durant,20172910,SF/PF/F/UTIL,10300,GSW@BKN 11/16/2021 07:30PM ET,BKN,50.34
SG/SF,Paul George (20172914),Paul George,20172914,SG/SF/F/G/UTIL,10200,SAS@LAC 11/16/2021 10:30PM ET,LAC,49.73
C,Joel Embiid (20172919),Joel Embiid,20172919,C/UTIL,10100,PHI@UTA 11/16/2021 10:00PM ET,PHI,43.61
PF,Kawhi Leonard (20172921),Kawhi Leonard,20172921,PF/F/UTIL,9900,SAS@LAC 11/16/2021 10:30PM ET,LAC,0
PG,Dejounte Murray (20172924),Dejounte Murray,20172924,PG/G/UTIL,9500,SAS@LAC 11/16/2021 10:30PM ET,SAS,45.73
C,Andre Drummond (20172927),Andre Drummond,20172927,C/UTIL,8700,PHI@UTA 11/16/2021 10:00PM ET,PHI,29.96
PG/SG,Donovan Mitchell (20172929),Donovan Mitchell,20172929,PG/SG/G/UTIL,8600,PHI@UTA 11/16/2021 10:00PM ET,UTA,43.15
PF,Tobias Harris (20172933),Tobias Harris,20172933,PF/F/UTIL,8500,PHI@UTA 11/16/2021 10:00PM ET,PHI,40.31
PG,Kyrie Irving (20172936),Kyrie Irving,20172936,PG/G/UTIL,7900,GSW@BKN 11/16/2021 07:30PM ET,BKN,0
PG/SF,Ben Simmons (20172939),Ben Simmons,20172939,PG/SF/F/G/UTIL,7900,PHI@UTA 11/16/2021 10:00PM ET,PHI,0
C,Rudy Gobert (20172944),Rudy Gobert,20172944,C/UTIL,7700,PHI@UTA 11/16/2021 10:00PM ET,UTA,41.10
PG,Tyrese Maxey (20172946),Tyrese Maxey,20172946,PG/G/UTIL,7200,PHI@UTA 11/16/2021 10:00PM ET,PHI,31.80
C,Jakob Poeltl (20172949),Jakob Poeltl,20172949,C/UTIL,6900,SAS@LAC 11/16/2021 10:30PM ET,SAS,33.64
SG/SF,Andrew Wiggins (20172951),Andrew Wiggins,20172951,SG/SF/F/G/UTIL,6500,GSW@BKN 11/16/2021 07:30PM ET,GSW,28.69
PF/C,Draymond Green (20172956),Draymond Green,20172956,PF/C/F/UTIL,6400,GSW@BKN 11/16/2021 07:30PM ET,GSW,31.86
PG,Mike Conley (20172960),Mike Conley,20172960,PG/G/UTIL,6200,PHI@UTA 11/16/2021 10:00PM ET,UTA,28.43
PG,Reggie Jackson (20172963),Reggie Jackson,20172963,PG/G/UTIL,6100,SAS@LAC 11/16/2021 10:30PM ET,LAC,30.33
SG,Klay Thompson (20172969),Klay Thompson,20172969,SG/G/UTIL,6000,GSW@BKN 11/16/2021 07:30PM ET,GSW,0
PF,Keldon Johnson (20172966),Keldon Johnson,20172966,PF/F/UTIL,6000,SAS@LAC 11/16/2021 10:30PM ET,SAS,30.06
PG/SG,Jordan Poole (20172972),Jordan Poole,20172972,PG/SG/G/UTIL,5900,GSW@BKN 11/16/2021 07:30PM ET,GSW,28.73
SF/PF,Bojan Bogdanovic (20172976),Bojan Bogdanovic,20172976,SF/PF/F/UTIL,5500,PHI@UTA 11/16/2021 10:00PM ET,UTA,25.67
PG/SG,Derrick White (20172983),Derrick White,20172983,PG/SG/G/UTIL,5400,SAS@LAC 11/16/2021 10:30PM ET,SAS,27.21
SG,Seth Curry (20172980),Seth Curry,20172980,SG/G/UTIL,5400,PHI@UTA 11/16/2021 10:00PM ET,PHI,25.96
PF/C,Thaddeus Young (20172987),Thaddeus Young,20172987,PF/C/F/UTIL,5300,SAS@LAC 11/16/2021 10:30PM ET,SAS,22.48
PG/SG,Eric Bledsoe (20172991),Eric Bledsoe,20172991,PG/SG/G/UTIL,5200,SAS@LAC 11/16/2021 10:30PM ET,LAC,26.69
PG/SG,Jordan Clarkson (20172995),Jordan Clarkson,20172995,PG/SG/G/UTIL,5100,PHI@UTA 11/16/2021 10:00PM ET,UTA,23.64
SF/PF,Nicolas Batum (20172999),Nicolas Batum,20172999,SF/PF/F/UTIL,5000,SAS@LAC 11/16/2021 10:30PM ET,LAC,25.56
PG/SG,Shake Milton (20173003),Shake Milton,20173003,PG/SG/G/UTIL,5000,PHI@UTA 11/16/2021 10:00PM ET,PHI,21.9
C,Ivica Zubac (20173007),Ivica Zubac,20173007,C/UTIL,4900,SAS@LAC 11/16/2021 10:30PM ET,LAC,24.02
C,LaMarcus Aldridge (20173009),LaMarcus Aldridge,20173009,C/UTIL,4800,GSW@BKN 11/16/2021 07:30PM ET,BKN,24.31
SG/SF,Devin Vassell (20173011),Devin Vassell,20173011,SG/SF/F/G/UTIL,4700,SAS@LAC 11/16/2021 10:30PM ET,SAS,24.83
SG/SF,Terance Mann (20173016),Terance Mann,20173016,SG/SF/F/G/UTIL,4700,SAS@LAC 11/16/2021 10:30PM ET,LAC,22.77
PF,Marcus Morris Sr. (20173026),Marcus Morris Sr.,20173026,PF/F/UTIL,4600,SAS@LAC 11/16/2021 10:30PM ET,LAC,14.38
SG/SF,Furkan Korkmaz (20173021),Furkan Korkmaz,20173021,SG/SF/F/G/UTIL,4600,PHI@UTA 11/16/2021 10:00PM ET,PHI,21.94
C,James Wiseman (20173029),James Wiseman,20173029,C/UTIL,4400,GSW@BKN 11/16/2021 07:30PM ET,GSW,0
C,Drew Eubanks (20173034),Drew Eubanks,20173034,C/UTIL,4400,SAS@LAC 11/16/2021 10:30PM ET,SAS,17.83
PF,Royce O'Neale (20173031),Royce O'Neale,20173031,PF/F/UTIL,4400,PHI@UTA 11/16/2021 10:00PM ET,UTA,20.96
SG/SF,Joe Ingles (20173036),Joe Ingles,20173036,SG/SF/F/G/UTIL,4300,PHI@UTA 11/16/2021 10:00PM ET,UTA,16.79
SG/SF,Bruce Brown (20173041),Bruce Brown,20173041,SG/SF/F/G/UTIL,4200,GSW@BKN 11/16/2021 07:30PM ET,BKN,17.10
SG/SF,Joe Harris (20173052),Joe Harris,20173052,SG/SF/F/G/UTIL,4100,GSW@BKN 11/16/2021 07:30PM ET,BKN,20.11
C,Hassan Whiteside (20173046),Hassan Whiteside,20173046,C/UTIL,4100,PHI@UTA 11/16/2021 10:00PM ET,UTA,19.44
SF/PF,Georges Niang (20173048),Georges Niang,20173048,SF/PF/F/UTIL,4100,PHI@UTA 11/16/2021 10:00PM ET,PHI,20.34
PF/C,Blake Griffin (20173057),Blake Griffin,20173057,PF/C/F/UTIL,4000,GSW@BKN 11/16/2021 07:30PM ET,BKN,17.71
SG/SF,Luke Kennard (20173061),Luke Kennard,20173061,SG/SF/F/G/UTIL,4000,SAS@LAC 11/16/2021 10:30PM ET,LAC,20.27
PG/SG,Gary Payton II (20173066),Gary Payton II,20173066,PG/SG/G/UTIL,3900,GSW@BKN 11/16/2021 07:30PM ET,GSW,13.75
SF,Danny Green (20173070),Danny Green,20173070,SF/F/UTIL,3900,PHI@UTA 11/16/2021 10:00PM ET,PHI,17.11
PG/SG,Patty Mills (20173073),Patty Mills,20173073,PG/SG/G/UTIL,3800,GSW@BKN 11/16/2021 07:30PM ET,BKN,18.46
SG/SF,Lonnie Walker IV (20173077),Lonnie Walker IV,20173077,SG/SF/F/G/UTIL,3700,SAS@LAC 11/16/2021 10:30PM ET,SAS,21.54
