playerId,displayName,teamAbbreviation,position,rosterSlotId,salary,status,DK_proj,Pts_proj,Reb_proj,Ast_proj,MSE_DK,MSE_Pts,MSE_Reb,MSE_Ast,costPerPoint,pointsRank,salaryRank,eligible
398142,DeAndre Jordan,LAL,C,462,3400,None,-0.7899999999999991,-2.66,10.27,-2.85,796.7,128.83,41.19,11.19,-4303.8,217.5,192.0,True
398142,DeAndre Jordan,LAL,C,465,3400,None,-0.7899999999999991,-2.66,10.27,-2.85,796.7,128.83,41.19,11.19,-4303.8,217.5,192.0,True
266367,Jeff Green,DEN,SF/PF,460,3900,None,-3.5799999999999983,-0.6000000000000014,0.84,0.71,325.18,214.25,5.78,13.3,-1089.39,220.5,145.0,False
266367,Jeff Green,DEN,SF/PF,461,3900,None,-3.5799999999999983,-0.6000000000000014,0.84,0.71,325.18,214.25,5.78,13.3,-1089.39,220.5,145.0,False
266367,Jeff Green,DEN,SF/PF,463,3900,None,-3.5799999999999983,-0.6000000000000014,0.84,0.71,325.18,214.25,5.78,13.3,-1089.39,220.5,145.0,False
266367,Jeff Green,DEN,SF/PF,465,3900,None,-3.5799999999999983,-0.6000000000000014,0.84,0.71,325.18,214.25,5.78,13.3,-1089.39,220.5,145.0,False
830642,Jusuf Nurkic,POR,C,465,6300,None,-6.35,-0.7,0.39000000000000057,4.06,1990.31,118.59,520.77,74.52,-992.13,223.5,64.5,False
830642,Jusuf Nurkic,POR,C,462,6300,None,-6.35,-0.7,0.39000000000000057,4.06,1990.31,118.59,520.77,74.52,-992.13,223.5,64.5,False
957492,Malik Monk,LAL,SG,464,4100,None,-6.75,-0.08999999999999986,1.51,0.88,1617.59,457.27,29.2,5.28,-607.41,226.0,123.0,False
957492,Malik Monk,LAL,SG,459,4100,None,-6.75,-0.08999999999999986,1.51,0.88,1617.59,457.27,29.2,5.28,-607.41,226.0,123.0,False
957492,Malik Monk,LAL,SG,465,4100,None,-6.75,-0.08999999999999986,1.51,0.88,1617.59,457.27,29.2,5.28,-607.41,226.0,123.0,False
522878,CJ McCollum,POR,PG/SG,459,7800,None,-13.77,-3.51,-4.95,-2.89,2097.85,555.24,159.95,50.31,-566.45,233.5,35.5,False
522878,CJ McCollum,POR,PG/SG,458,7800,None,-13.77,-3.51,-4.95,-2.89,2097.85,555.24,159.95,50.31,-566.45,233.5,35.5,False
522878,CJ McCollum,POR,PG/SG,465,7800,None,-13.77,-3.51,-4.95,-2.89,2097.85,555.24,159.95,50.31,-566.45,233.5,35.5,False
522878,CJ McCollum,POR,PG/SG,464,7800,None,-13.77,-3.51,-4.95,-2.89,2097.85,555.24,159.95,50.31,-566.45,233.5,35.5,False
879504,Terance Mann,LAC,PG/SG,464,4300,None,-10.2,-12.95,6.470000000000001,-1.62,881.02,335.05,28.41,10.14,-421.57,229.5,114.5,False
879504,Terance Mann,LAC,PG/SG,458,4300,None,-10.2,-12.95,6.470000000000001,-1.62,881.02,335.05,28.41,10.14,-421.57,229.5,114.5,False
879504,Terance Mann,LAC,PG/SG,465,4300,None,-10.2,-12.95,6.470000000000001,-1.62,881.02,335.05,28.41,10.14,-421.57,229.5,114.5,False
879504,Terance Mann,LAC,PG/SG,459,4300,None,-10.2,-12.95,6.470000000000001,-1.62,881.02,335.05,28.41,10.14,-421.57,229.5,114.5,False
1057004,Isaiah Hartenstein,LAC,C,465,3500,None,-21.82,-7.67,2.42,-1.9,6839.44,990.37,94.72,17.1,-160.4,236.5,178.5,False
1057004,Isaiah Hartenstein,LAC,C,462,3500,None,-21.82,-7.67,2.42,-1.9,6839.44,990.37,94.72,17.1,-160.4,236.5,178.5,False
399612,Derrick Rose,NYK,PG/SG,459,4600,Q,131.1,67.4,25.46,7.17,34861.68,9413.82,1546.97,127.05,35.09,2.5,102.5,False
399612,Derrick Rose,NYK,PG/SG,458,4600,Q,131.1,67.4,25.46,7.17,34861.68,9413.82,1546.97,127.05,35.09,2.5,102.5,False
399612,Derrick Rose,NYK,PG/SG,464,4600,Q,131.1,67.4,25.46,7.17,34861.68,9413.82,1546.97,127.05,35.09,2.5,102.5,False
399612,Derrick Rose,NYK,PG/SG,465,4600,Q,131.1,67.4,25.46,7.17,34861.68,9413.82,1546.97,127.05,35.09,2.5,102.5,False
525052,Robert Covington,POR,PF/C,463,3800,None,88.88,38.47,17.0,9.14,2106.5,511.21,320.39,208.29,42.75,9.5,156.0,False
525052,Robert Covington,POR,PF/C,465,3800,None,88.88,38.47,17.0,9.14,2106.5,511.21,320.39,208.29,42.75,9.5,156.0,False
525052,Robert Covington,POR,PF/C,462,3800,None,88.88,38.47,17.0,9.14,2106.5,511.21,320.39,208.29,42.75,9.5,156.0,False
525052,Robert Covington,POR,PF/C,461,3800,None,88.88,38.47,17.0,9.14,2106.5,511.21,320.39,208.29,42.75,9.5,156.0,False
936502,Max Strus,MIA,SG/SF,460,3100,None,47.22,25.01,12.22,3.63,2259.99,489.0,109.8,19.37,65.65,65.0,218.5,False
936502,Max Strus,MIA,SG/SF,459,3100,None,47.22,25.01,12.22,3.63,2259.99,489.0,109.8,19.37,65.65,65.0,218.5,False
936502,Max Strus,MIA,SG/SF,464,3100,None,47.22,25.01,12.22,3.63,2259.99,489.0,109.8,19.37,65.65,65.0,218.5,False
936502,Max Strus,MIA,SG/SF,463,3100,None,47.22,25.01,12.22,3.63,2259.99,489.0,109.8,19.37,65.65,65.0,218.5,False
936502,Max Strus,MIA,SG/SF,465,3100,None,47.22,25.01,12.22,3.63,2259.99,489.0,109.8,19.37,65.65,65.0,218.5,False
1132031,RJ Barrett,NYK,PG/SF,458,5600,None,77.76,33.4,30.72,6.71,5412.49,1369.52,542.58,75.44,72.02,18.0,78.0,False
1132031,RJ Barrett,NYK,PG/SF,460,5600,None,77.76,33.4,30.72,6.71,5412.49,1369.52,542.58,75.44,72.02,18.0,78.0,False
1132031,RJ Barrett,NYK,PG/SF,464,5600,None,77.76,33.4,30.72,6.71,5412.49,1369.52,542.58,75.44,72.02,18.0,78.0,False
1132031,RJ Barrett,NYK,PG/SF,465,5600,None,77.76,33.4,30.72,6.71,5412.49,1369.52,542.58,75.44,72.02,18.0,78.0,False
1132031,RJ Barrett,NYK,PG/SF,463,5600,None,77.76,33.4,30.72,6.71,5412.49,1369.52,542.58,75.44,72.02,18.0,78.0,False
854591,Duncan Robinson,MIA,SG/SF,460,4500,Q,59.14,22.36,10.37,8.25,9433.69,2262.12,3251.36,669.65,76.09,34.0,107.0,False
854591,Duncan Robinson,MIA,SG/SF,459,4500,Q,59.14,22.36,10.37,8.25,9433.69,2262.12,3251.36,669.65,76.09,34.0,107.0,False
854591,Duncan Robinson,MIA,SG/SF,463,4500,Q,59.14,22.36,10.37,8.25,9433.69,2262.12,3251.36,669.65,76.09,34.0,107.0,False
854591,Duncan Robinson,MIA,SG/SF,465,4500,Q,59.14,22.36,10.37,8.25,9433.69,2262.12,3251.36,669.65,76.09,34.0,107.0,False
854591,Duncan Robinson,MIA,SG/SF,464,4500,Q,59.14,22.36,10.37,8.25,9433.69,2262.12,3251.36,669.65,76.09,34.0,107.0,False
512995,Alec Burks,NYK,SG/SF,463,4200,None,54.14,16.18,24.66,9.72,21164.11,3290.51,1074.37,198.83,77.58,39.0,119.0,False
512995,Alec Burks,NYK,SG/SF,460,4200,None,54.14,16.18,24.66,9.72,21164.11,3290.51,1074.37,198.83,77.58,39.0,119.0,False
512995,Alec Burks,NYK,SG/SF,459,4200,None,54.14,16.18,24.66,9.72,21164.11,3290.51,1074.37,198.83,77.58,39.0,119.0,False
512995,Alec Burks,NYK,SG/SF,465,4200,None,54.14,16.18,24.66,9.72,21164.11,3290.51,1074.37,198.83,77.58,39.0,119.0,False
512995,Alec Burks,NYK,SG/SF,464,4200,None,54.14,16.18,24.66,9.72,21164.11,3290.51,1074.37,198.83,77.58,39.0,119.0,False
552805,Cory Joseph,DET,PG,465,3900,None,49.28,17.810000000000002,2.8,9.97,995.88,533.73,3.62,35.61,79.14,55.0,145.0,False
552805,Cory Joseph,DET,PG,464,3900,None,49.28,17.810000000000002,2.8,9.97,995.88,533.73,3.62,35.61,79.14,55.0,145.0,False
552805,Cory Joseph,DET,PG,458,3900,None,49.28,17.810000000000002,2.8,9.97,995.88,533.73,3.62,35.61,79.14,55.0,145.0,False
609861,Norman Powell,POR,SF,460,5000,None,61.37,36.879999999999995,2.88,2.13,1433.27,1300.73,3.1,2.72,81.47,27.0,91.0,False
609861,Norman Powell,POR,SF,463,5000,None,61.37,36.879999999999995,2.88,2.13,1433.27,1300.73,3.1,2.72,81.47,27.0,91.0,False
609861,Norman Powell,POR,SF,465,5000,None,61.37,36.879999999999995,2.88,2.13,1433.27,1300.73,3.1,2.72,81.47,27.0,91.0,False
513607,Avery Bradley,LAL,SG,459,3300,None,39.81,22.43,4.36,-0.45,609.74,175.33,10.03,17.32,82.89,87.0,198.5,False
513607,Avery Bradley,LAL,SG,464,3300,None,39.81,22.43,4.36,-0.45,609.74,175.33,10.03,17.32,82.89,87.0,198.5,False
513607,Avery Bradley,LAL,SG,465,3300,None,39.81,22.43,4.36,-0.45,609.74,175.33,10.03,17.32,82.89,87.0,198.5,False
266394,Kyle Lowry,MIA,PG,458,7700,None,89.83,42.96,10.35,16.46,4401.41,3783.8,126.04,103.34,85.72,6.0,39.0,False
266394,Kyle Lowry,MIA,PG,464,7700,None,89.83,42.96,10.35,16.46,4401.41,3783.8,126.04,103.34,85.72,6.0,39.0,False
266394,Kyle Lowry,MIA,PG,465,7700,None,89.83,42.96,10.35,16.46,4401.41,3783.8,126.04,103.34,85.72,6.0,39.0,False
887914,Jalen Brunson,DAL,PG/SG,458,7300,None,82.97,39.19,11.1,6.55,5261.05,1180.85,72.09,7.14,87.98,13.5,53.5,False
887914,Jalen Brunson,DAL,PG/SG,459,7300,None,82.97,39.19,11.1,6.55,5261.05,1180.85,72.09,7.14,87.98,13.5,53.5,False
887914,Jalen Brunson,DAL,PG/SG,464,7300,None,82.97,39.19,11.1,6.55,5261.05,1180.85,72.09,7.14,87.98,13.5,53.5,False
887914,Jalen Brunson,DAL,PG/SG,465,7300,None,82.97,39.19,11.1,6.55,5261.05,1180.85,72.09,7.14,87.98,13.5,53.5,False
887661,Luke Kennard,LAC,SG/SF,459,4700,None,49.96,30.53,0.8399999999999999,2.65,1242.14,950.97,156.15,20.91,94.08,51.0,98.0,False
887661,Luke Kennard,LAC,SG/SF,464,4700,None,49.96,30.53,0.8399999999999999,2.65,1242.14,950.97,156.15,20.91,94.08,51.0,98.0,False
887661,Luke Kennard,LAC,SG/SF,463,4700,None,49.96,30.53,0.8399999999999999,2.65,1242.14,950.97,156.15,20.91,94.08,51.0,98.0,False
887661,Luke Kennard,LAC,SG/SF,460,4700,None,49.96,30.53,0.8399999999999999,2.65,1242.14,950.97,156.15,20.91,94.08,51.0,98.0,False
887661,Luke Kennard,LAC,SG/SF,465,4700,None,49.96,30.53,0.8399999999999999,2.65,1242.14,950.97,156.15,20.91,94.08,51.0,98.0,False
601139,Austin Rivers,DEN,SG,464,3400,None,35.74,13.34,4.95,3.08,230.3,28.33,14.83,5.48,95.13,105.0,192.0,False
601139,Austin Rivers,DEN,SG,459,3400,None,35.74,13.34,4.95,3.08,230.3,28.33,14.83,5.48,95.13,105.0,192.0,False
601139,Austin Rivers,DEN,SG,465,3400,None,35.74,13.34,4.95,3.08,230.3,28.33,14.83,5.48,95.13,105.0,192.0,False
460833,JaMychal Green,DEN,PF/C,465,3900,None,37.58,7.01,8.67,4.33,182.62,41.31,20.19,3.85,103.78,101.5,145.0,False
460833,JaMychal Green,DEN,PF/C,463,3900,None,37.58,7.01,8.67,4.33,182.62,41.31,20.19,3.85,103.78,101.5,145.0,False
460833,JaMychal Green,DEN,PF/C,462,3900,None,37.58,7.01,8.67,4.33,182.62,41.31,20.19,3.85,103.78,101.5,145.0,False
460833,JaMychal Green,DEN,PF/C,461,3900,None,37.58,7.01,8.67,4.33,182.62,41.31,20.19,3.85,103.78,101.5,145.0,False
661004,Facundo Campazzo,DEN,PG,465,3300,None,29.96,18.17,2.11,1.21,68.26,25.01,6.73,2.79,110.15,113.0,198.5,False
661004,Facundo Campazzo,DEN,PG,464,3300,None,29.96,18.17,2.11,1.21,68.26,25.01,6.73,2.79,110.15,113.0,198.5,False
661004,Facundo Campazzo,DEN,PG,458,3300,None,29.96,18.17,2.11,1.21,68.26,25.01,6.73,2.79,110.15,113.0,198.5,False
748788,Aaron Gordon,DEN,PF,461,6700,None,60.1,32.02,8.25,8.41,5115.84,1104.67,129.45,23.36,111.48,30.0,62.0,False
748788,Aaron Gordon,DEN,PF,463,6700,None,60.1,32.02,8.25,8.41,5115.84,1104.67,129.45,23.36,111.48,30.0,62.0,False
748788,Aaron Gordon,DEN,PF,465,6700,None,60.1,32.02,8.25,8.41,5115.84,1104.67,129.45,23.36,111.48,30.0,62.0,False
551771,Tim Hardaway Jr.,DAL,SG,459,5800,None,48.58,36.16,10.43,6.86,1375.97,622.93,38.38,4.72,119.39,58.0,74.0,True
551771,Tim Hardaway Jr.,DAL,SG,465,5800,None,48.58,36.16,10.43,6.86,1375.97,622.93,38.38,4.72,119.39,58.0,74.0,True
551771,Tim Hardaway Jr.,DAL,SG,464,5800,None,48.58,36.16,10.43,6.86,1375.97,622.93,38.38,4.72,119.39,58.0,74.0,True
851253,Gabe Vincent,MIA,PG,464,3000,None,22.11,18.47,2.77,-0.27,28.04,5.99,7.5,5.9,135.69,124.0,230.5,False
851253,Gabe Vincent,MIA,PG,465,3000,None,22.11,18.47,2.77,-0.27,28.04,5.99,7.5,5.9,135.69,124.0,230.5,False
851253,Gabe Vincent,MIA,PG,458,3000,None,22.11,18.47,2.77,-0.27,28.04,5.99,7.5,5.9,135.69,124.0,230.5,False
509449,Eric Bledsoe,LAC,PG/SG,458,5500,None,38.9,35.45,5.21,10.9,3141.83,2999.33,203.75,351.07,141.39,94.5,82.5,True
509449,Eric Bledsoe,LAC,PG/SG,459,5500,None,38.9,35.45,5.21,10.9,3141.83,2999.33,203.75,351.07,141.39,94.5,82.5,True
509449,Eric Bledsoe,LAC,PG/SG,464,5500,None,38.9,35.45,5.21,10.9,3141.83,2999.33,203.75,351.07,141.39,94.5,82.5,True
509449,Eric Bledsoe,LAC,PG/SG,465,5500,None,38.9,35.45,5.21,10.9,3141.83,2999.33,203.75,351.07,141.39,94.5,82.5,True
1076274,Obi Toppin,NYK,SF/PF,461,3500,None,23.91,-2.76,7.37,6.59,1238.73,217.94,52.13,72.44,146.38,116.5,178.5,False
1076274,Obi Toppin,NYK,SF/PF,463,3500,None,23.91,-2.76,7.37,6.59,1238.73,217.94,52.13,72.44,146.38,116.5,178.5,False
1076274,Obi Toppin,NYK,SF/PF,465,3500,None,23.91,-2.76,7.37,6.59,1238.73,217.94,52.13,72.44,146.38,116.5,178.5,False
1076274,Obi Toppin,NYK,SF/PF,460,3500,None,23.91,-2.76,7.37,6.59,1238.73,217.94,52.13,72.44,146.38,116.5,178.5,False
699826,Jerami Grant,DET,PF,465,7000,None,47.64,6.33,2.88,4.56,4319.56,821.7,14.97,5.26,146.94,61.0,59.0,True
699826,Jerami Grant,DET,PF,463,7000,None,47.64,6.33,2.88,4.56,4319.56,821.7,14.97,5.26,146.94,61.0,59.0,True
699826,Jerami Grant,DET,PF,461,7000,None,47.64,6.33,2.88,4.56,4319.56,821.7,14.97,5.26,146.94,61.0,59.0,True
