playerId,displayName,teamAbbreviation,position,rosterSlotId,salary,status,DK_proj,Pts_proj,Reb_proj,Ast_proj,MSE_DK,MSE_Pts,MSE_Reb,MSE_Ast,costPerPoint,pointsRank,salaryRank,eligible
398142,DeAndre Jordan,LAL,C,462,3400,None,-0.7899999999999991,-2.66,10.27,-2.85,796.7,128.83,41.19,11.19,-4303.8,217.5,192.0,True
398142,DeAndre Jordan,LAL,C,465,3400,None,-0.7899999999999991,-2.66,10.27,-2.85,796.7,128.83,41.19,11.19,-4303.8,217.5,192.0,True
551771,Tim Hardaway Jr.,DAL,SG,459,5800,None,48.58,36.16,10.43,6.86,1375.97,622.93,38.38,4.72,119.39,58.0,74.0,True
551771,Tim Hardaway Jr.,DAL,SG,465,5800,None,48.58,36.16,10.43,6.86,1375.97,622.93,38.38,4.72,119.39,58.0,74.0,True
551771,Tim Hardaway Jr.,DAL,SG,464,5800,None,48.58,36.16,10.43,6.86,1375.97,622.93,38.38,4.72,119.39,58.0,74.0,True
509449,Eric Bledsoe,LAC,PG/SG,458,5500,None,38.9,35.45,5.21,10.9,3141.83,2999.33,203.75,351.07,141.39,94.5,82.5,True
509449,Eric Bledsoe,LAC,PG/SG,459,5500,None,38.9,35.45,5.21,10.9,3141.83,2999.33,203.75,351.07,141.39,94.5,82.5,True
509449,Eric Bledsoe,LAC,PG/SG,464,5500,None,38.9,35.45,5.21,10.9,3141.83,2999.33,203.75,351.07,141.39,94.5,82.5,True
509449,Eric Bledsoe,LAC,PG/SG,465,5500,None,38.9,35.45,5.21,10.9,3141.83,2999.33,203.75,351.07,141.39,94.5,82.5,True
699826,Jerami Grant,DET,PF,465,7000,None,47.64,6.33,2.88,4.56,4319.56,821.7,14.97,5.26,146.94,61.0,59.0,True
699826,Jerami Grant,DET,PF,463,7000,None,47.64,6.33,2.88,4.56,4319.56,821.7,14.97,5.26,146.94,61.0,59.0,True
699826,Jerami Grant,DET,PF,461,7000,None,47.64,6.33,2.88,4.56,4319.56,821.7,14.97,5.26,146.94,61.0,59.0,True
458730,Jimmy Butler,MIA,SF,463,9700,None,64.22,44.38,6.64,7.07,1948.24,648.24,21.67,35.05,151.04,22.0,24.0,True
458730,Jimmy Butler,MIA,SF,460,9700,None,64.22,44.38,6.64,7.07,1948.24,648.24,21.67,35.05,151.04,22.0,24.0,True
458730,Jimmy Butler,MIA,SF,465,9700,None,64.22,44.38,6.64,7.07,1948.24,648.24,21.67,35.05,151.04,22.0,24.0,True
920093,Ivica Zubac,LAC,C,465,5100,None,32.92,23.81,5.69,0.59,542.58,159.28,42.19,2.78,154.92,107.5,88.5,True
920093,Ivica Zubac,LAC,C,462,5100,None,32.92,23.81,5.69,0.59,542.58,159.28,42.19,2.78,154.92,107.5,88.5,True
877869,Kristaps Porzingis,DAL,PF,463,8500,None,53.75,38.25,11.13,0.25,314.33,179.27,6.86,22.76,158.14,43.0,31.0,True
877869,Kristaps Porzingis,DAL,PF,465,8500,None,53.75,38.25,11.13,0.25,314.33,179.27,6.86,22.76,158.14,43.0,31.0,True
877869,Kristaps Porzingis,DAL,PF,461,8500,None,53.75,38.25,11.13,0.25,314.33,179.27,6.86,22.76,158.14,43.0,31.0,True
830650,Nikola Jokic,DEN,C,465,11400,Q,62.02,28.94,9.32,6.27,133.52,22.19,47.92,4.09,183.81,24.5,6.5,True
830650,Nikola Jokic,DEN,C,462,11400,Q,62.02,28.94,9.32,6.27,133.52,22.19,47.92,4.09,183.81,24.5,6.5,True
1134175,Immanuel Quickley,NYK,PG,464,3800,None,20.34,7.18,1.61,-0.25,302.1,100.85,10.69,11.41,186.82,127.0,156.0,True
1134175,Immanuel Quickley,NYK,PG,465,3800,None,20.34,7.18,1.61,-0.25,302.1,100.85,10.69,11.41,186.82,127.0,156.0,True
1134175,Immanuel Quickley,NYK,PG,458,3800,None,20.34,7.18,1.61,-0.25,302.1,100.85,10.69,11.41,186.82,127.0,156.0,True
786412,Julius Randle,NYK,PF/C,465,10000,None,52.93,9.38,17.44,4.93,808.39,303.29,30.44,9.06,188.93,46.5,20.5,True
786412,Julius Randle,NYK,PF/C,463,10000,None,52.93,9.38,17.44,4.93,808.39,303.29,30.44,9.06,188.93,46.5,20.5,True
786412,Julius Randle,NYK,PF/C,462,10000,None,52.93,9.38,17.44,4.93,808.39,303.29,30.44,9.06,188.93,46.5,20.5,True
786412,Julius Randle,NYK,PF/C,461,10000,None,52.93,9.38,17.44,4.93,808.39,303.29,30.44,9.06,188.93,46.5,20.5,True
603640,Larry Nance Jr.,POR,PF/C,465,3600,None,17.34,6.2,10.879999999999999,2.03,618.69,120.97,10.26,8.1,207.61,148.5,165.0,True
603640,Larry Nance Jr.,POR,PF/C,463,3600,None,17.34,6.2,10.879999999999999,2.03,618.69,120.97,10.26,8.1,207.61,148.5,165.0,True
603640,Larry Nance Jr.,POR,PF/C,462,3600,None,17.34,6.2,10.879999999999999,2.03,618.69,120.97,10.26,8.1,207.61,148.5,165.0,True
603640,Larry Nance Jr.,POR,PF/C,461,3600,None,17.34,6.2,10.879999999999999,2.03,618.69,120.97,10.26,8.1,207.61,148.5,165.0,True
229602,P.J. Tucker,MIA,PF/C,465,3900,None,17.32,10.57,0.88,3.03,1215.61,92.41,60.63,10.29,225.17,152.5,145.0,True
229602,P.J. Tucker,MIA,PF/C,462,3900,None,17.32,10.57,0.88,3.03,1215.61,92.41,60.63,10.29,225.17,152.5,145.0,True
229602,P.J. Tucker,MIA,PF/C,461,3900,None,17.32,10.57,0.88,3.03,1215.61,92.41,60.63,10.29,225.17,152.5,145.0,True
229602,P.J. Tucker,MIA,PF/C,463,3900,None,17.32,10.57,0.88,3.03,1215.61,92.41,60.63,10.29,225.17,152.5,145.0,True
1138391,Nassir Little,POR,SF/PF,463,3500,None,15.28,6.81,8.53,-0.81,255.11,106.07,18.29,1.51,229.06,160.5,178.5,True
1138391,Nassir Little,POR,SF/PF,465,3500,None,15.28,6.81,8.53,-0.81,255.11,106.07,18.29,1.51,229.06,160.5,178.5,True
1138391,Nassir Little,POR,SF/PF,461,3500,None,15.28,6.81,8.53,-0.81,255.11,106.07,18.29,1.51,229.06,160.5,178.5,True
1138391,Nassir Little,POR,SF/PF,460,3500,None,15.28,6.81,8.53,-0.81,255.11,106.07,18.29,1.51,229.06,160.5,178.5,True
606701,Dorian Finney-Smith,DAL,SF/PF,460,4000,None,17.28,9.66,3.16,2.87,109.51,27.22,8.28,1.98,231.48,156.5,131.0,True
606701,Dorian Finney-Smith,DAL,SF/PF,465,4000,None,17.28,9.66,3.16,2.87,109.51,27.22,8.28,1.98,231.48,156.5,131.0,True
606701,Dorian Finney-Smith,DAL,SF/PF,463,4000,None,17.28,9.66,3.16,2.87,109.51,27.22,8.28,1.98,231.48,156.5,131.0,True
606701,Dorian Finney-Smith,DAL,SF/PF,461,4000,None,17.28,9.66,3.16,2.87,109.51,27.22,8.28,1.98,231.48,156.5,131.0,True
253975,Dwight Howard,LAL,C,465,3700,None,11.06,-3.1900000000000013,15.72,-1.06,917.37,402.74,492.47,18.1,334.54,180.5,160.5,True
253975,Dwight Howard,LAL,C,462,3700,None,11.06,-3.1900000000000013,15.72,-1.06,917.37,402.74,492.47,18.1,334.54,180.5,160.5,True
552309,Dwight Powell,DAL,C,462,3400,None,9.15,5.23,3.34,1.19,88.4,7.83,9.93,1.62,371.58,182.5,192.0,True
552309,Dwight Powell,DAL,C,465,3400,None,9.15,5.23,3.34,1.19,88.4,7.83,9.93,1.62,371.58,182.5,192.0,True
944164,Josh Jackson,DET,PF,461,3600,None,7.67,-0.2400000000000002,4.24,2.02,455.38,112.01,12.07,8.75,469.36,188.0,165.0,True
944164,Josh Jackson,DET,PF,463,3600,None,7.67,-0.2400000000000002,4.24,2.02,455.38,112.01,12.07,8.75,469.36,188.0,165.0,True
944164,Josh Jackson,DET,PF,465,3600,None,7.67,-0.2400000000000002,4.24,2.02,455.38,112.01,12.07,8.75,469.36,188.0,165.0,True
740339,Sterling Brown,DAL,SG/SF,463,3100,None,3.99,3.88,6.53,1.84,229.6,13.62,21.34,0.47,776.94,201.0,218.5,True
740339,Sterling Brown,DAL,SG/SF,465,3100,None,3.99,3.88,6.53,1.84,229.6,13.62,21.34,0.47,776.94,201.0,218.5,True
740339,Sterling Brown,DAL,SG/SF,464,3100,None,3.99,3.88,6.53,1.84,229.6,13.62,21.34,0.47,776.94,201.0,218.5,True
740339,Sterling Brown,DAL,SG/SF,459,3100,None,3.99,3.88,6.53,1.84,229.6,13.62,21.34,0.47,776.94,201.0,218.5,True
740339,Sterling Brown,DAL,SG/SF,460,3100,None,3.99,3.88,6.53,1.84,229.6,13.62,21.34,0.47,776.94,201.0,218.5,True
606642,Dewayne Dedmon,MIA,C,465,3500,None,3.34,7.97,-5.7,0.71,114.75,40.38,17.05,3.7,1047.9,204.5,178.5,True
606642,Dewayne Dedmon,MIA,C,462,3500,None,3.34,7.97,-5.7,0.71,114.75,40.38,17.05,3.7,1047.9,204.5,178.5,True
262882,Rajon Rondo,LAL,PG,458,3500,None,1.7999999999999998,3.81,1.87,-5.29,567.38,232.12,41.51,24.67,1944.44,207.0,178.5,True
262882,Rajon Rondo,LAL,PG,464,3500,None,1.7999999999999998,3.81,1.87,-5.29,567.38,232.12,41.51,24.67,1944.44,207.0,178.5,True
262882,Rajon Rondo,LAL,PG,465,3500,None,1.7999999999999998,3.81,1.87,-5.29,567.38,232.12,41.51,24.67,1944.44,207.0,178.5,True
410764,Kent Bazemore,LAL,SF,460,3200,None,0.5999999999999996,1.13,1.61,1.27,56.55,24.78,1.15,1.2,5333.33,210.0,207.5,True
410764,Kent Bazemore,LAL,SF,465,3200,None,0.5999999999999996,1.13,1.61,1.27,56.55,24.78,1.15,1.2,5333.33,210.0,207.5,True
410764,Kent Bazemore,LAL,SF,463,3200,None,0.5999999999999996,1.13,1.61,1.27,56.55,24.78,1.15,1.2,5333.33,210.0,207.5,True
